Cell Cycle,HIPPO,MYC,NOTCH,NRF2,PI3K,TGF-Beta,RTK RAS,p53,WNT
CDKN1A,STK4,MAX,ARRDC1,NFE2L2,EIF4EBP1,TGFBR1,SPRED1,TP53,CHD8
CDKN1B,STK3,MGA,CNTN6,KEAP1,AKT1,TGFBR2,SPRED2,MDM2,LEF1
CDKN2A,SAV1,MLX,CREBBP,CUL3,AKT2,ACVR2A,SPRED3,MDM4,LGR4
CDKN2B,LATS1,MLXIP,EP300,,AKT3,ACVR1B,DAB2IP,ATM,LGR5
CDKN2C,LATS2,MLXIPL,HES1,,AKT1S1,SMAD2,SHOC2,CHEK2,LRP5
CCND1,MOB1A,MNT,HES2,,DEPDC5,SMAD3,PPP1CA,RPS6KA3,LRP6
CCND2,MOB1B,MXD1,HES3,,DEPTOR,SMAD4,SCRIB,,LZTR1
CCND3,YAP1,MXD3,HES4,,INPP4B,,PIN1,,NDP
CCNE1,WWTR1,MXD4,HES5,,MAPKAP1,,KSR1,,PORCN
CDK2,TEAD1,MXI1,HEY1,,MLST8,,KSR2,,RSPO1
CDK4,TEAD2,MYC,HEY2,,MTOR,,PEBP1,,SFRP1
CDK6,TEAD3,MYCL,HEYL,,NPRL2,,ERF,,SFRP2
RB1,TEAD4,MYCN,KAT2B,,NPRL3,,PEA15,,SFRP4
E2F1,PTPN14,,KDM5A,,PDK1,,JAK2,,SFRP5
E2F3,NF2,,NOTCH1,,PIK3CA,,IRS2,,SOST
,WWC1,,NOTCH2,,PIK3CB,,,,TCF7L1
,TAOK1,,NOTCH3,,PIK3R1,,,,TLE1
,TAOK2,,NOTCH4,,PIK3R2,,,,TLE2
,TAOK3,,NOV,,PIK3R3,,,,TLE3
,CRB1,,NRARP,,PPP2R1A,,,,TLE4
,CRB2,,PSEN2,,PTEN,,,,WIF1
,CRB3,,LFNG,,RHEB,,,,ZNRF3
,LLGL1,,ITCH,,RICTOR,,,,CTNNB1
,LLGL2,,NCSTN,,RPTOR,,,,DVL1
,HMCN1,,SPEN,,RPS6,,,,DVL2
,SCRIB,,JAG1,,RPS6KB1,,,,DVL3
,HIPK2,,APH1A,,STK11,,,,FRAT1
,FAT1,,FBXW7,,TSC1,,,,FRAT2
,FAT2,,FHL1,,TSC2,,,,FZD1
,FAT3,,THBS2,,,,,,FZD10
,FAT4,,HDAC2,,,,,,FZD2
,DCHS1,,MFAP2,,,,,,FZD3
,DCHS2,,CUL1,,,,,,FZD4
,CSNK1E,,RFNG,,,,,,FZD5
,CSNK1D,,NCOR1,,,,,,FZD6
,AJUBA,,NCOR2,,,,,,FZD7
,LIMD1,,MFAP5,,,,,,FZD8
,WTIP,,HDAC1,,,,,,FZD9
,,,NUMB,,,,,,WNT1
,,,JAG2,,,,,,WNT10A
,,,MAML3,,,,,,WNT10B
,,,MFNG,,,,,,WNT11
,,,CIR1,,,,,,WNT16
,,,CNTN1,,,,,,WNT2
,,,MAML1,,,,,,WNT3A
,,,MAML2,,,,,,WNT4
,,,NUMBL,,,,,,WNT5A
,,,PSEN1,,,,,,WNT5B
,,,PSENEN,,,,,,WNT6
,,,RBPJ,,,,,,WNT7A
,,,RBPJL,,,,,,WNT7B
,,,RBX1,,,,,,WNT8A
,,,SAP30,,,,,,WNT8B
,,,SKP1,,,,,,WNT9A
,,,SNW1,,,,,,WNT9B
,,,CTBP1,,,,,,AMER1
,,,CTBP2,,,,,,APC
,,,ADAM10,,,,,,AXIN1
,,,APH1B,,,,,,AXIN2
,,,ADAM17,,,,,,DKK1
,,,DLK1,,,,,,DKK2
,,,DLL1,,,,,,DKK3
,,,DLL3,,,,,,DKK4
,,,DLL4,,,,,,GSK3B
,,,DNER,,,,,,RNF43
,,,DTX1,,,,,,TCF7
,,,DTX2,,,,,,TCF7L2
,,,DTX3,,,,,,CHD4
,,,DTX3L,,,,,,
,,,DTX4,,,,,,
,,,EGFL7,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
