organ system	Submitter histopathology (icd-0-3 + description)	count	Tier 1	Tier 2	Tier 3	Tier 4	Tier 3 Abbreviation	Abbrev Length	Tier 3 Group Size												
"BRAIN, CRANIAL NERVES, & SPINAL CORD"	9421/1 Pilocytic astrocytoma	96	NEURAL_CREST	CNS	Non-diffuse glioma	Pilocytic astrocytoma	CNS-PiloAstro	13	96												
"BRAIN, CRANIAL NERVES, & SPINAL CORD"	"9440/3 Glioblastoma, NOS"	41	NEURAL_CREST	CNS	Diffuse glioma	Glioblastoma	CNS-GBM	7	41												
"BRAIN, CRANIAL NERVES, & SPINAL CORD"	"9450/3 Oligodendroglioma, NOS"	19	NEURAL_CREST	CNS	Diffuse glioma	Oligodendroglioma	CNS-Oligo	9	121												
"BRAIN, CRANIAL NERVES, & SPINAL CORD"	"9470/3 Medulloblastoma, NOS"	102	NEURAL_CREST	CNS	Medulloblastoma	Medulloblastoma	CNS-Medullo	11													
"BRAIN, CRANIAL NERVES, & SPINAL CORD"	9471/3 Desmoplastic medulloblastoma	22	NEURAL_CREST	CNS	Medulloblastoma	Desmoplastic medulloblastoma	CNS-Medullo	11	53												
"BRAIN, CRANIAL NERVES, & SPINAL CORD"	9474/3 Large cell medulloblastoma	30	NEURAL_CREST	CNS	Medulloblastoma	Large cell medulloblastoma	CNS-Medullo	11													
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	9823/3 Chronic lymphocytic leukemia/small lymphocytic lymphoma	100	MESODERM	Lymphoid	Chronic lymphocytic leukemia	Chronic lymphocytic leukemia	Lymph-CLL	9	100												
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	9861/3 Acute myeloid leukemia	43	MESODERM	Myeloid	Acute myeloid leukemia	Acute myeloid leukemia	Myeloid-AML	11	52												
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	"9872/3 Acute myeloid leukemia, minimal differentiation"	9	MESODERM	Myeloid	Acute myeloid leukemia	Acute myeloid leukemia	Myeloid-AML	11													
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	"9945/3 Chronic myelomonocytic leukemia, NOS"	1	MESODERM	Myeloid	Myelodysplastic syndrome	Chronic myelomonocytic leukemia	Myeloid-MDS	11	30												
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	9961/3 Myelosclerosis with myeloid metaplasia	1	MESODERM	Myeloid	Myeloproliferative neoplasm	Primary myelofibrosis	Myeloid-MPN	11	30												
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	9982/3 Refractory anemia with sideroblasts	2	MESODERM	Myeloid	Myelodysplastic syndrome	Myelodysplastic syndrome with ring sideroblasts	Myeloid-MDS	11													
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	9950/3 Polycythemia vera	28	MESODERM	Myeloid	Myeloproliferative neoplasm	Polycythemia vera	Myeloid-MPN	11													
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	9741/3 Malignant mastocytosis	1	MESODERM	Myeloid	Myeloproliferative neoplasm	Systemic mastocytosis	Myeloid-MPN	11													
"BLOOD, BONE MARROW, & HEMATOPOIETIC SYS"	9962/3 Essential thrombocythemia	27	MESODERM	Myeloid	Myeloproliferative neoplasm	Essential thrombocythemia	Myeloid-MPN	11													
BONE & SOFT TISSUE	"8890/3 Leiomyosarcoma, NOS"	15	MESODERM	Bone/SoftTissue	"Sarcoma, soft tissue"	Leiomyosarcoma	SoftTissue-Leiomyo	18	15												
BONE & SOFT TISSUE	"9180/3 Osteosarcoma, NOS"	40	MESODERM	Bone/SoftTissue	"Sarcoma, bone"	Osteosarcoma	Bone-Osteosarc	14	40												
BONE & SOFT TISSUE	"9230/0 Chondroblastoma, NOS"	6	MESODERM	Bone/SoftTissue	"Cartilaginous neoplasm, benign, bone"	Chondroblastoma	Bone-Benign	11	18												
BONE & SOFT TISSUE	9241/0 Chondromyxoid fibroma	3	MESODERM	Bone/SoftTissue	"Cartilaginous neoplasm, benign, bone"	Chrondromyxoid fibroma	Bone-Benign	11													
BONE & SOFT TISSUE	9261/3 Adamantinoma of long bones	6	MESODERM	Bone/SoftTissue	"Bone neoplasm, epithelioid"	Adamantinoma	Bone-Epith	10													
BONE & SOFT TISSUE	"9370/3 Chordoma, NOS"	3	MESODERM	Bone/SoftTissue	"Bone neoplasm, epithelioid"	Chordoma	Bone-Epith	10													
BONE & SOFT TISSUE	"8990/3 Mesenchymoma, malignant"		MESODERM	Bone/SoftTissue	"Bone neoplasm, epithelioid"	Mesenchymoma	Bone-Epith	10													
BONE & SOFT TISSUE	8858/3 Liposarcoma	19	MESODERM	Bone/SoftTissue	"Liposarcoma, soft tissue"	Liposarcoma	SoftTissue-Liposarc	19													
BONE & SOFT TISSUE	9262/0 Osteofibrous dysplasia		MESODERM	Bone/SoftTissue	"Osteofibrous dysplasia, benign, bone"	Osteofibrous dysplasia	Bone-Benign														
BONE & SOFT TISSUE	9200/0 Osteoblastoma		MESODERM	Bone/SoftTissue	"Osteoblastoma, benign, bone"	Osteoblastoma	Bone-Benign														
BREAST	8022/3 Pleiomorphic carcinoma	2	ECTODERM	Breast	Lobular carcinoma	Lobular carcinoma	Breast-LobularCA	16	201												
BREAST	8480/3 Mucinous adenocarcinoma	2	ECTODERM	Breast	Adenocarcinoma	Mucinous adenocarcinoma	Breast-AdenoCA	14													
BREAST	"8500/3 Infiltrating duct carcinoma, NOS"	181	ECTODERM	Breast	Adenocarcinoma	Infiltrating duct carcinoma	Breast-AdenoCA	14													
BREAST	8503/3 Intraductal papillary adenocarcinoma with invasion	1	ECTODERM	Breast	Adenocarcinoma	Intraductal papillary adenocarcinoma with invasion	Breast-AdenoCA	14													
BREAST	8507/3 Duct micropapillary carcinoma	3	ECTODERM	Breast	In situ adenocarcinoma	Duct micropapillary carcinoma	Breast-DCIS	11													
BREAST	"8510/3 Medullary carcinoma, NOS"	1	ECTODERM	Breast	Adenocarcinoma	Medullary carcinonoma	Breast-AdenoCA	14													
BREAST	"8520/3 Lobular carcinoma, NOS"	11	ECTODERM	Breast	Lobular carcinoma	Lobular carcinoma	Breast-LobularCA	16													
CERVIX UTERI	"8070/3 Squamous cell carcinoma, NOS"	18	MESODERM	Cervix	Squamous cell carcinoma	Squamous Cell Carcinoma	Cervix-SCC	10	18												
CERVIX UTERI	"8140/3 Adenocarcinoma, NOS"	2	MESODERM	Cervix	Adenocarcinoma	Adenocarcinoma	Cervix-AdenoCA	14													
ESOPHAGUS	"8140/3 Adenocarcinoma, NOS"	92	ENDODERM	Esophagus	Adenocarcinoma	Adenocarcinoma	Eso-AdenoCA	11	92												
GALLBLADDER & EXTRAHEPATIC BILE DUCTS	8160/3 Cholangiocarcinoma	4	ENDODERM	Biliary	Adenocarcinoma	Cholangiocarcinoma	Biliary-AdenoCA	15	12												
GALLBLADDER & EXTRAHEPATIC BILE DUCTS	"8260/3 Papillary adenocarcinoma, NOS"	8	ENDODERM	Biliary	Adenocarcinoma	"Cholangiocarcinoma, papillary"	Biliary-AdenoCA	15													
"GUM, FLOOR OF MOUTH, & OTHER MOUTH"	"8070/3 Squamous cell carcinoma, NOS"	57	MESODERM	Head/Neck	Squamous cell carcinoma	Squamous cell carcinoma	Head-SCC	8													
