has_driver	CADD_score_norm_sum
Drivers	0.2892434970456172
Passengers in absence of driver	0.5272420174703216
Drivers	0.2238185304159053
Passengers in absence of driver	0.044634038061548975
Passengers in absence of driver	0.022370094934491845
Passengers in absence of driver	0.10729282113207098
Passengers in absence of driver	0.3814621953991371
Passengers in absence of driver	0.0632275733884905
Passengers in absence of driver	0.056118890778562885
Drivers	0.28616079607390293
Passengers in presence of driver	0.0814990274154125
Drivers	0.059555622085981856
Drivers	0.3514154476237748
Drivers	0.26625938575529473
Drivers	0.22863269917853865
Drivers	0.3010299956639812
Passengers in absence of driver	0.006274860353230081
Passengers in absence of driver	0.18326555608973533
Passengers in absence of driver	0.1065111220473162
Passengers in absence of driver	0.10761309151502
Passengers in presence of driver	0.060535786033038254
Passengers in presence of driver	0.033629067596510034
Passengers in absence of driver	0.023218050538258466
Passengers in absence of driver	0.1103542438547324
Passengers in absence of driver	0.05191967205089461
Passengers in absence of driver	0.2728204153975321
Passengers in absence of driver	0.050931978076697554
Passengers in absence of driver	0.046349296728205695
Drivers	0.07691039272081422
Passengers in absence of driver	0.1672014619361979
Drivers	0.18763609458954505
Passengers in absence of driver	0.2241360305068548
Passengers in absence of driver	0.14986803864094528
Drivers	0.41920792955857883
Passengers in presence of driver	0.3117760434887827
Drivers	0.2399328770247613
Passengers in presence of driver	0.3610539493356795
Passengers in absence of driver	0.43145970458402944
Drivers	0.2877427129201429
Passengers in presence of driver	0.2772047661385132
Drivers	0.4253931503578644
Passengers in presence of driver	0.29153644625362485
Passengers in absence of driver	1.499104737326442
Passengers in absence of driver	0.25568384339900524
Drivers	0.3010299956639812
Passengers in presence of driver	0.02038776397347905
Passengers in absence of driver	0.15391746795626632
Passengers in presence of driver	0.21425496607297664
Drivers	0.29255753718936295
Passengers in presence of driver	0.5606591905770422
Drivers	0.1624330293489249
Passengers in absence of driver	0.23024099840400766
Passengers in absence of driver	0.04399529917599509
Drivers	0.29345810045721576
Passengers in absence of driver	0.0545678080292302
Passengers in absence of driver	0.04191713383267046
Passengers in absence of driver	0.04252421233210265
Passengers in absence of driver	0.335099053864039
Passengers in absence of driver	0.10710730511114905
Passengers in absence of driver	0.255812572314022
Passengers in absence of driver	0.05389828969358411
Passengers in absence of driver	0.12379901265851237
Passengers in absence of driver	0.18428788835661708
Drivers	0.1871202197826189
Passengers in absence of driver	0.26820704382134036
Drivers	0.22338854543268738
Drivers	0.29931374955784984
Passengers in absence of driver	0.03811725200855121
Passengers in absence of driver	0.022349425709485393
Drivers	0.28131667612859573
Passengers in absence of driver	0.0775364027155503
Passengers in absence of driver	0.39704100142190335
Drivers	0.1576678858986482
Passengers in absence of driver	0.04003510088003219
Passengers in absence of driver	0.1563176406619378
Drivers	0.2310580191932694
Passengers in absence of driver	0.03740104688857083
Passengers in absence of driver	0.3686559089513334
Passengers in absence of driver	0.059709078532007506
Drivers	0.2805804752469386
Passengers in absence of driver	0.0418827985990763
Passengers in absence of driver	0.056470379154527066
Passengers in absence of driver	0.029024946168129864
Passengers in absence of driver	0.35137949357014164
Drivers	0.3010299956639812
Passengers in absence of driver	0.18351317924367996
Passengers in absence of driver	0.04826611219163179
Passengers in absence of driver	0.5024821619993043
Passengers in absence of driver	0.10677369045290376
Passengers in absence of driver	0.10847690288359475
Drivers	0.2766793664649178
Passengers in absence of driver	0.7655901060408928
Passengers in absence of driver	0.050246016636488006
Drivers	0.2271549484551329
Passengers in absence of driver	0.2699450181981955
Drivers	0.2722761770157519
Passengers in absence of driver	0.028589848105671927
Passengers in absence of driver	0.08005082279058427
Drivers	0.1827770622471779
Drivers	0.21576007428766683
Passengers in absence of driver	0.2599436246892935
Passengers in absence of driver	0.027867434871960663
Drivers	0.09330594248629692
Drivers	0.3010299956639812
Passengers in absence of driver	0.098734074945812
Passengers in absence of driver	1.0040250032082652
Passengers in absence of driver	0.9500341916918927
Drivers	0.44385540155615394
Passengers in presence of driver	0.2573352884258819
Drivers	0.18789450716360603
Passengers in absence of driver	0.3829778007777336
Passengers in absence of driver	1.2093164761909745
Passengers in absence of driver	0.07270503071142292
Drivers	0.2879642206866228
Passengers in absence of driver	0.03600794699899411
Drivers	0.18463539652235614
Passengers in absence of driver	0.042441557051244985
Drivers	0.20438820983808254
Passengers in absence of driver	0.05386590955821901
Passengers in absence of driver	0.13684451273127807
Passengers in absence of driver	0.1363964063568304
Passengers in absence of driver	0.08998545597458411
Passengers in absence of driver	0.20531335438729761
Drivers	0.18334775177186471
Passengers in absence of driver	0.19222181392463777
Passengers in absence of driver	0.0
Drivers	0.2586057979420422
Passengers in absence of driver	0.3922271767280323
Passengers in absence of driver	0.26431659225511595
Drivers	0.2766793664649178
Passengers in presence of driver	0.1551785701632134
Passengers in absence of driver	0.21391004638178238
Passengers in absence of driver	0.02028224813019836
Drivers	0.17197688044331758
Passengers in absence of driver	0.7089497067456282
Drivers	0.22897731429909837
Passengers in presence of driver	0.054763811147591664
Drivers	0.2793985501704521
Passengers in absence of driver	0.06277659829226585
Drivers	0.059555622085981856
Drivers	0.3028623668818917
Drivers	0.2840245605757545
Passengers in absence of driver	0.08623458915158526
Drivers	0.2897885675150413
Drivers	0.24654873000464084
Passengers in presence of driver	0.022705513106669312
Passengers in absence of driver	0.8476425058867602
Drivers	0.2656389866691635
Passengers in absence of driver	0.04369801565748009
Drivers	0.2675701618152684
Passengers in absence of driver	0.11212471297280008
Passengers in absence of driver	0.35940969293452113
Passengers in absence of driver	0.03709854255536317
Passengers in absence of driver	0.0999605653778965
Drivers	0.2586057979420422
Passengers in absence of driver	0.617092023102259
Passengers in absence of driver	0.05145971765510885
Passengers in absence of driver	0.2397292122202322
Drivers	0.059555622085981856
Drivers	0.20524184820759908
Drivers	0.13824431628738432
Passengers in absence of driver	0.20699258434435241
Passengers in absence of driver	0.6977399263345797
Drivers	0.20805542923267586
Passengers in absence of driver	0.3231140094350927
Passengers in absence of driver	0.15141118058100556
Passengers in presence of driver	0.17127355500771718
Passengers in absence of driver	0.057274992481196094
Drivers	0.22863269917853865
Drivers	0.28123107988053125
Drivers	0.17340837673379314
Passengers in absence of driver	0.0268961233051498
Passengers in absence of driver	0.26411791421576547
Passengers in absence of driver	0.7907823099653083
Drivers	0.20939865894713058
Passengers in absence of driver	0.2125665624237086
Passengers in absence of driver	0.08429071885219946
Passengers in absence of driver	0.3689073656606441
Drivers	0.1393549543626389
Drivers	0.3010299956639812
Passengers in presence of driver	0.014219389100603391
Passengers in absence of driver	0.09338777315046769
Passengers in absence of driver	0.40511036396504463
Passengers in absence of driver	0.34501692794180866
Passengers in absence of driver	0.026996081871940542
Passengers in absence of driver	0.8233608816700247
Passengers in absence of driver	1.9272871403739291
Passengers in absence of driver	0.01934911008634622
Passengers in absence of driver	1.8214958635995102
Passengers in absence of driver	2.11541322464709
Drivers	0.059555622085981856
Passengers in presence of driver	0.46467920520608624
Drivers	0.16058519042216668
Passengers in presence of driver	0.029569020923194998
Passengers in absence of driver	0.7299419019444315
Drivers	0.1891801104820608
Drivers	0.16897401004010942
Passengers in absence of driver	0.04185270449585248
Drivers	0.2753352609806328
Passengers in presence of driver	0.08398734958659487
Passengers in absence of driver	0.33521712716508023
Passengers in absence of driver	0.8296630228897269
Passengers in absence of driver	0.03189405827807544
Passengers in absence of driver	0.8048713329249226
Passengers in absence of driver	0.8496091992411005
Drivers	0.059555622085981856
Passengers in absence of driver	0.15379039846338277
Passengers in absence of driver	0.06858235205297732
Passengers in absence of driver	0.024795464707712492
Passengers in absence of driver	0.42786753418116663
Passengers in absence of driver	0.03488340967232748
Drivers	0.2559277744648491
Passengers in absence of driver	0.09236857727893914
Drivers	0.2586057979420422
Passengers in absence of driver	0.28759200901676457
Drivers	0.16014353767752249
Passengers in absence of driver	0.32211558320346223
Drivers	0.1836042113753987
Drivers	0.2663323996625948
Drivers	0.2850866998780708
Passengers in absence of driver	0.2917593157777511
Drivers	0.15373269149689428
Passengers in absence of driver	0.18706671525784624
Passengers in absence of driver	0.26477468102311674
Passengers in absence of driver	0.0902429446710195
Drivers	0.2834310672766581
Passengers in absence of driver	0.02262682824159067
Passengers in absence of driver	0.12514983185550538
Passengers in absence of driver	0.15977112573320842
Passengers in absence of driver	0.3459447427479562
Passengers in absence of driver	0.07351327828835869
Passengers in absence of driver	0.31372613744991357
Passengers in absence of driver	0.9369806211114723
Passengers in absence of driver	0.20170138114012034
Passengers in absence of driver	0.026839890647808496
Passengers in absence of driver	0.06208355666237389
Drivers	0.2506925333413023
Passengers in absence of driver	0.04843077281197566
Passengers in absence of driver	0.12908408508778382
Passengers in absence of driver	0.47794652793535447
Passengers in absence of driver	0.05245892184843434
Drivers	0.1619541635781873
Passengers in absence of driver	0.044330244793670266
Passengers in absence of driver	0.952135723310049
Passengers in absence of driver	0.09370630999123075
Drivers	0.18891535795417488
Passengers in presence of driver	0.0201869214376541
Drivers	0.2107535592545038
Passengers in absence of driver	0.023736245275296504
Passengers in absence of driver	0.03311683302957945
Passengers in absence of driver	0.4120896595231638
Passengers in absence of driver	0.011267788016344949
Drivers	0.22932390078516304
Passengers in absence of driver	0.5948123323829252
Drivers	0.29715786340136063
Passengers in absence of driver	0.4826581471141256
Drivers	0.10502851906033135
Passengers in presence of driver	0.1943984028601531
Passengers in absence of driver	0.06491127841231024
Passengers in absence of driver	0.05311840035474098
Passengers in absence of driver	0.7776629489136273
Passengers in absence of driver	0.37288759434341906
Passengers in absence of driver	0.1869078046469952
Drivers	0.2586057979420422
Passengers in absence of driver	0.562441622587007
Passengers in absence of driver	0.04973126742850712
Passengers in absence of driver	0.21427254707354923
Passengers in absence of driver	0.06401961701170245
Passengers in absence of driver	0.2952237552962784
Drivers	0.13386491304842812
Passengers in absence of driver	0.06417923515685742
Passengers in absence of driver	0.05145028811217775
Passengers in absence of driver	0.040532039266063774
Passengers in absence of driver	0.039573485014684946
Passengers in absence of driver	0.1319328555117355
Drivers	0.16136296093582628
Drivers	0.25003269369994086
Drivers	0.14761078724060078
Passengers in presence of driver	0.29663344504811623
Drivers	0.2850866998780708
Passengers in absence of driver	0.6919054997683796
Passengers in absence of driver	0.8283621348195537
Drivers	0.2250760798983907
Passengers in absence of driver	0.12669178001836845
Passengers in absence of driver	0.5380988482133011
Drivers	0.23579541832312267
Passengers in absence of driver	0.0719351861683307
Passengers in absence of driver	0.28324339164871315
Passengers in absence of driver	0.6829611188877505
Passengers in absence of driver	0.0373979119640652
Passengers in absence of driver	0.040033580153028825
Drivers	0.18587196069047993
Passengers in absence of driver	0.16902940149208653
Passengers in absence of driver	0.04676148536436715
Passengers in absence of driver	0.16519574247713267
Passengers in absence of driver	0.06407229352565225
Passengers in absence of driver	0.25623538015145036
Passengers in absence of driver	0.24676431411177185
Passengers in absence of driver	0.07564104813826404
Drivers	0.059555622085981856
Passengers in absence of driver	0.04778623683043124
Drivers	0.2753352609806328
Passengers in presence of driver	0.08038985831616736
Passengers in absence of driver	0.3364743129191075
Passengers in absence of driver	0.8196315303725774
Passengers in absence of driver	0.008730890419160033
Passengers in absence of driver	0.13249395277921802
Passengers in absence of driver	0.8263883841184176
Passengers in absence of driver	1.0956050344533297
Drivers	0.05902800889822701
Passengers in presence of driver	0.1298095180321598
Passengers in absence of driver	0.1011908828187741
Passengers in absence of driver	0.21872838427147245
Passengers in absence of driver	0.18541532983721573
Passengers in absence of driver	0.056140161244647796
Passengers in absence of driver	0.0777178788378863
Passengers in absence of driver	0.2201690614988755
Passengers in absence of driver	0.059043965240799245
Passengers in absence of driver	0.5146394591278539
Passengers in absence of driver	0.2473783167080708
Drivers	0.17197688044331758
Passengers in presence of driver	0.06736807468364808
Drivers	0.2811209396585015
Passengers in presence of driver	0.07210245816820497
Passengers in absence of driver	0.36970374732375644
Drivers	0.14454613577849718
