TF	Expression
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0139841167775
NKX2-1	0.00983692245002
NKX2-1	0.00585853782845
NKX2-1	0.0
NKX2-1	3.21810698452
NKX2-1	0.0
NKX2-1	0.00568144228662
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.00352891417452
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.00601216451491
NKX2-1	0.00279328899443
NKX2-1	0.0
NKX2-1	1.04609353527
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	1.68641018386
NKX2-1	0.0282878650955
NKX2-1	0.0
NKX2-1	0.0221461914761
NKX2-1	0.00489988616819
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0135123783435
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	2.83805597921
NKX2-1	0.0369123196691
NKX2-1	0.0109000641739
NKX2-1	0.00514368466737
NKX2-1	0.0
NKX2-1	0.00517528958106
NKX2-1	0.00499933532237
NKX2-1	0.0
NKX2-1	0.00580051858219
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.00756110891248
NKX2-1	0.00523976690788
NKX2-1	0.0
NKX2-1	0.00367483985967
NKX2-1	0.011338954039
NKX2-1	0.0
NKX2-1	0.0715304058222
NKX2-1	0.00801023347955
NKX2-1	0.0
NKX2-1	0.0450193558186
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.00895409921767
NKX2-1	0.00277326518999
NKX2-1	0.110575439316
NKX2-1	0.0383007859062
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0131049458344
NKX2-1	0.0824287057261
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.15173991198
NKX2-1	0.0
NKX2-1	0.785437980042
NKX2-1	0.00391590841924
NKX2-1	0.0048281376233
NKX2-1	0.00805288665668
NKX2-1	0.00458591739032
NKX2-1	0.0306325501652
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0083082043615
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.0053159123972
NKX2-1	0.0236321754288
NKX2-1	0.0
NKX2-1	0.0
NKX2-1	0.00662966327798
NKX2-1	0.0703303190168
NKX2-1	0.0
NKX2-1	0.00247654839089
NKX2-1	0.00637287428499
NKX2-1	0.0574125452912
ME2	24.0837883535
ME2	57.0112928021
ME2	26.3759131439
ME2	27.2365064728
ME2	26.7592775433
ME2	12.1765031837
ME2	17.8930913858
ME2	17.0930687877
ME2	19.8131305925
ME2	23.1921419275
ME2	20.1442952103
ME2	28.9408444796
ME2	38.8898687407
ME2	32.9052159271
ME2	22.5982810699
ME2	30.5443114229
ME2	21.9005943084
ME2	37.3007351756
ME2	21.8691452266
ME2	49.4634761912
ME2	35.7826189944
ME2	27.0967618806
ME2	14.469649488
ME2	22.4343565986
ME2	33.5439435835
ME2	72.7464838097
ME2	7.30723076516
ME2	32.164585712
ME2	28.833157687
ME2	38.8259304865
ME2	19.5491427844
ME2	24.162130946
ME2	34.6738455405
ME2	11.5633812778
ME2	10.83493807
ME2	21.3605316541
ME2	23.8925428589
ME2	25.7331335911
ME2	34.3494253628
ME2	23.1551939844
ME2	37.5487341042
ME2	26.3124183489
ME2	6.38759651763
ME2	48.026914543
ME2	18.9278365349
ME2	30.6154491212
ME2	24.548817172
ME2	12.6088937495
ME2	32.1925040638
ME2	19.5540240891
ME2	21.8695757209
ME2	18.5794734153
ME2	16.914158714
ME2	33.5346374278
ME2	45.1367657623
ME2	19.1521290362
ME2	21.3311687982
ME2	33.0670301745
ME2	37.4134532692
ME2	29.1012392313
ME2	11.2895083382
ME2	16.9505513839
ME2	18.5908304239
ME2	11.6234888414
ME2	18.098226259
ME2	46.2230531909
ME2	23.3495119112
ME2	30.9469452731
ME2	18.4780554968
ME2	26.043230658
ME2	16.8120963664
ME2	23.9291321383
ME2	20.2701069742
ME2	18.1504337847
ME2	16.3649950457
ME2	16.7751924813
