TF	Expression
ZNF384	13.6384462305
ZNF384	13.9254369794
ZNF384	13.2444075114
ZNF384	8.31083340086
ZNF384	7.90782675964
ZNF384	9.58676869887
ZNF384	8.65749711647
ZNF384	17.2100341332
ZNF384	13.2029340518
ZNF384	12.1107856934
ZNF384	12.0785516636
ZNF384	14.2975827204
ZNF384	8.2690163929
ZNF384	15.8373446985
ZNF384	15.2163874315
ZNF384	8.41750868986
ZNF384	12.2165548578
ZNF384	8.0030989191
ZNF384	11.0314973401
ZNF384	9.90242898851
ZNF384	12.3875709658
ZNF384	13.2307485134
ZNF384	26.8197973468
ZNF384	13.011135968
ZNF384	13.6835953051
ZNF384	8.53866281994
ZNF384	10.1661571148
ZNF384	7.36962223577
ZNF384	15.3354608332
ZNF384	9.38639250001
ZNF384	16.2707626875
ZNF384	16.3330576539
ZNF384	8.53305326226
ZNF384	21.4763192871
ZNF384	12.3269289313
ZNF384	15.7445051758
HSF2	2.89537686819
HSF2	6.18863354752
HSF2	5.67609742311
HSF2	5.61491353116
HSF2	3.24233314923
HSF2	3.59232102316
HSF2	3.11247086182
HSF2	3.3972563875
HSF2	8.08083806501
HSF2	2.83087854737
HSF2	6.99365432619
HSF2	8.72154015975
HSF2	7.30883118933
HSF2	6.25284539291
HSF2	3.2303866532
HSF2	7.00013363031
HSF2	7.20036999987
HSF2	3.26016827576
HSF2	6.044227441
HSF2	8.29891663859
HSF2	2.75246779479
HSF2	3.23977342009
HSF2	4.17650911648
HSF2	6.62529267735
HSF2	3.56372468744
HSF2	8.94021289517
HSF2	5.89215840854
HSF2	3.08957758757
HSF2	8.91077607431
HSF2	4.27333559207
HSF2	7.45032358475
HSF2	9.41978679565
HSF2	2.12608577934
HSF2	3.80736110039
HSF2	4.76007309582
HSF2	8.62214786966
BHLHE41	22.6049353643
BHLHE41	2.26944818518
BHLHE41	6.50432510444
BHLHE41	3.79629565484
BHLHE41	2.35482424965
BHLHE41	34.4938715024
BHLHE41	32.310340528
BHLHE41	19.3025700648
BHLHE41	25.2042854246
BHLHE41	29.2110234422
BHLHE41	29.2280934512
BHLHE41	3.45108542055
BHLHE41	16.7728695407
BHLHE41	68.5929602043
BHLHE41	34.9018080357
BHLHE41	1.35969498688
BHLHE41	9.36519310552
BHLHE41	0.765058890973
BHLHE41	37.1745086249
BHLHE41	31.148602271
BHLHE41	19.334920418
BHLHE41	5.60145404731
BHLHE41	29.4767070968
BHLHE41	0.775741042549
BHLHE41	30.0560724984
BHLHE41	11.3241817258
BHLHE41	11.7680864385
BHLHE41	3.4163203038
BHLHE41	4.96712131599
BHLHE41	8.65079769855
BHLHE41	3.34727320905
BHLHE41	17.6662160595
BHLHE41	11.1364203986
BHLHE41	2.80797888497
BHLHE41	1.40730330201
BHLHE41	9.69941533459
STAT5B	13.2989667504
STAT5B	18.6280541307
STAT5B	9.12324356954
STAT5B	23.3886596091
STAT5B	6.09126232342
STAT5B	19.8494205136
STAT5B	10.8668364279
STAT5B	6.50685799679
STAT5B	6.04858249266
STAT5B	7.80337101788
STAT5B	10.3724828474
STAT5B	11.4426211641
STAT5B	6.50280436844
STAT5B	9.84604539456
STAT5B	8.87654730138
STAT5B	7.86544149874
STAT5B	11.7308663879
STAT5B	7.71328643195
STAT5B	12.3853417012
STAT5B	10.4828882845
STAT5B	10.8095266781
STAT5B	10.8989459628
STAT5B	10.3305368218
STAT5B	12.3798173884
STAT5B	10.7861631188
STAT5B	10.4737336348
STAT5B	11.9163760221
STAT5B	5.0544814504
STAT5B	28.6468280921
STAT5B	10.6562747353
STAT5B	16.0562371046
STAT5B	26.8822306451
STAT5B	11.3103723057
STAT5B	13.830877119
STAT5B	11.245510944
STAT5B	23.1251787057
IRF6	0.213020723563
IRF6	0.0354692724355
IRF6	0.324863189436
IRF6	0.950406879818
IRF6	0.0958851600994
IRF6	0.211375306636
IRF6	0.454559780695
IRF6	0.0683504383643
IRF6	0.0543510832791
IRF6	0.0448933799268
IRF6	0.0304158653505
IRF6	0.257030389342
IRF6	0.0699527846367
IRF6	0.199843005516
IRF6	0.123160182453
IRF6	0.315765627197
IRF6	0.232830102018
IRF6	0.198777467546
IRF6	0.235651385633
IRF6	0.0229204826636
IRF6	0.263456222681
IRF6	0.00783179878314
IRF6	0.0435003637324
IRF6	0.0632240020353
IRF6	1.5640816396
IRF6	0.0503400482971
IRF6	0.516431859404
IRF6	0.179284912944
IRF6	0.194471207889
IRF6	1.12591843739
IRF6	0.104520319447
IRF6	0.0183061798645
IRF6	0.0253715795099
IRF6	0.176934480314
IRF6	0.372570489988
IRF6	0.340451925359
GZF1	6.40290616992
GZF1	6.98463390224
GZF1	4.7046491561
GZF1	3.2554385751
GZF1	5.49092462103
GZF1	2.74510466893
GZF1	3.9191829478
GZF1	3.98443586838
GZF1	4.22629539655
GZF1	4.7400461796
GZF1	4.03704826802
GZF1	4.12193070491
GZF1	5.62027078761
GZF1	5.38871222999
GZF1	4.7521447723
GZF1	2.4865103117
GZF1	4.04394179375
GZF1	6.38716928854
GZF1	5.59941649563
GZF1	5.69557430324
GZF1	5.03154878944
GZF1	3.93911116136
GZF1	1.86916914069
GZF1	3.7384247101
GZF1	4.29431961465
GZF1	5.1935926055
GZF1	6.86710646915
GZF1	6.57630925674
GZF1	4.29242273353
GZF1	8.45655978815
GZF1	4.54340544932
GZF1	5.4289642718
GZF1	2.89431545338
GZF1	5.07770510637
GZF1	6.97118047312
GZF1	7.61242326821
