tf	diff	p_val	pval_adj
A1CF	-0.02960020306859206	0.4355631105636594	0.8578530567172746
ABCF2	-0.048310627256317684	0.26477766144981396	0.7525545418665819
ACO1	0.04441935920577618	0.0023788997149598854	0.03531442570930185
ADARB1	0.007693817689530695	0.8219823062137633	0.9535324911945854
AFF4	-0.05607116425992779	0.3321212546583444	0.8296839035784153
AGAP2	-0.0037004963898917068	0.9052741827178725	0.9733451871547979
AGGF1	-0.0033793095667869963	0.8903404948106757	0.9656647031754564
AHR	0.010659634476534303	0.03826550976014938	0.2412466456242145
AIRE	0.005120859657039713	0.5914108958158588	0.9086006357912463
AKR1A1	-0.05137400722021661	0.3746860766132408	0.8438432517017184
ALX1	0.005429591606498196	0.7151679520954415	0.9410062706551666
ALX3	0.010084969163658246	0.34432714237657425	0.8330503828048708
ALX4	-0.00041939681107098364	0.979365517627979	0.9896425805102816
ANDR	0.00466157490974729	0.6219691095044382	0.9165475414438684
ANXA1	-0.03031096570397112	0.44875403758521315	0.8644747918481815
ANXA11	-0.015518118231046943	0.663560498001251	0.9299205384480677
AP2A	0.03539896209386281	3.091006102364258e-05	0.0009743694236316423
AP2B	0.012284769855595665	0.3515199408555475	0.8365398430324329
AP2C	0.025141674187725633	0.0069079922245808	0.0761416211006426
AP2D	0.021207400722021673	0.10720494446534733	0.47354540755871577
APEX2	-0.01450634025270759	0.5658233105120373	0.9068846292880941
AR	0.007298894404332117	0.5245600100604848	0.8870538701182684
ARFGAP1	-0.0314023465703971	0.32506307883020125	0.8257554768085882
ARGFX	0.004077955776173273	0.7289817507366856	0.9444751051599319
ARI3A	-0.015841606498194945	0.12229209453680058	0.5187129514450838
ARI5B	0.02270974729241877	0.025938862063837387	0.18738125876324196
ARID3A	-0.003317644404332132	0.6362386043485195	0.9253677705677824
ARID5A	0.007700609205776164	0.5506703346362037	0.8937547806113231
ARID5B	0.016013056558363416	0.01872869981015218	0.14759492407205155
ARNT	-0.005144352759154199	0.5818751849563671	0.9086006357912463
ARNT2	0.005973217509025276	0.49523040162698173	0.87168092266069
ARNTL	0.00547669546157813	0.37442802037720857	0.8438432517017184
ARX	0.0020622442839951932	0.8873334025016044	0.965279552368412
ASAP3	0.014807355595667863	0.38874969605246434	0.8451345273115487
ASCC1	0.008630776173285198	0.7867765916717151	0.9491552234415056
ASCL1	0.03932443592057762	5.515621678686428e-08	6.19878988500561e-06
ASCL2	0.030292779783393495	3.1954546277645486e-07	2.2160477843547145e-05
ASPSCR1	0.038209453971119134	6.14866032857496e-10	1.421365312622245e-07
ATF1	-0.01549245938628158	0.23935041909766216	0.7201280505172613
ATF2	-0.014504111512234266	0.21066261126883976	0.6763635227543536
ATF3	-0.0045977275657555355	0.7261866677268541	0.9438586300684698
ATF4	-0.009707127707581215	0.5551092298578745	0.8954871433379367
ATF5	-0.05559138086642598	0.05351478623160941	0.3029592183805806
ATF6	-0.01675716380866426	0.31821109629141264	0.8173310936225728
ATF6A	-0.010711033393501802	0.5859725155700062	0.9086006357912463
ATF7	-0.011824548736462086	0.2754665929176858	0.7682981184092867
ATOH1	0.025675241748323877	0.001224463381448167	0.021067156115867496
ATOH7	0.02201750902527076	0.03247902008307016	0.21370063144115425
AVEN	-0.007230979241877267	0.8761948146451821	0.9614574429690409
BACH1	-0.00335868855873369	0.7544680018632282	0.9461528147351991
BACH2	-0.005384435168471726	0.6554533998929007	0.9273800320752978
BAD	0.051901037906137176	2.886730768709674e-06	0.00012133016897576721
BARH1	-0.007669539711191331	0.5555726395987435	0.8954871433379367
BARH2	-0.020798465703971113	0.10227412678414134	0.4621183994381223
BARHL1	-0.024615410649819494	0.3840751809761368	0.8438432517017184
BARHL2	-0.009170151737364629	0.5905323246476553	0.9086006357912463
BARX1	0.003547172081829121	0.7389598224238367	0.9461528147351991
BARX2	0.0015174864620938616	0.8833654170324756	0.9639872804280438
BATF	-0.005799074909747286	0.6469080193517386	0.9253677705677824
BATF3	-0.0002733654231849257	0.9482227884543608	0.985895807785756
BAX	-0.03191629061371841	0.594332029369292	0.9088627615603174
BBX	-0.011953948555956675	0.28211772380166567	0.7794766591890644
BC11A	0.009284521660649817	0.357908089673885	0.8438432517017184
BCL11A	-0.011357434566786999	0.5391779547769615	0.8935805311339169
BCL3	-0.013240455776173284	0.26621365516248435	0.7550886292645518
BCL6	0.022008677153171743	0.15464639162393418	0.5870721211300857
BCL6B	0.02101715929602889	0.0139309327690706	0.12711976151776924
BHA15	0.03213352888086643	0.0008042670818541079	0.015092375489864706
BHE22	0.022404693140794227	0.00208102869301335	0.032431312328196814
BHE23	0.0013191335740072238	0.9646763534656193	0.9879996762957182
BHE40	-0.0012399819494584852	0.9472253203645749	0.985895807785756
BHE41	0.0043067463898916955	0.759783761672756	0.9461528147351991
BHLHA15	0.02456566704955693	9.651662452328412e-07	5.354742328551803e-05
BHLHB2	0.003865004512635384	0.813579656166262	0.9535324911945854
BHLHB3	0.0034897788808664204	0.8442381875032487	0.9581076294634634
BHLHE22	0.02381420351985559	3.577749719911493e-05	0.0011027419692260535
BHLHE23	0.028741358303249094	0.0007958818222676694	0.015092375489864706
BHLHE40	0.004802507735946357	0.6057515324133775	0.9165475414438684
BHLHE41	0.015435993907942237	0.0865403407578585	0.4229882879680621
BMAL1	0.004863876353790618	0.7487372496890206	0.9461528147351991
BNC2	-0.01455306859205776	0.47670026261294185	0.8670353442634665
BOLL	-0.005938334837545127	0.8388900600469028	0.9581076294634634
BPTF	-0.0036223149819494677	0.7542787732225738	0.9461528147351991
BRAC	-0.005780268501805033	0.7079305447109021	0.9410062706551666
BRCA1	-0.012095306859205783	0.5782983147893914	0.9086006357912463
BSH	0.0020557536101083115	0.8810569892860568	0.9629834863197484
BSX	0.04386694494584838	0.0002376213828933907	0.0054930143012188815
C19ORF25	0.002679512635379064	0.9554420126975598	0.9879996762957182
C19ORF40	0.03256462093862816	0.04915459462225496	0.2888873844960493
C9ORF156	-0.007467215703971131	0.8526958779189728	0.9581076294634634
CANX	-0.0348875	0.5781214376379213	0.9086006357912463
CART1	-0.0015917870036101095	0.9280800063917156	0.9792859383727099
CAT	0.004723262635379047	0.8893355183523716	0.9656647031754564
CBFA2T2	0.01933506317689531	0.4620910421732579	0.8670353442634665
CBFB	-0.005088763537906153	0.858871031991334	0.959483382138869
CBX3	-0.025724345667870047	0.4932440759608069	0.8713853761833125
CBX7	0.023823307761732852	0.22568967179168528	0.7002943507272203
CCDC25	0.02768025722021661	0.40229689586369743	0.8480018195636357
CD59	-0.004468005415162443	0.8729333905834076	0.961316955608235
CDC5L	-0.005413402527075818	0.6204793320324429	0.9165475414438684
CDK2AP1	-0.030446006317689532	0.6181953805366289	0.9165475414438684
CDX1	0.00989801067990374	0.2571959813840398	0.7401054485055254
CDX2	0.010881859205776175	0.0889009098824426	0.4307222105765418
CDX4	0.006904783393501809	0.48587616089659524	0.8671702153688049
CEBPA	0.006609155814853024	0.20508219812622067	0.6677206779367796
CEBPB	0.0040663334837545105	0.6347350565036838	0.9247663060615645
CEBPD	0.012097632917623898	0.010198300441525539	0.10250030951011538
CEBPE	0.018146037085658023	5.010314510206832e-05	0.0014715582620444885
CEBPG	0.0001993924058793263	0.9717112613401658	0.9896425805102816
CEBPZ	-0.004623781588447645	0.780481250674649	0.9491552234415056
CELF4	0.01809065884476535	0.6698867454658707	0.9299205384480677
CELF5	0.04911351534296029	0.10640068441534146	0.47149440665839815
CELF6	0.031549142599277984	0.21503314250337593	0.685431740273479
CENPB	-0.003632656438026474	0.7984319500944017	0.9491552234415056
CERS4	-0.06400020306859205	0.13255419081103068	0.5375808849558467
CFL2	0.02576904332129963	0.3460806040861324	0.8330503828048708
CHD1	0.01147461642599279	0.36903561828492537	0.8438432517017184
CHD2	0.012484882671480145	0.12661276191516616	0.5252930756595642
CKMT1B	0.03771053700361011	6.677890339807747e-05	0.0018441824540987443
CLK1	0.046816719314079415	0.0009130386249885134	0.016126658313817883
CLOCK	-0.00299360559566789	0.7562115525591435	0.9461528147351991
CNOT6	0.030610694945848352	0.1437830566001684	0.5665542599557772
COE1	-0.012571502707581228	0.4316633027512756	0.8543567346614196
COT1	0.005843795126353801	0.3971788830763672	0.8480018195636357
COT2	0.010664970667870043	0.0697280008738012	0.37197206619985484
CPEB1	0.0009209386281588405	0.9424292025675016	0.9835585432363617
CPSF4	0.02454503610108303	0.45360064994613813	0.865557060894383
CR3L1	0.010491177797833928	0.36033917586315933	0.8438432517017184
CR3L2	-0.0024784296028880944	0.8538003100337712	0.9581076294634634
CREB1	-0.006151820848375445	0.5073322903132602	0.8728290907623381
CREB3	-0.0009006833419288388	0.9279513334084641	0.9792859383727099
CREB3L1	0.011354452909322577	0.013027349850624008	0.1205651249636173
CREB3L2	0.004386070998796629	0.3317613834494766	0.8296839035784153
CREB3L4	-0.00859051218411553	0.3631670981182783	0.8438432517017184
CREB5	-0.008160621615523458	0.3434428203900165	0.8330503828048708
CREM	-0.011925984318592063	0.32587937131853395	0.8263157002171967
CRX	0.020359574308062567	0.2033482299224652	0.6666110121021648
CSNK2B	-0.018744742779783385	0.5935055342659474	0.9086006357912463
CSTF2	0.029434521660649818	0.008824103699212608	0.09202279572036005
