tf	diff	p_val	pval_adj
A1CF	-0.008755714285714283	0.8611647453793573	0.9733676135391661
ABCF2	0.02364964285714286	0.25590657806980627	0.6772124874928563
ACO1	0.052881642857142856	2.0338381778306604e-06	3.280155293780379e-05
ADARB1	0.03388571428571429	0.229959442446151	0.6402665119139327
AFF4	-0.15450164285714282	0.2149486795733686	0.6145972883055064
AGAP2	0.037078285714285716	0.0021685018888180246	0.01680286100441676
AGGF1	-0.06334242857142858	0.1964063625987878	0.5796077126053589
AHR	0.016016910714285727	0.01150311378827527	0.07219375033637014
AIRE	0.0101192142857143	0.36631855901341853	0.7976198451359678
AKR1A1	-0.1483917142857143	0.22913402932220733	0.6402665119139327
ALX1	-0.01004992857142857	0.7598407214843362	0.9481367366368849
ALX3	-0.009259059523809537	0.6626608386992368	0.9199756307640419
ALX4	-0.008138309523809499	0.730788447094997	0.9367870389286145
ANDR	0.0161999761904762	0.083490322358324	0.3395926014985202
ANXA1	0.046561500000000006	1.3751252428223743e-08	4.890509517422136e-07
ANXA11	-0.004135928571428582	0.9282391988753466	0.981186562819763
AP2A	0.02253421428571429	0.11053478551364627	0.4066624602319029
AP2B	0.007662357142857144	0.7613790048030953	0.9481367366368849
AP2C	0.01245614285714286	0.42893057613555996	0.8333723807831488
AP2D	0.01717464285714286	0.4784760571188892	0.8552142928143033
APEX2	-0.019888571428571436	0.5799841384578103	0.9012313826638019
AR	0.006466464285714277	0.5219017155170671	0.8721437129040072
ARFGAP1	-0.05587971428571428	0.32215838346961967	0.762424015999989
ARGFX	-0.007812928571428568	0.6503835464371401	0.9195534953193816
ARI3A	-0.01274757142857142	0.2978053361256934	0.7312836040027721
ARI5B	0.024193714285714304	0.11114026972230687	0.4069182965294193
ARID3A	-0.004555047619047625	0.6326488924859246	0.9121455445717022
ARID5A	-0.001135642857142856	0.968508532292096	0.9901524913652532
ARID5B	0.02184738095238094	0.032494520837216996	0.16754609814579915
ARNT	-0.01393494897959184	0.4758144231407715	0.8549610547440124
ARNT2	-0.002086821428571424	0.9000122067144434	0.9797471882798591
ARNTL	0.013551765306122426	0.011804744838174324	0.07375306797544048
ARX	-0.013628785714285718	0.6606499196961825	0.9199756307640419
ASAP3	0.009944071428571427	0.7281406841596304	0.9359880712969484
ASCC1	-0.0008395714285714256	0.9877721642700997	0.9959413221038254
ASCL1	0.04230939285714286	3.844394869518628e-07	7.841434829444614e-06
ASCL2	0.03305964285714286	1.531570191032571e-08	5.310719637405441e-07
ASPSCR1	0.040186642857142865	6.066232565233569e-08	1.5760616202592566e-06
ATF1	-0.01702767142857143	0.4201664918007788	0.8332925048369625
ATF2	-0.018681500000000014	0.32675102511172155	0.762424015999989
ATF3	0.010602571428571426	0.1412832816224224	0.4744792048675542
ATF4	0.003232871428571416	0.8154206268386099	0.9673650826295499
ATF5	-0.030595107142857125	0.3425145031805322	0.7775247396258563
ATF6	-0.02512817857142858	0.48189180086629513	0.8559482695715305
ATF6A	-0.01489971428571428	0.6968218269848196	0.9320075930838426
ATF7	-0.013184336734693873	0.4603399093524446	0.8490577849359584
ATOH1	0.036730989795918365	1.4682936569806246e-07	3.2847150036002037e-06
ATOH7	0.026809714285714284	0.06410528871106748	0.2800608011850566
AVEN	-0.024993714285714286	0.7935601948845363	0.9599343253382238
BACH1	-0.001496692307692303	0.8939514194489124	0.9797471882798591
BACH2	-0.0015156428571428682	0.8639166946191216	0.9733676135391661
BAD	0.059168000000000005	6.3086523843389465e-06	9.020722533070226e-05
BARH1	-0.019502428571428573	0.2738599552451988	0.6906250144092559
BARH2	-0.056666928571428576	0.003158201177591319	0.023550672222146022
BARHL1	-0.05832459523809524	0.22094063098582303	0.6253972554639522
BARHL2	-0.03709687500000002	0.24961460909225786	0.6654774861499891
BARX1	-0.023731571428571435	0.23075200603255205	0.6402665119139327
BARX2	0.006222880952380959	0.4833434893383832	0.8559482695715305
BATF	-0.0075506696428571385	0.725680827536056	0.9359880712969484
BATF3	0.0047405952380952555	0.3239235609598574	0.762424015999989
BAX	0.057526642857142866	1.1755250289107476e-08	4.290666355524229e-07
BBX	-0.024186999999999986	0.15998149634103986	0.5148360450696573
BC11A	0.009428857142857135	0.5152545907781751	0.8721437129040072
BCL11A	-0.0039205	0.8974099706891647	0.9797471882798591
BCL3	-0.00696278571428572	0.701986608078327	0.933257365778191
BCL6	0.029326724489795952	0.25281556652528625	0.6717532390240843
BCL6B	0.026170619047619036	0.07151256808017353	0.30148307576656747
BHA15	0.0405115	0.0002896476600191315	0.002789870169767607
BHE22	0.024545357142857143	0.03006328760535181	0.15735011286272818
BHE23	-0.019160071428571422	0.7801163497749782	0.9524836066354708
BHE40	-0.014905714285714293	0.7198711839454768	0.9359880712969484
BHE41	0.00544185714285713	0.8045025080204492	0.9644883743785808
BHLHA15	0.025456714285714267	5.882346092291169e-07	1.1491287366208243e-05
BHLHB2	0.0050811428571428605	0.8771348596553528	0.9779630629758637
BHLHB3	0.010829214285714282	0.7360606806654035	0.9409365567584467
BHLHE22	0.024105166666666657	0.00031307492252763435	0.002959680420056823
BHLHE23	0.03446925	3.631827171086919e-05	0.0004233062425460132
BHLHE40	0.011787571428571425	0.39513211979415763	0.8151746356588789
BHLHE41	0.02355930357142857	0.09853113932569635	0.3749733820809016
BMAL1	-0.0012478571428571478	0.9671614948822023	0.9901524913652532
BNC2	-0.032776857142857156	0.39500981785385275	0.8151746356588789
BOLL	0.030752214285714292	0.090224287583561	0.35857044950830697
BPTF	-0.0017747857142857149	0.9290767331668135	0.981186562819763
BRAC	0.01775678571428575	0.05100770277929448	0.2374083347479243
BRCA1	0.038889749999999994	1.4360051183673105e-14	3.319565165292433e-12
BSH	-0.01641042857142857	0.5113961752598406	0.8721437129040072
BSX	0.033818547619047644	0.10325355116701684	0.390225273756546
C19ORF25	-0.03351185714285715	0.7378203064112938	0.9423174631606488
C19ORF40	0.008786428571428577	0.7705157030086741	0.9486930716234854
C9ORF156	0.04782842857142856	0.00013364128912968752	0.0013936877294953127
CANX	0.050681	7.0485240091884594e-06	9.875053334085247e-05
CART1	-0.020807785714285716	0.5437430601045334	0.8889194032010524
CAT	-0.04208085714285715	0.5643405128279173	0.8957060889453045
CBFA2T2	0.005381785714285714	0.9096028356348111	0.9797471882798591
CBFB	0.02471775	0.12685197693712652	0.44386192078211995
CBX3	0.0032785000000000036	0.9548291926277456	0.9879227478917616
CBX7	0.030365571428571426	0.3728052522277243	0.8016757904493855
CCDC25	0.05388414285714285	5.490206440415298e-07	1.0878451904080027e-05
CD59	-0.01528121428571428	0.6920977086198512	0.9308439041330684
CDC5L	0.0013331071428571498	0.8553898749312817	0.9733676135391661
CDK2AP1	-0.010525714285714284	0.8652936319349617	0.9733676135391661
CDX1	-0.0036470476190476053	0.8167155816576805	0.9673650826295499
CDX2	0.008011619047619038	0.4203475110359641	0.8332925048369625
CDX4	-0.007114285714285712	0.7158594678439822	0.9359880712969484
CEBPA	0.0024163367346938837	0.7581631473971595	0.9481367366368849
CEBPB	0.011909107142857152	0.07281141021030735	0.3032715494345234
CEBPD	0.016652824675324692	5.601353787373672e-06	8.092789274049253e-05
CEBPE	0.019938681818181828	2.15711969576715e-05	0.0002647721254892953
CEBPG	0.007552984693877558	0.15381480379072343	0.49870476714508355
CEBPZ	0.021239892857142863	0.05078924306645371	0.23718747519586295
CELF4	0.04836478571428573	0.44217433050406585	0.8394726705143094
CELF5	0.04471857142857144	0.45814627299721855	0.8461369915408017
CELF6	0.07070392857142858	1.7420455897551408e-07	3.83526544919108e-06
CENPB	-0.02122778571428572	0.4394156262039738	0.8394726705143094
CERS4	-0.0648437857142857	0.3457971084200643	0.7811410250466273
