cancer_gene_type	mutation_count_bin	gene_exp
TSG	2	0.20014624768184236
TSG	5-10	0.012593646324073981
OG	1	0.11538520739545846
TSG	2	0.46931377050497025
TSG	3-5	0.0003346365100086227
TSG	1	0.0363279442826007
TSG	3-5	0.1935739900622001
OG	5-10	0.04035874434409213
TSG	3-5	0.003819342269914531
TSG	10-20	0.11182611931008925
TSG	20+	0.0
TSG	3-5	0.14163017483015883
TSG	1	0.6348921307445732
TSG	10-20	0.0
OG	1	0.1367643714959001
TSG	3-5	0.00017181985378532844
TSG	1	0.05938585395040004
OG	2	0.047024275253957644
TSG	1	0.04980476475848683
TSG	5-10	0.0015531940314989512
OG	1	0.008582185081189112
OG	1	0.06391946969475513
TSG	5-10	0.005643033950791778
TSG	1	0.2556564470261932
OG	3-5	0.05230895162633569
OG	1	0.2753046662280216
TSG	10-20	0.024845703883718574
TSG	2	0.12389008283198982
TSG	1	0.09773177432043458
TSG	5-10	0.000473433520018683
OG	3-5	0.10956174496082241
TSG	2	0.1620400825087662
TSG	20+	0.0008923099040361089
TSG	1	0.24394701919059922
TSG	3-5	0.001689414669309142
TSG	5-10	0.0015157083552642244
TSG	5-10	0.0013905207050952696
OG	1	0.014366812001239637
TSG	1	0.1574296873378126
OG	1	0.11752428148414806
TSG	20+	0.002651263483887485
TSG	2	0.21402051628268537
TSG	3-5	0.0036834763910863957
OG	1	0.03708799137390674
TSG	5-10	0.0824862607780386
TSG	2	0.08042384073957454
TSG	3-5	0.001229165503386313
OG	1	0.2320511904363901
TSG	10-20	0.001848090408135489
TSG	2	0.051732345927573704
TSG	2	0.20992789070596948
TSG	20+	0.00449883990832172
TSG	1	0.1958541340849721
TSG	1	0.010396365697102986
TSG	5-10	0.0005398933030574121
TSG	10-20	0.0035919824305811077
TSG	1	0.10334820223175711
TSG	20+	0.0
OG	1	0.005641962583757986
TSG	20+	0.000251277021749398
OG	3-5	0.03696060442423223
TSG	1	0.2118500113864949
TSG	2	0.4362579844371071
TSG	10-20	0.0036280451540201698
TSG	1	0.04041728350186791
OG	3-5	0.059623738196925145
TSG	5-10	0.00032787133660947497
OG	1	0.028316329558155773
TSG	3-5	0.09136787639963606
TSG	5-10	0.19072058411074902
OG	5-10	0.0987923629271467
OG	5-10	0.4128608146034474
OG	2	0.07912231940022918
TSG	10-20	0.11021332209964085
TSG	20+	0.000483976080545881
OG	3-5	0.022619651341699305
TSG	5-10	0.2016475601939418
TSG	3-5	0.0
TSG	1	0.12500397690867573
OG	1	0.2029245543353527
TSG	2	0.18676635235965705
TSG	2	0.1649082493693961
TSG	20+	0.2014707564295105
TSG	2	0.07305206929634915
TSG	10-20	0.0
TSG	5-10	0.0022203101111147455
TSG	5-10	0.010837296437260988
TSG	5-10	0.0006655108009096539
TSG	5-10	0.0036433005566079996
OG	1	0.046070922582583364
OG	3-5	0.060902350739191154
TSG	1	0.01921158216420264
TSG	10-20	0.0
TSG	1	0.22679298880164458
TSG	1	0.0013235473296235698
TSG	5-10	0.050293598774766995
TSG	5-10	0.13839879993305249
OG	10-20	0.03925465642621276
OG	3-5	0.16699359389730237
OG	1	0.10168980918626126
TSG	10-20	0.06658444176913253
OG	5-10	0.07061700647651815
TSG	20+	0.001152046609234987
OG	1	0.01954618799524145
OG	5-10	0.01011262193173598
TSG	5-10	0.1453383005298435
TSG	2	0.4620329162590688
TSG	2	0.0
TSG	2	0.002503065009832067
TSG	10-20	0.0007964020658219935
TSG	10-20	0.0006319971178924954
TSG	1	0.17277015558241002
TSG	2	0.0020324545144888876
OG	1	0.1802905332552754
TSG	10-20	0.0012722640062173664
TSG	1	0.427148479379491
OG	2	0.09076537289497255
TSG	2	0.1588993713563436
OG	1	0.08085690977967973
TSG	5-10	0.002151277587211452
OG	1	0.042022516445203585
TSG	3-5	0.00012001991139446407
TSG	10-20	0.0007701167773595106
TSG	1	0.11431040645540605
TSG	20+	0.000179800092144285
TSG	1	0.1689790322737623
OG	1	0.08126479649941075
TSG	1	0.13750608762074248
TSG	1	0.13434998841131585
TSG	10-20	0.0013680136838964212
OG	1	0.05830584671744093
TSG	3-5	0.0
TSG	2	0.0
TSG	5-10	0.2841990623927112
TSG	3-5	0.03270330516131106
OG	1	0.1568256381341667
TSG	20+	0.12964069534685127
TSG	3-5	0.21178113136728172
OG	1	0.015589368141939055
TSG	1	0.07648223970124117
OG	1	0.14506375057462725
TSG	2	0.16459201202336507
TSG	1	0.24001401680091428
TSG	20+	0.0
OG	2	0.02458128404888451
TSG	3-5	0.03425910492426855
OG	5-10	0.05618826972736084
OG	1	0.11371097430672467
OG	1	0.18173472088012663
TSG	2	0.036254607331974956
TSG	20+	4.6511114072015406e-05
TSG	1	0.30948079044567367
TSG	3-5	0.0002447588208385915
OG	1	0.09903434555353044
TSG	1	0.12262562273626203
TSG	1	0.21287208086960374
OG	2	0.05647465432038392
OG	1	0.17960591519764718
TSG	3-5	0.1093285506360173
TSG	20+	0.0009162200638166097
OG	2	0.07445907096504295
TSG	1	0.13916823720996074
TSG	20+	0.0005255233523298634
OG	1	0.016935821674898335
TSG	2	0.017887600992957015
TSG	3-5	0.0696685455143565
TSG	3-5	0.09680705112381288
OG	3-5	0.049119916491793036
OG	1	0.07003312774705614
TSG	5-10	0.08493854073414822
TSG	1	0.06798595388580557
TSG	20+	0.01192437201460152
TSG	10-20	0.0
TSG	1	0.16085057265503486
TSG	3-5	0.005040174895858416
TSG	5-10	0.0016686458912264042
TSG	1	0.1769833967122216
OG	1	0.28879574929391
TSG	3-5	0.6520632994877121
TSG	10-20	0.0043751821579143535
TSG	1	0.030412974278134018
TSG	1	0.029967579853638005
TSG	10-20	0.005888962244723799
TSG	3-5	0.0
TSG	10-20	0.0
TSG	3-5	0.16795960599510487
TSG	3-5	0.2404571987055516
OG	2	0.10285211257539092
OG	1	0.8739245903111761
OG	1	0.09808096950794654
TSG	5-10	0.14662635198227164
TSG	1	0.10960627538225212
OG	1	0.07727753417558661
TSG	20+	0.0
OG	3-5	0.024802207613060838
TSG	1	0.15287463739549578
TSG	2	0.2062630894450911
OG	2	0.060900899303576804
OG	1	0.1217971481546768
TSG	2	0.1438857233591609
TSG	20+	0.001002319336856576
TSG	5-10	0.0006730276842666736
TSG	2	0.1075492060332289
TSG	5-10	0.12558851659842346
TSG	20+	0.0020265467755886312
OG	1	0.0320888153087585
TSG	1	0.27113485731711245
TSG	1	0.09934989458058752
OG	1	0.08092992672652732
TSG	3-5	0.0007539978245333087
OG	1	0.1414087821292253
TSG	3-5	0.15309087464686125
TSG	3-5	0.0010994723162430743
TSG	1	0.18759424931279567
TSG	1	0.0740026040208015
TSG	1	0.6404672774399505
TSG	3-5	3.599914602707646e-05
OG	1	0.05092770917119571
OG	1	0.10450512117354575
TSG	5-10	0.0019535604524134444
TSG	10-20	0.006992926099032246
TSG	2	0.2647584752220347
TSG	20+	0.0012911764394453128
TSG	1	0.16751010733055954
TSG	1	0.1424535952941971
TSG	5-10	0.00045976599876252364
TSG	1	0.18477023451293723
OG	1	0.05181802379837075
TSG	1	0.11039996523007366
TSG	10-20	8.985014915124234e-05
TSG	1	0.09837888901631581
TSG	1	0.27050320704763664
OG	1	0.057604498017074963
TSG	2	0.1133900366680245
TSG	20+	0.00041027654115627696
OG	1	0.011270230654892329
TSG	1	0.1433417821454867
OG	1	0.15398452463744988
OG	1	0.17855141221440043
OG	1	0.03539225706725713
TSG	20+	0.0
TSG	2	0.10332335635140284
TSG	1	0.05615837820692785
TSG	5-10	0.0010008530252014936
OG	1	0.014514408273338253
TSG	1	0.20068449143842002
TSG	1	0.23836398842471473
OG	1	0.12582705501569416
TSG	5-10	0.0017346696598004839
OG	1	0.027793612679922475
TSG	1	0.03318745326877119
TSG	1	0.07607226799598799
OG	1	0.03042659613052294
TSG	3-5	0.05168465573402142
TSG	5-10	0.004119994211403877
OG	1	0.0072136020547661365
TSG	1	0.09733145918813196
TSG	1	0.11372228907105505
TSG	10-20	0.002154047456735325
TSG	5-10	0.0
TSG	1	0.08068720689189156
TSG	1	0.2588510571839218
TSG	10-20	0.0010151059662197193
OG	1	0.009518541542767784
OG	1	0.029431701200564802
TSG	1	0.2412014234040052
TSG	20+	0.000119402800012926
TSG	1	0.18839645295245414
TSG	1	0.22494423689572168
TSG	3-5	0.0019271889088449045
TSG	2	0.21980140966010442
TSG	10-20	0.004147227762778836
OG	1	0.24922846185199707
TSG	2	0.549802687234044
TSG	20+	0.0013059231075630126
TSG	3-5	0.0
TSG	1	0.08313812530351042
TSG	3-5	0.23357063033658532
OG	5-10	0.17022288451439307
TSG	1	0.27127861291037175
TSG	20+	0.0
TSG	3-5	0.0
TSG	2	0.08234091168120962
OG	1	0.07128385519757995
TSG	3-5	0.0018722936217095176
TSG	1	0.07050579474101956
TSG	20+	0.0005052123013866495
TSG	3-5	0.003546825192686328
TSG	1	0.07555992799347742
TSG	1	0.02263008941705036
TSG	1	0.15539819220253417
TSG	20+	0.00022678716747344797
TSG	1	0.08311299217657044
OG	2	0.0651281048425975
TSG	1	0.0006398219605740571
OG	1	0.006583715300848003
TSG	1	0.15398372353004872
TSG	20+	0.0010177938606039884
TSG	1	0.17574346082568287
TSG	5-10	0.0014838305790248567
TSG	1	0.05378819396370041
TSG	20+	0.0023822615165230003
TSG	1	0.190014156842731
OG	20+	0.07346964254201226
TSG	20+	0.006104001298249168
OG	20+	0.37042083167649825
OG	5-10	0.018607512473101967
TSG	1	0.047785566846669
TSG	5-10	6.688005638046765e-05
TSG	1	0.10987984132184778
TSG	3-5	0.005077268746077943
OG	2	0.05054876866201024
TSG	3-5	0.193490945596967
TSG	20+	0.00031459631440871444
OG	3-5	0.06236740985346585
OG	5-10	0.27390679301939375
TSG	10-20	0.1232464184474924
TSG	20+	0.00018525669215556866
OG	2	0.019428471150656653
TSG	5-10	0.19081619422100005
TSG	3-5	0.0
TSG	1	0.1055798631939463
OG	1	0.03251722285473067
TSG	1	0.1971052016375584
TSG	10-20	0.00041664902252981406
OG	1	0.0239418901652322
TSG	3-5	0.0004172961923781355
TSG	1	0.31276325983532
TSG	1	0.12027958589032219
TSG	1	0.002700792251218582
OG	2	0.0890565044546867
TSG	5-10	0.0028329180871942364
TSG	1	0.16070512479461152
TSG	2	0.0
OG	1	0.06567536671577469
TSG	3-5	0.13581561354451108
TSG	20+	0.0005286938823624338
TSG	2	0.4700968361749822
TSG	1	0.006125841848384929
TSG	1	0.037868998708436706
TSG	1	0.08658911698642012
OG	2	0.07872822749640987
TSG	2	0.07324131534996894
TSG	2	0.0478962957806739
TSG	10-20	0.03446083527629062
TSG	1	0.09921281660889256
TSG	3-5	0.02191978551975235
TSG	1	0.1348677528509701
TSG	10-20	0.0003441179747935439
OG	1	0.010720004101993795
OG	1	0.028296781165877468
TSG	10-20	0.000145584922673161
TSG	1	0.1346513614066745
OG	1	0.1065149440572978
TSG	1	0.25915653467036365
TSG	5-10	0.001019700237124978
OG	1	0.006374057319806589
TSG	1	0.0010263461315612582
TSG	3-5	0.0008815648375461408
TSG	1	0.1881878193960634
OG	1	0.06823924016355483
TSG	1	0.21868404570073277
OG	1	0.14422107966128075
TSG	10-20	0.005133709872991819
TSG	2	0.18372761358844933
TSG	1	0.047866244451115314
OG	1	0.0685106879791205
TSG	3-5	0.0049285673549592166
TSG	1	0.14156474051446222
OG	1	0.1527368849561787
TSG	2	0.12111430280336283
TSG	20+	0.0
TSG	3-5	0.00036730409993074867
TSG	3-5	0.004684714426943122
TSG	1	0.03246206490501176
TSG	2	0.0020375722581501294
TSG	1	0.27735365889835145
OG	1	0.1165953765182534
TSG	2	0.1839804123667309
TSG	20+	0.00033498458096031347
TSG	1	0.271265508458146
OG	1	0.19484191087442093
TSG	1	0.017667322400094852
TSG	10-20	0.020978791137400275
TSG	1	0.01757116076106246
OG	1	0.03649901901240451
TSG	2	0.10713699024671516
TSG	10-20	0.0004618928525955808
OG	1	0.020034595321115036
TSG	1	0.021895827666403737
TSG	5-10	0.0
TSG	3-5	0.0007293380297372099
TSG	1	0.08077490589219107
OG	1	0.15823538005481264
TSG	2	0.06120448177380624
TSG	10-20	0.00016562860544817954
TSG	1	0.20229879334334616
OG	1	0.07581078594923173
OG	1	0.25812895031060495
TSG	5-10	0.002329380526859984
TSG	1	0.12581942583418726
TSG	5-10	0.0002598946975785707
OG	1	0.0707959890408075
OG	1	0.15048025867148732
OG	1	0.02247236372595773
TSG	1	0.4676006981053586
TSG	10-20	0.004876092875841727
TSG	3-5	0.0008249477327845674
TSG	2	0.0333539018881475
TSG	1	0.03960645287941022
TSG	5-10	0.0047830254256960095
TSG	2	0.2705318134250838
OG	2	0.07421427327371088
TSG	1	0.14087213394088763
TSG	10-20	0.00021236201443268862
OG	1	0.41981862049651647
TSG	1	0.0
TSG	1	0.09472178111474962
TSG	2	0.04270832413846691
TSG	10-20	0.0005339231365774809
TSG	1	0.23481021500402832
TSG	1	0.14669322494354647
TSG	5-10	0.015525305454517519
OG	1	0.19472871294556374
TSG	1	0.2709785374178136
TSG	5-10	0.0031600767458195267
OG	1	0.026104140465785953
TSG	2	0.0005047512944947841
TSG	1	0.06312731465194227
TSG	10-20	0.0008356824794908047
TSG	1	0.4748113044651007
TSG	20+	0.001760081608169303
TSG	3-5	0.06153034683139372
TSG	1	0.16866211571500658
OG	10-20	0.0547836131906761
OG	1	0.21998824592990812
TSG	5-10	0.08617414985283721
TSG	2	0.12244768255278812
OG	3-5	0.2536086576903458
TSG	20+	0.005415320404306223
OG	1	0.02527166632543747
OG	1	0.04942999473280457
TSG	1	0.10596651933641989
OG	1	0.07772333717975456
TSG	1	0.04807238689739259
TSG	5-10	0.00938477952291395
TSG	1	0.2288628006776499
TSG	1	0.1924140076412942
TSG	2	0.0012312617623047746
TSG	5-10	0.001534848899022599
OG	1	0.0505107240957404
TSG	1	0.09655160118610616
OG	3-5	0.07694927702986927
TSG	5-10	0.12774203251059493
OG	1	0.08031116478281394
TSG	20+	0.00011470962267259345
OG	2	0.022477143730316416
TSG	3-5	0.000722075101663624
OG	1	0.02549239744158547
TSG	5-10	0.0
TSG	5-10	0.0001048151370152804
TSG	1	0.051633418881923146
TSG	5-10	0.0
TSG	2	0.0001114115911276704
TSG	2	0.10593613617467626
OG	1	0.12155887823099835
TSG	1	0.08301930934728875
TSG	1	0.11637109949476021
TSG	20+	0.0001964735743323207
OG	1	0.03167661958902048
TSG	2	0.09107911783767185
TSG	5-10	0.001394103091434865
TSG	1	0.020473392185806797
TSG	1	0.031010029489376215
OG	1	0.08190560240577825
TSG	1	0.03579281488109171
OG	1	0.024120352374236053
TSG	20+	0.0004118467437546315
TSG	3-5	0.0014382672437503279
TSG	2	0.03849235813923021
TSG	1	0.159705968544724
OG	3-5	0.10482719499498962
TSG	1	0.006695335941984957
OG	2	0.2842449514663669
TSG	20+	0.0
OG	3-5	0.011992982298867295
TSG	2	0.10552714175755863
TSG	1	0.08276015112354315
TSG	1	0.03548548318253573
TSG	10-20	0.0062489345418933456
TSG	1	0.08335278696659316
OG	1	0.43379919730624145
TSG	10-20	0.00014619923633502744
TSG	2	0.14096879743827298
TSG	20+	0.003024492544963116
TSG	2	0.18119756802934645
TSG	5-10	0.0006661410290290834
TSG	1	0.11163544034739828
OG	3-5	0.10802201247664371
TSG	20+	0.0004781322368570446
TSG	2	0.2445103913798465
OG	1	0.1381597612087317
TSG	1	0.05841182166472122
OG	1	0.06632762744312667
TSG	2	0.0795426844196598
TSG	10-20	0.016748345400861765
TSG	2	0.0010752222852599413
OG	3-5	0.15165651474006905
OG	1	0.6192915371474785
OG	1	0.13857204812111112
TSG	3-5	0.08102550749769018
TSG	20+	0.0007540854893137624
TSG	1	0.06934853401050158
TSG	1	0.06344939920732058
TSG	1	0.05431266249137567
OG	1	0.04840321203430328
TSG	2	0.04431331556860731
TSG	3-5	0.0005075593451482668
TSG	5-10	0.00036616174761231753
TSG	1	0.19933658145974034
TSG	1	0.07668965921132989
TSG	5-10	0.0011208526373300744
TSG	10-20	0.0047436789562033625
TSG	1	0.11384526936621467
OG	1	0.13763415332516157
TSG	1	0.22946232786951634
OG	1	0.11102446112700556
TSG	1	0.1226450351800249
TSG	10-20	0.0008381810252659302
TSG	1	0.3568645270021581
TSG	1	0.061335286993740815
OG	1	0.06330125035209373
TSG	2	0.0005868205674650278
OG	1	0.018251992681808694
TSG	5-10	0.0
TSG	2	0.0008040739870547788
TSG	1	0.2952219593672455
