cancer_gene_type	mutation_count_bin	gene_exp	TMB_group
TSG	0-2	0.20014624768184236	Medium (5-10/Mb)
TSG	5-10	0.012593646324073981	Medium (5-10/Mb)
TSG	0-2	0.46931377050497025	Low (0-5/Mb)
TSG	3-5	0.0003346365100086227	Low (0-5/Mb)
TSG	0-2	0.0363279442826007	Low (0-5/Mb)
TSG	3-5	0.1935739900622001	High (>=10/Mb)
TSG	3-5	0.003819342269914531	High (>=10/Mb)
TSG	10-20	0.11182611931008925	High (>=10/Mb)
TSG	20+	0.0	High (>=10/Mb)
TSG	3-5	0.14163017483015883	High (>=10/Mb)
TSG	0-2	0.6348921307445732	High (>=10/Mb)
TSG	10-20	0.0	Low (0-5/Mb)
TSG	3-5	0.00017181985378532844	Low (0-5/Mb)
TSG	0-2	0.05938585395040004	Low (0-5/Mb)
TSG	0-2	0.04980476475848683	Low (0-5/Mb)
TSG	5-10	0.0015531940314989512	Low (0-5/Mb)
TSG	5-10	0.005643033950791778	Low (0-5/Mb)
TSG	0-2	0.2556564470261932	Medium (5-10/Mb)
TSG	10-20	0.024845703883718574	Medium (5-10/Mb)
TSG	0-2	0.12389008283198982	Medium (5-10/Mb)
TSG	0-2	0.09773177432043458	Low (0-5/Mb)
TSG	5-10	0.000473433520018683	Low (0-5/Mb)
TSG	0-2	0.1620400825087662	High (>=10/Mb)
TSG	20+	0.0008923099040361089	High (>=10/Mb)
TSG	0-2	0.24394701919059922	High (>=10/Mb)
TSG	3-5	0.001689414669309142	Low (0-5/Mb)
TSG	5-10	0.0015157083552642244	Low (0-5/Mb)
TSG	5-10	0.0013905207050952696	Low (0-5/Mb)
TSG	0-2	0.1574296873378126	Medium (5-10/Mb)
TSG	20+	0.002651263483887485	Medium (5-10/Mb)
TSG	0-2	0.21402051628268537	Medium (5-10/Mb)
TSG	3-5	0.0036834763910863957	Low (0-5/Mb)
TSG	5-10	0.0824862607780386	Low (0-5/Mb)
TSG	0-2	0.08042384073957454	Low (0-5/Mb)
TSG	3-5	0.001229165503386313	Low (0-5/Mb)
TSG	10-20	0.001848090408135489	Low (0-5/Mb)
TSG	0-2	0.051732345927573704	Medium (5-10/Mb)
TSG	0-2	0.20992789070596948	Medium (5-10/Mb)
