cancer_gene_type	mutation_count_bin	gene_exp	gene_size_group
TSG	0-2	0.20014624768184236	Q1
TSG	5-10	0.012593646324073981	Q3
TSG	0-2	0.46931377050497025	Q3
TSG	2-5	0.0003346365100086227	Q3
TSG	0-2	0.0363279442826007	Q1
TSG	2-5	0.1935739900622001	Q1
TSG	2-5	0.003819342269914531	Q1
TSG	10+	0.11182611931008925	Q2
TSG	10+	0.0	Q3
TSG	2-5	0.14163017483015883	Q1
TSG	0-2	0.6348921307445732	Q1
TSG	10+	0.0	Q3
TSG	2-5	0.00017181985378532844	Q3
TSG	0-2	0.05938585395040004	Q2
TSG	0-2	0.04980476475848683	Q2
TSG	5-10	0.0015531940314989512	Q3
TSG	5-10	0.005643033950791778	Q3
TSG	0-2	0.2556564470261932	Q1
TSG	10+	0.024845703883718574	Q3
TSG	0-2	0.12389008283198982	Q1
TSG	0-2	0.09773177432043458	Q2
TSG	5-10	0.000473433520018683	Q3
TSG	0-2	0.1620400825087662	Q1
TSG	10+	0.0008923099040361089	Q3
TSG	0-2	0.24394701919059922	Q1
TSG	2-5	0.001689414669309142	Q3
TSG	5-10	0.0015157083552642244	Q3
TSG	5-10	0.0013905207050952696	Q3
TSG	0-2	0.1574296873378126	Q2
TSG	10+	0.002651263483887485	Q3
TSG	0-2	0.21402051628268537	Q1
TSG	2-5	0.0036834763910863957	Q3
TSG	5-10	0.0824862607780386	Q1
TSG	0-2	0.08042384073957454	Q3
TSG	2-5	0.001229165503386313	Q3
TSG	10+	0.001848090408135489	Q3
TSG	0-2	0.051732345927573704	Q1
TSG	0-2	0.20992789070596948	Q2
TSG	10+	0.00449883990832172	Q3
TSG	0-2	0.1958541340849721	Q1
TSG	0-2	0.010396365697102986	Q2
TSG	5-10	0.0005398933030574121	Q3
TSG	10+	0.0035919824305811077	Q3
TSG	0-2	0.10334820223175711	Q2
TSG	10+	0.0	Q3
TSG	10+	0.000251277021749398	Q3
TSG	0-2	0.2118500113864949	Q2
TSG	0-2	0.4362579844371071	Q2
TSG	10+	0.0036280451540201698	Q3
TSG	0-2	0.04041728350186791	Q2
TSG	5-10	0.00032787133660947497	Q3
TSG	2-5	0.09136787639963606	Q2
TSG	5-10	0.19072058411074902	Q1
TSG	10+	0.11021332209964085	Q2
TSG	10+	0.000483976080545881	Q3
TSG	5-10	0.2016475601939418	Q1
TSG	2-5	0.0	Q3
TSG	0-2	0.12500397690867573	Q2
TSG	0-2	0.18676635235965705	Q2
TSG	0-2	0.1649082493693961	Q1
TSG	10+	0.2014707564295105	Q3
TSG	0-2	0.07305206929634915	Q2
TSG	10+	0.0	Q3
TSG	5-10	0.0022203101111147455	Q3
TSG	5-10	0.010837296437260988	Q3
TSG	5-10	0.0006655108009096539	Q3
TSG	5-10	0.0036433005566079996	Q3
TSG	0-2	0.01921158216420264	Q1
TSG	10+	0.0	Q3
TSG	0-2	0.22679298880164458	Q1
TSG	0-2	0.0013235473296235698	Q3
TSG	5-10	0.050293598774766995	Q2
TSG	5-10	0.13839879993305249	Q1
TSG	10+	0.06658444176913253	Q2
TSG	10+	0.001152046609234987	Q3
TSG	5-10	0.1453383005298435	Q1
TSG	0-2	0.4620329162590688	Q1
TSG	0-2	0.0	Q3
TSG	0-2	0.002503065009832067	Q3
TSG	10+	0.0007964020658219935	Q3
TSG	10+	0.0006319971178924954	Q3
TSG	0-2	0.17277015558241002	Q1
TSG	0-2	0.0020324545144888876	Q3
TSG	10+	0.0012722640062173664	Q3
TSG	0-2	0.427148479379491	Q1
TSG	0-2	0.1588993713563436	Q2
TSG	5-10	0.002151277587211452	Q3
TSG	2-5	0.00012001991139446407	Q3
TSG	10+	0.0007701167773595106	Q3
TSG	0-2	0.11431040645540605	Q2
TSG	10+	0.000179800092144285	Q3
TSG	0-2	0.1689790322737623	Q1
TSG	0-2	0.13750608762074248	Q2
TSG	0-2	0.13434998841131585	Q1
TSG	10+	0.0013680136838964212	Q3
TSG	2-5	0.0	Q3
TSG	0-2	0.0	Q3
TSG	5-10	0.2841990623927112	Q1
TSG	2-5	0.03270330516131106	Q1
TSG	10+	0.12964069534685127	Q2
TSG	2-5	0.21178113136728172	Q1
TSG	0-2	0.07648223970124117	Q2
TSG	0-2	0.16459201202336507	Q2
