Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	ANK1	False	exonic	1	16488	28.86795586282818
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	ANK1	False	intronic	2	16488	2.2659694512227384
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	CDH11	False	intronic	4	16488	6.2090216425337665
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	KMT2C	False	exonic	1	16488	15.83457033329982
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	TP53	True	exonic	0	16488	0.0
2109e1d4-c623-11e3-bf01-24c6515278c0	CDH11	False	intronic	1	3688	17.374044956752094
2584b428-c623-11e3-bf01-24c6515278c0	PTEN	False	intronic	1	9085	3.5421652655450147
4ef20a13-f107-4654-adca-fc60b8f5be47	ANK1	False	intronic	1	5924	14.512181265467547
4ef20a13-f107-4654-adca-fc60b8f5be47	CDH11	False	intronic	1	5924	19.882538025620505
4ef20a13-f107-4654-adca-fc60b8f5be47	KRAS	False	intronic	1	5924	84.6618759745598
4ef20a13-f107-4654-adca-fc60b8f5be47	PIK3CA	True	exonic	0	5924	0.0
4ef20a13-f107-4654-adca-fc60b8f5be47	SMAD4	True	exonic	0	5924	0.0
50e3a421-9741-4cd8-911b-0f47ca518b6a	ANK1	False	intronic	1	6401	6.312795533177248
50e3a421-9741-4cd8-911b-0f47ca518b6a	ARID1A	False	intronic	1	6401	19.035082735651482
50e3a421-9741-4cd8-911b-0f47ca518b6a	SMAD4	False	intronic	2	6401	46.53648814967294
50e3a421-9741-4cd8-911b-0f47ca518b6a	TP53	True	exonic	0	6401	0.0
56cc8740-b132-4cbc-b513-f0b5b2305ca6	ANK1	False	exonic	1	13472	28.879942712050603
56cc8740-b132-4cbc-b513-f0b5b2305ca6	KMT2C	False	ncRNA	1	13472	267081.710201044
56cc8740-b132-4cbc-b513-f0b5b2305ca6	PTEN	True	exonic	0	13472	0.0
56cc8740-b132-4cbc-b513-f0b5b2305ca6	SMAD4	True	exonic	0	13472	0.0
56cc8740-b132-4cbc-b513-f0b5b2305ca6	SMAD4	True	intronic	1	13472	4.177786453738428
56cc8740-b132-4cbc-b513-f0b5b2305ca6	TP53	True	exonic	0	13472	0.0
5975deb5-00d2-4d18-b5c0-34ac9947fe11	ANK1	False	exonic	1	3624	329.44856906696697
5975deb5-00d2-4d18-b5c0-34ac9947fe11	KMT2C	False	intronic	1	3624	10.719692795806441
5975deb5-00d2-4d18-b5c0-34ac9947fe11	KRAS	True	exonic	0	3624	0.0
5975deb5-00d2-4d18-b5c0-34ac9947fe11	TP53	True	exonic	0	3624	0.0
5a51a6fc-c623-11e3-bf01-24c6515278c0	CDH11	False	intronic	1	11054	17.712861725972925
5a51a6fc-c623-11e3-bf01-24c6515278c0	FGFR2	False	exonic	2	11054	954.989772849015
5a51a6fc-c623-11e3-bf01-24c6515278c0	KMT2C	False	intronic	1	11054	10.718556378667005
5a51a6fc-c623-11e3-bf01-24c6515278c0	KRAS	False	intronic	1	11054	75.42317286990563
5a51a6fc-c623-11e3-bf01-24c6515278c0	TRRAP	False	exonic	1	11054	238.89722203484612
5c9b8a2c-c623-11e3-bf01-24c6515278c0	ARID1A	True	exonic	0	4109	0.0
5c9b8a2c-c623-11e3-bf01-24c6515278c0	KMT2C	False	intronic	1	4109	14.898227646970813
5c9b8a2c-c623-11e3-bf01-24c6515278c0	PIK3CA	False	intronic	1	4109	51.33925851250512
60f81dba-c623-11e3-bf01-24c6515278c0	KMT2C	False	intronic	1	6345	4.076364804917139
60f81dba-c623-11e3-bf01-24c6515278c0	PIK3CA	False	intronic	1	6345	14.04714382609598
6f395380-c623-11e3-bf01-24c6515278c0	ANK1	False	intronic	1	8740	1.5595331999956075
6f395380-c623-11e3-bf01-24c6515278c0	CDH11	False	intronic	1	8740	2.136651795062271
6f395380-c623-11e3-bf01-24c6515278c0	KMT2C	False	exonic	1	8740	21.79600270349733
6f395380-c623-11e3-bf01-24c6515278c0	KMT2C	False	intronic	3	8740	3.878846300714924
6f395380-c623-11e3-bf01-24c6515278c0	KRAS	False	intronic	1	8740	9.098081393898763
6f395380-c623-11e3-bf01-24c6515278c0	PIK3CA	False	intronic	1	8740	4.45549850361266
6f395380-c623-11e3-bf01-24c6515278c0	PTEN	True	UTR3	1	8740	56.903159736910034
6f395380-c623-11e3-bf01-24c6515278c0	PTEN	True	exonic	0	8740	0.0
6f395380-c623-11e3-bf01-24c6515278c0	PTEN	True	intronic	1	8740	3.680805769213468
6f395380-c623-11e3-bf01-24c6515278c0	TP53	True	exonic	0	8740	0.0
7034e5f6-c623-11e3-bf01-24c6515278c0	FGFR2	False	intronic	1	1531	108.2016139918842
7034e5f6-c623-11e3-bf01-24c6515278c0	TRRAP	False	intronic	1	1531	103.38336327877846
7512b38c-c623-11e3-bf01-24c6515278c0	CDH11	False	intronic	2	3847	28.509208877653545
7512b38c-c623-11e3-bf01-24c6515278c0	KRAS	True	exonic	0	3847	0.0
760881cc-c623-11e3-bf01-24c6515278c0	ANK1	False	exonic	2	336643	14.255532752973746
760881cc-c623-11e3-bf01-24c6515278c0	ANK1	False	intronic	10	336643	2.797444498896624
760881cc-c623-11e3-bf01-24c6515278c0	ARID1A	True	exonic	0	336643	0.0
760881cc-c623-11e3-bf01-24c6515278c0	ARID1A	True	intronic	11	336643	9.27870163472547
760881cc-c623-11e3-bf01-24c6515278c0	CDH11	False	UTR3	2	336643	30.39777885623731
760881cc-c623-11e3-bf01-24c6515278c0	CDH11	False	downstream	1	336643	65.91758344975061
760881cc-c623-11e3-bf01-24c6515278c0	CDH11	False	exonic	1	336643	9.553272963731972
760881cc-c623-11e3-bf01-24c6515278c0	CDH11	False	intronic	39	336643	14.947384742863052
760881cc-c623-11e3-bf01-24c6515278c0	FGFR2	False	-	1	336643	
760881cc-c623-11e3-bf01-24c6515278c0	FGFR2	False	intronic	15	336643	8.470955002795133
760881cc-c623-11e3-bf01-24c6515278c0	KMT2C	False	intronic	31	336643	7.189685020854583
760881cc-c623-11e3-bf01-24c6515278c0	KRAS	False	intronic	3	336643	4.895960742473616
760881cc-c623-11e3-bf01-24c6515278c0	PIK3CA	False	intronic	7	336643	5.5944989469707584
760881cc-c623-11e3-bf01-24c6515278c0	PTEN	False	UTR3	3	336643	30.621361156589007
760881cc-c623-11e3-bf01-24c6515278c0	PTEN	False	intronic	13	336643	8.58327658930815
760881cc-c623-11e3-bf01-24c6515278c0	SMAD4	False	UTR3	1	336643	10.02701299813669
760881cc-c623-11e3-bf01-24c6515278c0	SMAD4	False	intronic	7	336643	7.217742873316557
760881cc-c623-11e3-bf01-24c6515278c0	TP53	True	-	2	336643	
760881cc-c623-11e3-bf01-24c6515278c0	TP53	True	downstream	1	336643	65.91758344975061
760881cc-c623-11e3-bf01-24c6515278c0	TP53	True	exonic	0	336643	0.0
760881cc-c623-11e3-bf01-24c6515278c0	TP53	True	intronic	1	336643	3.9802900458758894
760881cc-c623-11e3-bf01-24c6515278c0	TRRAP	False	UTR3	1	336643	74.2315128938633
760881cc-c623-11e3-bf01-24c6515278c0	TRRAP	False	exonic	1	336643	5.1691956908524626
760881cc-c623-11e3-bf01-24c6515278c0	TRRAP	False	intronic	12	336643	6.474992644289703
760881cc-c623-11e3-bf01-24c6515278c0	TRRAP	False	ncRNA	1	336643	65917.5834497506
7789ef18-c623-11e3-bf01-24c6515278c0	ANK1	False	intronic	1	10517	3.185135248997193
7789ef18-c623-11e3-bf01-24c6515278c0	CDH11	False	exonic	1	10517	108.77236875325413
7789ef18-c623-11e3-bf01-24c6515278c0	KMT2C	False	intronic	1	10517	2.6406726657874864
7789ef18-c623-11e3-bf01-24c6515278c0	KRAS	False	intronic	1	10517	18.58159848474793
7789ef18-c623-11e3-bf01-24c6515278c0	SMAD4	True	exonic	0	10517	0.0
7789ef18-c623-11e3-bf01-24c6515278c0	TRRAP	False	exonic	1	10517	58.85581433480658
78bc2608-c623-11e3-bf01-24c6515278c0	FGFR2	False	intronic	3	2943	183.12904509202156
78bc2608-c623-11e3-bf01-24c6515278c0	PIK3CA	True	exonic	0	2943	0.0
796a8782-6d7e-47c8-b322-fcfe1dd240c8	CDH11	False	UTR3	1	11908	211.96163570231445
796a8782-6d7e-47c8-b322-fcfe1dd240c8	KMT2C	False	intronic	2	11908	6.468797751318087
796a8782-6d7e-47c8-b322-fcfe1dd240c8	TP53	False	-	2	11908	
79b23f34-c623-11e3-bf01-24c6515278c0	ANK1	False	intronic	1	4379	11.493840264368412
79b23f34-c623-11e3-bf01-24c6515278c0	PIK3CA	False	intronic	1	4379	32.837254185291236
79b23f34-c623-11e3-bf01-24c6515278c0	PTEN	True	exonic	0	4379	0.0
7ae872a6-c623-11e3-bf01-24c6515278c0	CDH11	False	intronic	1	4145	9.186507304715676
7bdcb78a-c623-11e3-bf01-24c6515278c0	ANK1	False	intronic	1	3916	43.19947878508464
97a6f44a-c622-11e3-bf01-24c6515278c0	KMT2C	False	intronic	1	2592	45.350691567045956
97a6f44a-c622-11e3-bf01-24c6515278c0	KRAS	False	intronic	1	2592	319.1188187094708
983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7	ANK1	False	intronic	1	6960	8.536241915107555
983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7	CDH11	False	intronic	1	6960	11.695151222847787
983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7	FGFR2	False	intronic	1	6960	17.23242318346157
983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7	KRAS	True	exonic	0	6960	0.0
983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7	TP53	True	exonic	0	6960	0.0
a47c2012-c13d-48ac-88b6-e09bfd50122b	ARID1A	True	exonic	0	10972	0.0
a47c2012-c13d-48ac-88b6-e09bfd50122b	CDH11	False	intronic	1	10972	7.271955941446171
a47c2012-c13d-48ac-88b6-e09bfd50122b	KRAS	False	intronic	1	10972	30.96473051950646
