Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	KDM6A	False	intronic	2	15886	1.738319160032369
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	NSD1	False	intronic	1	15886	1.312925354084098
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	PREX2	False	UTR3	1	15886	32.28387804883795
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	STAG2	False	intronic	3	15886	3.8067865606870708
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	TERT	True	intronic	1	15886	5.315409343760854
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	TERT	True	upstream	0	15886	0.0
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	TP53	True	exonic	0	15886	0.0
2b142863-b963-4cc9-8f8f-c72503c93390	ARHGAP35	False	intronic	1	25945	1.780029652939974
2b142863-b963-4cc9-8f8f-c72503c93390	ARID1A	True	exonic	0	25945	0.0
2b142863-b963-4cc9-8f8f-c72503c93390	BIRC6	False	intronic	2	25945	1.1209859810238225
2b142863-b963-4cc9-8f8f-c72503c93390	ELF3	True	exonic	2	25945	85.83231010160883
2b142863-b963-4cc9-8f8f-c72503c93390	ELF3	True	intronic	3	25945	118.50166489121345
2b142863-b963-4cc9-8f8f-c72503c93390	FAT1	False	intronic	2	25945	2.275189236906448
2b142863-b963-4cc9-8f8f-c72503c93390	FGFR3	False	intronic	3	25945	35.43586297962577
2b142863-b963-4cc9-8f8f-c72503c93390	KDM6A	True	splicing	0	25945	0.0
2b142863-b963-4cc9-8f8f-c72503c93390	KMT2C	False	intronic	1	25945	0.48545466168108464
2b142863-b963-4cc9-8f8f-c72503c93390	KMT2D	False	exonic	1	25945	7.105177325729245
2b142863-b963-4cc9-8f8f-c72503c93390	KMT2D	False	intronic	2	25945	13.027611980770105
2b142863-b963-4cc9-8f8f-c72503c93390	NSD1	False	intronic	3	25945	2.671578225117361
2b142863-b963-4cc9-8f8f-c72503c93390	PREX2	False	intronic	1	25945	0.5032606095218399
2b142863-b963-4cc9-8f8f-c72503c93390	STAG2	False	-	1	25945	
