Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	exonic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	exonic	0	4709	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	MDM2	False	exonic	1	4405	189.798129430417
075fc96d-6742-4ef3-9369-482592ad3a2f	MDM2	False	intronic	9	4405	709.0687460293734
075fc96d-6742-4ef3-9369-482592ad3a2f	TRRAP	True	exonic	0	4405	0.0
16d33e09-2e21-4da2-8e57-e78ce28c4408	PIK3CA	False	intronic	1	6912	6.044300202993119
16d33e09-2e21-4da2-8e57-e78ce28c4408	TP53	True	exonic	0	6912	0.0
16d33e09-2e21-4da2-8e57-e78ce28c4408	TRRAP	False	exonic	1	6912	39.09361607139793
18ec066e-8510-4921-9e35-45d85fb01e38	MDM2	False	intronic	1	5266	363.3348526437227
1c188bf5-2c99-4eb4-a774-59c75d53e643	TRRAP	False	intronic	2	10465	6.37946569154473
35c797fd-ca81-4cef-b6c4-7e3776f661b3	MDM2	False	intronic	3	6200	54.52700120842906
35c797fd-ca81-4cef-b6c4-7e3776f661b3	TRRAP	False	intronic	1	6200	4.553736305257381
3c963890-6e79-4b16-a4aa-bac04938b4d7	MDM2	False	UTR3	4	5535	568.6467651032355
3c963890-6e79-4b16-a4aa-bac04938b4d7	MDM2	False	intronic	2	5535	100.6516107409017
3c963890-6e79-4b16-a4aa-bac04938b4d7	RB1	False	intronic	2	5535	17.76898143844899
3db6e6cc-1a06-49b9-834e-b6611cde4c4b	RB1	False	intronic	1	2116	72.03709905815319
4d4eff82-ede0-47f1-b49a-ada025952114	TP53	True	exonic	0	4250	0.0
522dc834-8367-4f49-b93b-fcba91a2de7e	RB1	False	exonic	1	3832	205.17953368520017
522dc834-8367-4f49-b93b-fcba91a2de7e	TP53	True	exonic	0	3832	0.0
67bb70b2-b6f8-4aa9-80ce-48829f9fec56	MDM2	False	UTR3	1	3882	317.8804834144569
67bb70b2-b6f8-4aa9-80ce-48829f9fec56	MDM2	False	UTR5	6	3882	54382.65849151011
67bb70b2-b6f8-4aa9-80ce-48829f9fec56	MDM2	False	intronic	2	3882	225.0619164109936
67bb70b2-b6f8-4aa9-80ce-48829f9fec56	MDM2	False	upstream	2	3882	6888.470075591281
729229fe-92b9-439b-acd2-b49159116a41	PIK3CA	True	exonic	0	5614	0.0
729229fe-92b9-439b-acd2-b49159116a41	RB1	False	intronic	1	5614	10.813896558286153
72f0a49a-aec8-47e5-846a-956c4da1507c	MDM2	False	exonic	1	6285	40.26876196881935
72f0a49a-aec8-47e5-846a-956c4da1507c	MDM2	False	intronic	2	6285	33.43121644158852
7a5d3b6b-be5a-4e55-9255-32a069b8af3d	PIK3CA	False	exonic	1	4086	117.66790726731737
7d332cb1-ba25-47e4-8bf8-d25e14f40d59	MDM2	False	intronic	1	10301	14.082171822256507
7d332cb1-ba25-47e4-8bf8-d25e14f40d59	RB1	False	intronic	1	10301	2.486059069306491
9e7b51fb-2249-451a-bf23-bb2a3d935928	RB1	True	exonic	0	4236	0.0
afee5b10-3dff-4e50-9575-bc9fe20c5dea	TP53	True	exonic	0	12993	0.0
cb5e1546-cda6-4991-911c-f3dd9f1a475a	GLI1	False	exonic	1	3838	640.9970232152054
cb5e1546-cda6-4991-911c-f3dd9f1a475a	MDM2	False	intronic	1	3838	83.10112680491179
cb783f8b-d092-4104-b809-3f90b19df7df	RB1	False	intronic	4	5300	53.556715698617566
d53c2680-89ac-4f87-a7ba-f4c669546b76	RB1	True	exonic	0	6210	0.0
d53c2680-89ac-4f87-a7ba-f4c669546b76	TP53	True	exonic	0	6210	0.0
d8f0becd-fda8-41f4-a424-e082f9eae22c	RB1	True	exonic	0	7944	0.0
d8f0becd-fda8-41f4-a424-e082f9eae22c	TP53	True	exonic	0	7944	0.0
db650eff-4e2c-4ce3-9124-7697b6e03359	GLI1	False	exonic	1	826	84819.94385980575
db650eff-4e2c-4ce3-9124-7697b6e03359	GLI1	False	intronic	4	826	153647.814305277
db650eff-4e2c-4ce3-9124-7697b6e03359	MDM2	False	intronic	9	826	98967.224331734
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	UTR5	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	UTR3	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	ncRNA	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	intronic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	splicing	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	upstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TP53	True	downstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	UTR5	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	UTR3	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	ncRNA	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	intronic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	splicing	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	upstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	PIK3CA	True	downstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	UTR5	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	UTR3	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	ncRNA	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	exonic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	intronic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	splicing	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	upstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	GLI1	False	downstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	UTR5	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	UTR3	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	ncRNA	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	exonic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	intronic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	splicing	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	upstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	MDM2	False	downstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	UTR5	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	UTR3	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	ncRNA	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	exonic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	intronic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	splicing	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	upstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	RB1	False	downstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	UTR5	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	UTR3	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	ncRNA	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	exonic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	intronic	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	splicing	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	upstream	0	4709	0.0
03ced0ce-186a-4349-8d98-572c2bc90382	TRRAP	False	downstream	0	4709	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	UTR5	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	UTR3	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	ncRNA	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	exonic	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	intronic	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	splicing	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	upstream	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	TP53	False	downstream	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	UTR5	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	UTR3	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	ncRNA	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	exonic	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	intronic	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	splicing	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	upstream	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	PIK3CA	False	downstream	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	UTR5	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	UTR3	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	ncRNA	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	exonic	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	intronic	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	splicing	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	upstream	0	4405	0.0
075fc96d-6742-4ef3-9369-482592ad3a2f	GLI1	False	downstream	0	4405	0.0
