Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
f221c897-6ad0-0df9-e040-11ac0c4813ef	LRP1B	False	intronic	12	7590	2.7575708147587488
f221c897-6ad0-0df9-e040-11ac0c4813ef	RB1	False	splicing	1	7590	432879.78973974206
f221c897-6ad0-0df9-e040-11ac0c4813ef	TP53	True	-	1	7590	
f221c897-6ad0-0df9-e040-11ac0c4813ef	TP53	True	exonic	0	7590	0.0
f82d213f-9ba5-7b6b-e040-11ac0c486882	LRP1B	False	intronic	2	6274	0.569206136476106
f82d213f-9ba5-7b6b-e040-11ac0c486882	TP53	False	exonic	1	6274	173.0533641623702
f82d213f-bc06-5b51-e040-11ac0c48687e	LRP1B	False	intronic	2	2218	2.67514100353786
f82d213f-bc06-5b51-e040-11ac0c48687e	RB1	True	exonic	0	2218	0.0
f82d213f-bc06-5b51-e040-11ac0c48687e	TP53	True	exonic	0	2218	0.0
f82d213f-bc99-5b1d-e040-11ac0c486880	LRP1B	False	intronic	7	10134	1.4174860767585904
f82d213f-bc99-5b1d-e040-11ac0c486880	TP53	True	exonic	0	10134	0.0
f82d213f-caa7-fd59-e040-11ac0d483e46	LRP1B	False	intronic	6	5046	2.066179398814808
f82d2146-70f5-8114-e040-11ac0d483e50	LRP1B	False	intronic	5	3792	2.572429844929751
f82d2146-726a-d0e0-e040-11ac0c486888	LRP1B	False	intronic	4	3764	7.693539081738416
f82d2146-726a-d0e0-e040-11ac0c486888	RB1	True	exonic	0	3764	0.0
f83f1eb8-b2c8-c3d6-e040-11ac0c48261e	LRP1B	False	exonic	1	5444	77.52413901238714
f83f1eb8-b2c8-c3d6-e040-11ac0c48261e	LRP1B	False	intronic	6	5444	3.9137725827278103
f83fc777-5416-c3e9-e040-11ac0d482c8e	LRP1B	False	intronic	15	9685	2.732621207453984
f8407106-8a96-8f85-e040-11ac0d481656	LRP1B	False	intronic	2	2855	1.3261795431843104
f8407106-8a96-8f85-e040-11ac0d481656	TP53	True	exonic	0	2855	0.0
f8425828-5b0f-23a8-e040-11ac0d484128	LRP1B	False	exonic	1	2584	165.4030098797045
f8425828-5b0f-23a8-e040-11ac0d484128	LRP1B	False	intronic	6	2584	8.350299318569773
f8425828-5b0f-23a8-e040-11ac0d484128	TP53	True	exonic	0	2584	0.0
f843ed5c-0336-3d33-e040-11ac0d48478c	LRP1B	False	intronic	1	3408	0.516133707340364
f845ebba-8c56-b559-e040-11ac0c4863d5	LRP1B	False	intronic	4	5932	1.149341896451221
f85397dc-e6e9-4f54-e040-11ac0d48706c	LRP1B	False	intronic	3	3696	1.5383916931494084
f854ae3f-356d-f0ad-e040-11ac0c485dae	LRP1B	False	intronic	1	1822	2.44031601003964
f854ae3f-356d-f0ad-e040-11ac0c485dae	RB1	False	intronic	1	1822	26.51483885527139
f8572359-f29a-5945-e040-11ac0d4821cf	LRP1B	False	intronic	2	2436	1.5783229237843923
f8593ac0-9480-22a0-e040-11ac0d48697a	LRP1B	False	intronic	2	6401	0.56902824808584
f8593ac0-9480-22a0-e040-11ac0d48697a	TP53	True	exonic	0	6401	0.0
f85add3d-e2e6-31f8-e040-11ac0d48479c	LRP1B	False	intronic	22	14755	3.422412914089648
f85ae2b7-cebf-17a2-e040-11ac0c48033a	LRP1B	False	intronic	8	2626	10.454676445362221
f85ae2b7-cebf-17a2-e040-11ac0c48033a	TP53	True	exonic	0	2626	0.0
