Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
01658141-8398-4585-9f0f-8355dd9b0604	CBFB	False	intronic	1	22868	2.222612470749166
01658141-8398-4585-9f0f-8355dd9b0604	NOTCH2	False	intronic	1	22868	1.0461928849504567
01658141-8398-4585-9f0f-8355dd9b0604	PIK3CA	True	exonic	0	22868	0.0
01658141-8398-4585-9f0f-8355dd9b0604	PTEN	False	intronic	2	22868	3.074038434508112
01658141-8398-4585-9f0f-8355dd9b0604	PTPRD	False	intronic	10	22868	0.6701987543587341
01658141-8398-4585-9f0f-8355dd9b0604	TP53	True	exonic	0	22868	0.0
0448206f-3ade-4087-b1a9-4fb2d14e1367	NOTCH2	False	UTR3	1	20442	64.90254694914981
0448206f-3ade-4087-b1a9-4fb2d14e1367	NOTCH2	False	intronic	1	20442	1.7960636918555122
0448206f-3ade-4087-b1a9-4fb2d14e1367	PIK3CA	False	UTR3	1	20442	45.98349416418207
0448206f-3ade-4087-b1a9-4fb2d14e1367	PIK3CA	False	intronic	2	20442	6.3881141168941795
0448206f-3ade-4087-b1a9-4fb2d14e1367	PTPRD	False	intronic	30	20442	3.451714305304752
0448206f-3ade-4087-b1a9-4fb2d14e1367	TP53	True	exonic	0	20442	0.0
07b5141f-ac79-439b-883b-b0183bbe7ff5	KMT2C	False	exonic	1	10806	35.34046948878997
07b5141f-ac79-439b-883b-b0183bbe7ff5	KMT2C	False	intronic	1	10806	2.0964126802958245
07b5141f-ac79-439b-883b-b0183bbe7ff5	PIK3CA	False	intronic	1	10806	7.224233317745325
07b5141f-ac79-439b-883b-b0183bbe7ff5	PTPRD	False	intronic	5	10806	1.3011659378352032
07b5141f-ac79-439b-883b-b0183bbe7ff5	TP53	True	exonic	0	10806	0.0
097a7d36-905b-72be-e050-11ac0d482c9a	GATA3	True	exonic	0	65501	0.0
097a7d36-905b-72be-e050-11ac0d482c9a	GATA3	True	intronic	1	65501	13.3473001415486
097a7d36-905b-72be-e050-11ac0d482c9a	KMT2C	False	exonic	1	65501	13.799335039580878
097a7d36-905b-72be-e050-11ac0d482c9a	KMT2C	False	intronic	8	65501	6.548662510735275
097a7d36-905b-72be-e050-11ac0d482c9a	MAP3K1	False	intronic	2	65501	6.324945323165877
097a7d36-905b-72be-e050-11ac0d482c9a	PIK3CA	True	exonic	0	65501	0.0
097a7d36-905b-72be-e050-11ac0d482c9a	PIK3CA	True	intronic	2	65501	5.641669021250118
097a7d36-905b-72be-e050-11ac0d482c9a	PTEN	False	intronic	1	65501	2.3303663848806915
097a7d36-905b-72be-e050-11ac0d482c9a	PTPRD	False	intronic	34	65501	3.4548360519947865
097a7d36-905b-72be-e050-11ac0d482c9a	SF3B1	False	intronic	1	65501	5.999092072800104
097a7d36-905b-72be-e050-11ac0d482c9a	TP53	True	UTR3	1	65501	155.51924382843157
097a7d36-905b-72be-e050-11ac0d482c9a	TP53	True	UTR5	1	65501	292.6500487639417
097a7d36-905b-72be-e050-11ac0d482c9a	TP53	True	exonic	0	65501	0.0
097a7d36-905b-72be-e050-11ac0d482c9a	TP53	True	intronic	4	65501	56.19389862141987
110b5f05-ded7-45ec-b0f6-a941c92d77dd	CBFB	False	intronic	1	9424	5.693801212101167
110b5f05-ded7-45ec-b0f6-a941c92d77dd	PIK3CA	False	intronic	1	9424	4.766188916858758
