Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	SMO	True	exonic	0	3058	0.0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	TERT	True	intronic	1	3058	259.80060012788385
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	TERT	True	upstream	0	3058	0.0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	KDM6A	False	intronic	1	2719	25.540319883397082
0e1e628b-823a-4861-aa95-bed2fada7349	CREBBP	False	exonic	1	1808	1835.8384738517484
0e1e628b-823a-4861-aa95-bed2fada7349	DDX3X	True	exonic	0	1808	0.0
13446fc4-9fa6-4bb3-a00a-b9265b41eb12	KDM6A	True	exonic	0	644	0.0
147e3496-514e-4da7-be42-7cd9be78ed04	CREBBP	False	intronic	1	1091	271.7855833101377
1bd74f92-47f6-427e-af6f-299c3a7fe023	KDM6A	True	exonic	0	1204	0.0
1bd74f92-47f6-427e-af6f-299c3a7fe023	KMT2C	False	intronic	1	1204	191.4012676025303
1bea3a72-3b73-4072-a6bb-96a90119d3ac	SMO	False	-	1	614	
1bea3a72-3b73-4072-a6bb-96a90119d3ac	TERT	False	intronic	1	614	159.98930366672695
1f8d8720-30ca-4057-90f7-a34b8383eafe	KDM6A	False	intronic	1	1398	1171.3743918909347
209a9b10-7129-48fe-a899-d14ba17efe6f	TCF4	False	intronic	1	1490	8.73073006084337
2321c412-7730-4694-bc8f-199d7e51a7f8	CREBBP	False	intronic	1	664	3128.318354784428
2abe2e53-ad9b-4fbc-b9a7-93444f1bea87	CREBBP	False	exonic	1	3585	3612.9436927824017
2abe2e53-ad9b-4fbc-b9a7-93444f1bea87	KMT2C	True	exonic	0	3585	0.0
2abe2e53-ad9b-4fbc-b9a7-93444f1bea87	LDB1	True	exonic	0	3585	0.0
2abe2e53-ad9b-4fbc-b9a7-93444f1bea87	PTCH1	True	exonic	0	3585	0.0
324adcfa-3fba-45b9-99f0-9d41c0c54d79	LDB1	True	exonic	0	131	0.0
324adcfa-3fba-45b9-99f0-9d41c0c54d79	PTCH1	True	exonic	0	131	0.0
35b951c0-edb0-47c4-9076-ede346ea7cb1	DDX3X	True	exonic	0	2227	0.0
35b951c0-edb0-47c4-9076-ede346ea7cb1	PRKAR1A	True	exonic	0	2227	0.0
35b951c0-edb0-47c4-9076-ede346ea7cb1	PTCH1	True	exonic	0	2227	0.0
35b951c0-edb0-47c4-9076-ede346ea7cb1	SMO	False	downstream	1	2227	11796.231071111937
3e1180a5-149c-4e6c-9a29-696e3ba567e3	CREBBP	True	exonic	0	3032	0.0
3e1180a5-149c-4e6c-9a29-696e3ba567e3	DDX3X	True	exonic	0	3032	0.0
3e1180a5-149c-4e6c-9a29-696e3ba567e3	KMT2C	True	exonic	0	3032	0.0
3e1180a5-149c-4e6c-9a29-696e3ba567e3	PTCH1	True	exonic	0	3032	0.0
3e1180a5-149c-4e6c-9a29-696e3ba567e3	TCF4	True	exonic	0	3032	0.0
3e1180a5-149c-4e6c-9a29-696e3ba567e3	TERT	True	upstream	0	3032	0.0
3f3aff50-d71b-44af-85d4-f81e813ea420	KDM6A	True	exonic	0	1241	0.0
48fadd0f-6561-4294-bff4-d5e4f7dfe79f	DDX3X	True	exonic	0	1482	0.0
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	DDX3X	True	exonic	0	5927	0.0
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	KMT2C	True	exonic	0	5927	0.0
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	KMT2D	True	exonic	0	5927	0.0
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	PTCH1	True	exonic	0	5927	0.0
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	TCF4	False	intronic	1	5927	22.081704238110785
4d121008-0987-4142-a2b8-7dac58f3110a	TCF4	False	intronic	1	658	84.94109849169124
4d690424-b015-46ae-885d-aa6d9031f66f	PTCH1	True	exonic	0	1293	0.0
4d690424-b015-46ae-885d-aa6d9031f66f	TERT	True	upstream	0	1293	0.0
51dd1a39-7349-442c-b7e1-7850fb800569	PTCH1	False	ncRNA	1	325	123557355.42667888
55c75a2a-f3d2-4469-9d23-604cf539d548	TCF4	True	exonic	0	2458	0.0
