Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
00493087-9d9d-40ca-86d5-936f1b951c93	CIC	True	exonic	0	2778	0.0
00493087-9d9d-40ca-86d5-936f1b951c93	FUBP1	True	exonic	0	2778	0.0
00493087-9d9d-40ca-86d5-936f1b951c93	IDH1	True	exonic	0	2778	0.0
2aeaab9f-4459-4be8-91e7-e0746cbd671c	IDH1	True	exonic	0	3388	0.0
2aeaab9f-4459-4be8-91e7-e0746cbd671c	TP53	True	exonic	0	3388	0.0
2aeaab9f-4459-4be8-91e7-e0746cbd671c	TP53	True	splicing	0	3388	0.0
3a81f733-b3a3-4578-b925-a663612bc92c	IDH1	True	exonic	0	2489	0.0
3a81f733-b3a3-4578-b925-a663612bc92c	TP53	True	exonic	0	2489	0.0
4853fd17-7214-4f0c-984b-1be0346ca4ab	FUBP1	False	intronic	1	2004	504.30789263119016
4853fd17-7214-4f0c-984b-1be0346ca4ab	IDH1	True	exonic	0	2004	0.0
67f88cd9-ab77-4227-a8d7-5512246f9772	IDH1	True	exonic	0	1734	0.0
6847e993-1414-4e6f-a2af-39ebe218dd7c	CIC	True	exonic	0	453	0.0
6847e993-1414-4e6f-a2af-39ebe218dd7c	IDH1	True	exonic	0	453	0.0
85d915b8-0184-4ec7-93ad-e9ffa2f5743b	CIC	True	exonic	0	4456	0.0
85d915b8-0184-4ec7-93ad-e9ffa2f5743b	FUBP1	True	exonic	0	4456	0.0
85d915b8-0184-4ec7-93ad-e9ffa2f5743b	IDH1	True	exonic	0	4456	0.0
86386b36-2950-4479-b79f-4b347053c8bc	CIC	True	exonic	0	1623	0.0
86386b36-2950-4479-b79f-4b347053c8bc	IDH1	True	exonic	0	1623	0.0
88395c0e-4afe-434d-8b20-5a3eef8b7f00	IDH1	True	exonic	0	1207	0.0
88395c0e-4afe-434d-8b20-5a3eef8b7f00	TP53	True	exonic	0	1207	0.0
8c46a1df-1c10-4188-992a-a55b782494c9	CIC	True	exonic	0	2867	0.0
a78544d7-65c6-4778-af62-ceec24c14056	IDH1	True	exonic	0	6570	0.0
a78544d7-65c6-4778-af62-ceec24c14056	TP53	True	exonic	0	6570	0.0
ba94c29b-b76e-4d67-bf5a-ce6bc45d85f8	IDH1	True	exonic	0	3280	0.0
ba94c29b-b76e-4d67-bf5a-ce6bc45d85f8	TP53	True	exonic	0	3280	0.0
c1abb741-4fcd-4161-b057-c7efd619cc99	CIC	True	exonic	0	2364	0.0
c1abb741-4fcd-4161-b057-c7efd619cc99	FUBP1	True	exonic	0	2364	0.0
c1abb741-4fcd-4161-b057-c7efd619cc99	IDH1	True	exonic	0	2364	0.0
c6888be2-4517-41e4-a801-9c915f24e737	CIC	True	exonic	0	3514	0.0
c6888be2-4517-41e4-a801-9c915f24e737	FUBP1	False	intronic	1	3514	109.53144801993648
c6888be2-4517-41e4-a801-9c915f24e737	IDH1	True	exonic	0	3514	0.0
d252a54e-0377-4b3e-8228-26108ea704fa	CIC	True	exonic	0	2542	0.0
d252a54e-0377-4b3e-8228-26108ea704fa	FUBP1	True	exonic	0	2542	0.0
d252a54e-0377-4b3e-8228-26108ea704fa	IDH1	True	exonic	0	2542	0.0
