Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
06018aae-1107-4899-bd24-14e6b1f94709	BRAF	False	intronic	2	207	37974.195782575945
11ae45fb-05f6-425a-9295-d50d13407006	NF1	True	exonic	0	149	0.0
1a134c18-ced3-4bae-9f15-5f0f09526639	FGFR1	True	exonic	0	303	0.0
1a134c18-ced3-4bae-9f15-5f0f09526639	PTPN11	True	exonic	0	303	0.0
2a5a5840-a834-47a1-b1f4-dc8fed620f5c	BRAF	False	intronic	2	496	223.19155558856792
36160be6-368f-4cdb-b1ee-9ed5b64462fa	BRAF	False	intronic	2	179	1956.5391608618781
3b4ff158-c6d8-4a26-9568-0634ddb4a609	FGFR1	True	exonic	0	398	0.0
3b4ff158-c6d8-4a26-9568-0634ddb4a609	PTPN11	True	exonic	0	398	0.0
49900a43-d42e-4052-a8cb-1563b82ad0a0	BRAF	False	intronic	1	94	1827.5834698279793
49b26ab5-2ca9-49b1-ae83-573fa41af2cd	BRAF	True	exonic	0	163	0.0
49b26ab5-2ca9-49b1-ae83-573fa41af2cd	BRAF	True	intronic	2	163	54012.77812384238
4a35b01f-5e19-4673-abea-d87fd1d605d0	BRAF	True	exonic	0	721	0.0
52f2d49e-f24d-41d2-9f73-33bd1cc51bba	BRAF	False	intronic	1	111	27993.402874131785
67a2e34f-454e-4253-8f22-262fc74d312c	BRAF	False	intronic	1	113	34796.88376933304
6aba73ff-81e0-4f8d-ad12-e3136196e814	BRAF	False	intronic	2	183	42930.907117148476
6e516c4b-fee7-4336-8470-494588e645b3	BRAF	False	intronic	3	458	324.2877285348076
718c5a31-6b19-4f68-9fb9-79b0c00d64a5	BRAF	False	intronic	1	69	2550.9900701497613
7f9382a5-f6da-4fe8-93ad-6adc91f508fa	BRAF	False	intronic	1	138	1584.097777096485
89f34810-19c6-47bc-981d-98498b013686	BRAF	True	splicing	0	1299	0.0
8fa7549d-d0a6-4216-9763-74b0f21c0fd7	BRAF	False	intronic	1	102	1519.6116156092526
924613ef-8732-4703-a387-136d37b2ba6b	BRAF	False	intronic	2	150	51708.71941034171
94cf1801-a720-4b2f-aab5-0b76c8ccb242	BRAF	False	intronic	1	132	1305.9528138582618
a13ee768-1423-4fcc-b663-caaf6694acb3	BRAF	False	intronic	3	192	61299.33233949278
a742a46d-2594-4efe-a701-4a2737ffae81	BRAF	True	exonic	0	385	0.0
aa2654f4-94f9-487a-b415-85df69261161	BRAF	False	intronic	1	198	884.7687965393193
afd1f2e0-343c-416d-8e8f-2177f312c2f0	SETD2	False	exonic	1	176	46563.45195684018
b1d2457d-3267-46ba-9fdf-663985e60538	BRAF	False	intronic	2	1152	4060.5137814743357
b1d2457d-3267-46ba-9fdf-663985e60538	SETD2	True	exonic	0	1152	0.0
