Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	-	1	10388	
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	exonic	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	intronic	1	10388	12.562013266794432
07d20658-3db4-47e7-877b-66536266edfc	EP300	False	intronic	4	6714	72.16393070047056
3269608c-5dd7-452a-976a-31ac971aac2f	PIK3CA	False	intronic	1	9195	5.248284698203198
43be43cb-a367-4a74-94e4-973acafcf576	PIK3CA	True	exonic	0	13729	0.0
7bc3209f-b349-49bf-9b3d-44ef870b586f	EP300	False	exonic	1	4670	200.4804111544997
a67f4531-99ef-43df-82f5-f6abc4b11826	MCM7	False	exonic	1	3446	315.20144285657443
a67f4531-99ef-43df-82f5-f6abc4b11826	MCM7	False	intronic	1	3446	158.03264344413128
e07991a4-0901-4ed1-8704-aa376565d862	MCM7	False	exonic	1	7606	793.9878891597482
f658c350-fb89-4268-8a59-a07e365f4221	PIK3CA	True	exonic	0	6973	0.0
f658c350-fb89-4268-8a59-a07e365f4221	PIK3CA	True	intronic	2	6973	11.381272319101207
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	UTR5	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	UTR3	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	ncRNA	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	intronic	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	splicing	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	upstream	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	EP300	True	downstream	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	UTR5	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	UTR3	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	ncRNA	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	exonic	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	splicing	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	upstream	0	10388	0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c	PIK3CA	False	downstream	0	10388	0.0
