Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
00aa769d-622c-433e-8a8a-63fb5c41ea42	APC	True	-	1	237798	
00aa769d-622c-433e-8a8a-63fb5c41ea42	APC	True	exonic	0	237798	0.0
00aa769d-622c-433e-8a8a-63fb5c41ea42	APC	True	intronic	7	237798	7.574528730902343
00aa769d-622c-433e-8a8a-63fb5c41ea42	ATM	True	UTR3	1	237798	38.25720261839895
00aa769d-622c-433e-8a8a-63fb5c41ea42	ATM	True	exonic	0	237798	0.0
00aa769d-622c-433e-8a8a-63fb5c41ea42	ATM	True	intronic	7	237798	7.296460492923964
00aa769d-622c-433e-8a8a-63fb5c41ea42	FBXW7	False	-	2	237798	
00aa769d-622c-433e-8a8a-63fb5c41ea42	FBXW7	False	intronic	8	237798	5.2870593978637075
00aa769d-622c-433e-8a8a-63fb5c41ea42	FBXW7	False	ncRNA	1	237798	138758.87389693302
00aa769d-622c-433e-8a8a-63fb5c41ea42	KRAS	True	-	2	237798	
00aa769d-622c-433e-8a8a-63fb5c41ea42	KRAS	True	exonic	0	237798	0.0
00aa769d-622c-433e-8a8a-63fb5c41ea42	KRAS	True	intronic	2	237798	6.870781802725013
00aa769d-622c-433e-8a8a-63fb5c41ea42	PIK3CA	True	exonic	0	237798	0.0
00aa769d-622c-433e-8a8a-63fb5c41ea42	PIK3CA	True	intronic	3	237798	5.047123132117643
00aa769d-622c-433e-8a8a-63fb5c41ea42	PIK3CA	True	ncRNA	1	237798	138758.87389693302
00aa769d-622c-433e-8a8a-63fb5c41ea42	ROBO2	False	-	131	237798	
00aa769d-622c-433e-8a8a-63fb5c41ea42	ROBO2	False	intronic	52	237798	5.422085105617204
00aa769d-622c-433e-8a8a-63fb5c41ea42	SMAD4	False	intronic	3	237798	6.511545960218352
00aa769d-622c-433e-8a8a-63fb5c41ea42	SOX9	True	-	1	237798	
00aa769d-622c-433e-8a8a-63fb5c41ea42	SOX9	True	exonic	0	237798	0.0
00aa769d-622c-433e-8a8a-63fb5c41ea42	TP53	False	exonic	1	237798	44.78982372399386
03cff38d-7e29-4409-a508-749bddb1b3df	APC	True	exonic	0	18527	0.0
03cff38d-7e29-4409-a508-749bddb1b3df	PIK3CA	False	intronic	1	18527	2.109670030385772
03cff38d-7e29-4409-a508-749bddb1b3df	ROBO2	False	-	17	18527	
03cff38d-7e29-4409-a508-749bddb1b3df	ROBO2	False	intronic	8	18527	1.0460317369921577
03cff38d-7e29-4409-a508-749bddb1b3df	TP53	True	exonic	0	18527	0.0
05486349-24a4-4931-bf5f-c9fefe369af2	APC	True	exonic	0	7704	0.0
05486349-24a4-4931-bf5f-c9fefe369af2	KRAS	True	exonic	0	7704	0.0
05486349-24a4-4931-bf5f-c9fefe369af2	ROBO2	False	-	6	7704	
05486349-24a4-4931-bf5f-c9fefe369af2	ROBO2	False	intronic	1	7704	0.794198626271973
05486349-24a4-4931-bf5f-c9fefe369af2	TP53	True	exonic	0	7704	0.0
05780d48-80e7-4d70-b00c-081f8a9519f2	AMER1	False	UTR3	1	170344	44.97150694278255
05780d48-80e7-4d70-b00c-081f8a9519f2	APC	False	downstream	1	170344	214.15431606153052
05780d48-80e7-4d70-b00c-081f8a9519f2	APC	False	intronic	7	170344	11.690193025490226
05780d48-80e7-4d70-b00c-081f8a9519f2	ATM	False	exonic	1	170344	15.93765841047336
05780d48-80e7-4d70-b00c-081f8a9519f2	ATM	False	intronic	6	170344	9.652315535258772
05780d48-80e7-4d70-b00c-081f8a9519f2	FBXW7	False	UTR3	1	170344	87.40992492307367
05780d48-80e7-4d70-b00c-081f8a9519f2	FBXW7	False	intronic	12	170344	12.239720864633103
05780d48-80e7-4d70-b00c-081f8a9519f2	KRAS	False	-	1	170344	
05780d48-80e7-4d70-b00c-081f8a9519f2	KRAS	False	intronic	5	170344	26.51015276441912
05780d48-80e7-4d70-b00c-081f8a9519f2	PIK3CA	False	intronic	8	170344	20.772018338129488
05780d48-80e7-4d70-b00c-081f8a9519f2	PIK3CA	False	ncRNA	1	170344	214154.31606153052
05780d48-80e7-4d70-b00c-081f8a9519f2	ROBO2	False	-	50	170344	
05780d48-80e7-4d70-b00c-081f8a9519f2	ROBO2	False	UTR3	1	170344	54.79895497992081
05780d48-80e7-4d70-b00c-081f8a9519f2	ROBO2	False	intronic	29	170344	4.666884462330668
05780d48-80e7-4d70-b00c-081f8a9519f2	SMAD4	False	UTR3	2	170344	65.1519063162551
05780d48-80e7-4d70-b00c-081f8a9519f2	SMAD4	False	intronic	6	170344	20.099264752603407
05780d48-80e7-4d70-b00c-081f8a9519f2	SOX9	False	UTR3	3	170344	317.1090563596207
05780d48-80e7-4d70-b00c-081f8a9519f2	TP53	False	UTR3	1	170344	143.15128078979313
05780d48-80e7-4d70-b00c-081f8a9519f2	TP53	False	intronic	1	170344	12.931243044594561
080ecc31-756a-4a1b-a51e-d632ac8219f7	APC	True	exonic	0	26237	0.0
080ecc31-756a-4a1b-a51e-d632ac8219f7	APC	True	splicing	0	26237	0.0
080ecc31-756a-4a1b-a51e-d632ac8219f7	FBXW7	True	exonic	1	26237	19.791978423069803
080ecc31-756a-4a1b-a51e-d632ac8219f7	FBXW7	True	intronic	2	26237	1.22168051230227
080ecc31-756a-4a1b-a51e-d632ac8219f7	KRAS	True	exonic	0	26237	0.0
