Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
02c6a893-49c5-49d1-8eb1-195021e70d52	CSMD3	False	intronic	3	3216	9.9545837603475
02c6a893-49c5-49d1-8eb1-195021e70d52	LRP1B	False	intronic	3	3216	6.350635121819319
02c6a893-49c5-49d1-8eb1-195021e70d52	PIK3CA	False	intronic	1	3216	48.348128417745386
02c6a893-49c5-49d1-8eb1-195021e70d52	PTPRT	False	intronic	3	3216	10.830834506759361
08227616-02a5-46e8-9db1-f2d1d691ab23	CSMD3	False	-	1	13127	
08227616-02a5-46e8-9db1-f2d1d691ab23	CSMD3	False	intronic	44	13127	9.007476434378571
08227616-02a5-46e8-9db1-f2d1d691ab23	FAT1	True	exonic	0	13127	0.0
08227616-02a5-46e8-9db1-f2d1d691ab23	KMT2D	False	intronic	1	13127	11.61447095131868
08227616-02a5-46e8-9db1-f2d1d691ab23	LRP1B	False	intronic	17	13127	2.2202068342323313
08227616-02a5-46e8-9db1-f2d1d691ab23	NOTCH1	True	exonic	0	13127	0.0
08227616-02a5-46e8-9db1-f2d1d691ab23	PIK3CA	False	intronic	1	13127	2.9828284353504237
08227616-02a5-46e8-9db1-f2d1d691ab23	PTPRT	False	intronic	5	13127	1.1136770681930137
08227616-02a5-46e8-9db1-f2d1d691ab23	TP53	True	exonic	0	13127	0.0
0e6ca8dc-0f31-4675-95b1-5920576daeff	CSMD3	False	exonic	1	6420	127.17226062515202
0e6ca8dc-0f31-4675-95b1-5920576daeff	CSMD3	False	intronic	7	6420	9.836483427894832
0e6ca8dc-0f31-4675-95b1-5920576daeff	FAT1	False	intronic	1	6420	13.923342558076246
0e6ca8dc-0f31-4675-95b1-5920576daeff	LRP1B	False	intronic	7	6420	6.27529172854154
0e6ca8dc-0f31-4675-95b1-5920576daeff	PTPRT	False	intronic	1	6420	1.5289054871727166
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	CSMD3	False	intronic	13	7433	4.958756030927148
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	FAT1	False	intronic	1	7433	3.7794714849564417
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	LRP1B	False	intronic	10	7433	2.4334557030886996
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	PTPRT	False	intronic	2	7433	0.8300384290424461
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	TERT	False	intronic	1	7433	11.978070498978624
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	TP53	True	exonic	0	7433	0.0
1727e88b-df0a-4af2-9191-8c6061d98ad0	CDKN2A	True	exonic	0	9335	0.0
1727e88b-df0a-4af2-9191-8c6061d98ad0	CSMD3	False	intronic	5	9335	1.4306870863843335
1727e88b-df0a-4af2-9191-8c6061d98ad0	LRP1B	False	exonic	1	9335	21.695083400603213
1727e88b-df0a-4af2-9191-8c6061d98ad0	LRP1B	False	intronic	14	9335	2.5556227420466118
1727e88b-df0a-4af2-9191-8c6061d98ad0	PTPRT	False	intronic	4	9335	1.2452984825190139
1727e88b-df0a-4af2-9191-8c6061d98ad0	TP53	True	exonic	0	9335	0.0
190eb791-383d-4e27-870d-e470630843e7	CSMD3	False	intronic	24	17538	3.725683311514079
190eb791-383d-4e27-870d-e470630843e7	FAT1	False	intronic	1	17538	1.5381418137793699
190eb791-383d-4e27-870d-e470630843e7	KMT2D	False	intronic	1	17538	8.807317824939025
190eb791-383d-4e27-870d-e470630843e7	LRP1B	False	exonic	1	17538	11.770132881252898
190eb791-383d-4e27-870d-e470630843e7	LRP1B	False	intronic	19	17538	1.8816651929292463
190eb791-383d-4e27-870d-e470630843e7	NOTCH1	True	exonic	0	17538	0.0
190eb791-383d-4e27-870d-e470630843e7	NOTCH1	True	intronic	1	17538	4.436753381084913
190eb791-383d-4e27-870d-e470630843e7	PIK3CA	True	exonic	0	17538	0.0
190eb791-383d-4e27-870d-e470630843e7	PTPRT	False	intronic	10	17538	1.6890150115375733
190eb791-383d-4e27-870d-e470630843e7	TP53	True	exonic	0	17538	0.0
1aff91a6-1b0f-4575-8f4b-4e064a50b886	CDKN2A	True	exonic	0	11270	0.0
1aff91a6-1b0f-4575-8f4b-4e064a50b886	CSMD3	False	exonic	2	11270	48.033730875438835
1aff91a6-1b0f-4575-8f4b-4e064a50b886	CSMD3	False	intronic	16	11270	4.24605622473767
1aff91a6-1b0f-4575-8f4b-4e064a50b886	FAT1	False	intronic	1	11270	2.6294652860362295
1aff91a6-1b0f-4575-8f4b-4e064a50b886	LRP1B	False	intronic	16	11270	2.708817810891299
1aff91a6-1b0f-4575-8f4b-4e064a50b886	PIK3CA	False	intronic	1	11270	3.8667275655020266
1aff91a6-1b0f-4575-8f4b-4e064a50b886	PTPRT	False	exonic	1	11270	25.153399806568036
1aff91a6-1b0f-4575-8f4b-4e064a50b886	PTPRT	False	intronic	9	11270	2.5986457624265955
1aff91a6-1b0f-4575-8f4b-4e064a50b886	TP53	True	exonic	0	11270	0.0
