Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	exonic	0	2156	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	exonic	0	2047	0.0
345a06d6-fa5c-4674-a847-88a6b537cf3c	MTOR	False	exonic	1	979	81057.30739585715
58c7e9c3-1345-48c0-a758-0887358b8696	MTOR	False	intronic	1	1050	50.283111750847546
97c1a300-978d-4df1-9e97-ce2f92b9eff1	MTOR	False	exonic	1	1354	72523.83640653535
9a90f951-ad96-4883-b97f-ac43395dae5d	TP53	True	exonic	0	1831	0.0
a3deafcb-b54f-4b7e-89ac-c92c16fb919f	KMT2D	False	UTR3	1	2677	427.40308563821276
a3deafcb-b54f-4b7e-89ac-c92c16fb919f	TSC2	False	intronic	1	2677	33.444893578507696
ba686386-8113-4885-b20f-6ad09a295604	TP53	False	intronic	1	1398	384.1926634052224
cdf313c8-59f9-41c6-9bd2-f47cb4287da5	KMT2D	False	exonic	1	1025	406.9811735485276
d648c804-4eaf-4252-8b6f-13378158a07d	KMT2D	False	exonic	1	1063	158.5098111631741
e9032df3-8692-4146-a867-b9b64c9b310a	TP53	True	exonic	0	3315	0.0
e9032df3-8692-4146-a867-b9b64c9b310a	TSC2	False	exonic	1	3315	147.2708148757286
f38fc6ac-2af8-4d89-a514-4e2c5fdf08de	TSC2	False	exonic	1	1615	890.831362016737
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	UTR5	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	UTR3	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	ncRNA	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	intronic	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	splicing	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	upstream	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TP53	True	downstream	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	UTR5	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	UTR3	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	ncRNA	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	exonic	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	intronic	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	splicing	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	upstream	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	TSC2	False	downstream	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	UTR5	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	UTR3	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	ncRNA	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	exonic	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	intronic	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	splicing	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	upstream	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	KMT2D	False	downstream	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	UTR5	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	UTR3	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	ncRNA	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	exonic	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	intronic	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	splicing	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	upstream	0	2156	0.0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	MTOR	False	downstream	0	2156	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	UTR5	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	UTR3	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	ncRNA	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	intronic	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	splicing	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	upstream	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TP53	True	downstream	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	UTR5	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	UTR3	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	ncRNA	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	exonic	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	intronic	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	splicing	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	upstream	0	2047	0.0
24f887e1-ce82-40f3-9674-11102bd076c0	TSC2	False	downstream	0	2047	0.0
