Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
005794f1-5a87-45b5-9811-83ddf6924568	FAT1	False	exonic	1	5852	1254.289712257501
005794f1-5a87-45b5-9811-83ddf6924568	FAT3	False	intronic	2	5852	70.5594221820574
005794f1-5a87-45b5-9811-83ddf6924568	LRP1B	False	intronic	3	5852	29.515769852458988
005794f1-5a87-45b5-9811-83ddf6924568	MTOR	True	exonic	0	5852	0.0
005794f1-5a87-45b5-9811-83ddf6924568	MTOR	True	intronic	1	5852	125.82408747227919
005794f1-5a87-45b5-9811-83ddf6924568	PBRM1	True	exonic	0	5852	0.0
005794f1-5a87-45b5-9811-83ddf6924568	PBRM1	True	intronic	1	5852	139.16042039583147
005794f1-5a87-45b5-9811-83ddf6924568	SETD2	False	intronic	1	5852	133.1871018829406
005794f1-5a87-45b5-9811-83ddf6924568	VHL	True	exonic	0	5852	0.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	LRP1B	False	intronic	5	5927	8.521103541702974
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	MET	False	intronic	1	5927	26.625271899516857
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	PBRM1	True	exonic	0	5927	0.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	VHL	True	exonic	0	5927	0.0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	FAT3	False	intronic	1	10861	0.5736385233278348
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	KMT2C	False	intronic	1	10861	1.0602662191628338
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	LRP1B	False	intronic	7	10861	1.1198096088479594
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	MET	False	intronic	1	10861	2.4992768303634407
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	MTOR	False	intronic	2	10861	4.091730998048033
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	SETD2	False	exonic	1	10861	34.49099285157851
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	VHL	True	exonic	0	10861	0.0
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	BIRC6	False	intronic	1	8282	5.432752589498921
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	FAT3	False	intronic	2	8282	5.091570924212044
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	KDM5C	True	exonic	0	8282	0.0
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	KMT2C	False	intronic	1	8282	4.705420254985663
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	LRP1B	False	exonic	1	8282	84.3766460221937
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	LRP1B	False	intronic	8	8282	5.679624575109018
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	MTOR	False	intronic	1	8282	9.079471536577845
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	PBRM1	True	exonic	0	8282	0.0
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	SETD2	True	exonic	0	8282	0.0
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	VHL	True	exonic	0	8282	0.0
04db8bef-8777-48ac-bc2e-3c9acb103f48	FAT1	False	intronic	1	9025	3.4199085084653755
04db8bef-8777-48ac-bc2e-3c9acb103f48	KMT2C	False	intronic	2	9025	2.9188086881330246
04db8bef-8777-48ac-bc2e-3c9acb103f48	LRP1B	False	exonic	1	9025	26.169744054652366
04db8bef-8777-48ac-bc2e-3c9acb103f48	LRP1B	False	intronic	12	9025	2.6423363892306386
04db8bef-8777-48ac-bc2e-3c9acb103f48	MET	False	intronic	1	9025	3.4401317304413888
04db8bef-8777-48ac-bc2e-3c9acb103f48	VHL	True	exonic	0	9025	0.0
063cfacf-9933-4a2d-8921-0aeb76e12779	FAT3	False	intronic	1	4840	12.666041930712238
063cfacf-9933-4a2d-8921-0aeb76e12779	LRP1B	False	intronic	2	4840	7.064456539036374
0ed63d84-d3fe-4289-9255-35f4a03b703b	FAT3	False	intronic	1	4809	8.42274582403601
0ed63d84-d3fe-4289-9255-35f4a03b703b	KMT2C	False	intronic	1	4809	15.567909940937675
0ed63d84-d3fe-4289-9255-35f4a03b703b	LRP1B	False	intronic	4	4809	9.3955352648839
0ed63d84-d3fe-4289-9255-35f4a03b703b	MET	False	intronic	1	4809	36.69693130777252
0f53e757-1823-409f-a0ea-249270728e15	FAT3	False	intronic	2	4691	12.691776768606772
0f53e757-1823-409f-a0ea-249270728e15	KMT2C	False	intronic	3	4691	35.187652907732534
0f53e757-1823-409f-a0ea-249270728e15	LRP1B	False	intronic	4	4691	7.078810087275012
0f53e757-1823-409f-a0ea-249270728e15	MTOR	False	intronic	1	4691	22.632430665197596
10d15b7a-16d1-4953-aaef-f193ffa97f42	BIRC6	False	intronic	1	7916	1.7040320298897735
10d15b7a-16d1-4953-aaef-f193ffa97f42	FAT1	False	intronic	2	7916	6.917116537368486
10d15b7a-16d1-4953-aaef-f193ffa97f42	FAT3	False	intronic	2	7916	1.5970173120129205
10d15b7a-16d1-4953-aaef-f193ffa97f42	KMT2C	False	intronic	1	7916	1.4758976589668733
10d15b7a-16d1-4953-aaef-f193ffa97f42	LRP1B	False	intronic	10	7916	2.2268320787426834
10d15b7a-16d1-4953-aaef-f193ffa97f42	PBRM1	True	splicing	0	7916	0.0
10d15b7a-16d1-4953-aaef-f193ffa97f42	SETD2	False	intronic	1	7916	3.0145103356298875
10d15b7a-16d1-4953-aaef-f193ffa97f42	VHL	True	exonic	0	7916	0.0
141918cd-3e23-45bc-96e1-b208c80f69e7	FAT1	False	exonic	1	7171	165.097115820701
141918cd-3e23-45bc-96e1-b208c80f69e7	FAT1	False	intronic	3	7171	60.33973096951885
141918cd-3e23-45bc-96e1-b208c80f69e7	FAT3	False	intronic	1	7171	4.643726637630805
141918cd-3e23-45bc-96e1-b208c80f69e7	LRP1B	False	intronic	5	7171	6.475070347580876
141918cd-3e23-45bc-96e1-b208c80f69e7	VHL	True	exonic	0	7171	0.0
14dd86c1-dfb3-4124-a453-4d64223bc048	BIRC6	False	intronic	2	4991	30.994113386192506
14dd86c1-dfb3-4124-a453-4d64223bc048	FAT3	False	intronic	1	4991	7.2619139165246
14dd86c1-dfb3-4124-a453-4d64223bc048	KMT2C	False	intronic	1	4991	13.422323813770785
14dd86c1-dfb3-4124-a453-4d64223bc048	LRP1B	False	intronic	6	4991	12.150948702242298
14dd86c1-dfb3-4124-a453-4d64223bc048	VHL	True	exonic	0	4991	0.0
155873b2-e5de-405f-87f6-6de0d238b160	FAT1	False	intronic	2	20223	10.594403166494411
155873b2-e5de-405f-87f6-6de0d238b160	FAT3	False	intronic	7	20223	8.561090176197162
155873b2-e5de-405f-87f6-6de0d238b160	KDM5C	True	exonic	0	20223	0.0
155873b2-e5de-405f-87f6-6de0d238b160	KMT2C	False	intronic	1	20223	2.260516321664997
155873b2-e5de-405f-87f6-6de0d238b160	LRP1B	False	intronic	18	20223	6.139194281012424
155873b2-e5de-405f-87f6-6de0d238b160	MTOR	False	intronic	3	20223	13.085522113851777
155873b2-e5de-405f-87f6-6de0d238b160	PBRM1	True	exonic	0	20223	0.0
155873b2-e5de-405f-87f6-6de0d238b160	SETD2	True	exonic	0	20223	0.0
15a93657-0521-430a-a816-bf0842374b75	FAT1	False	exonic	1	4806	453.4039612409869
15a93657-0521-430a-a816-bf0842374b75	FAT3	False	intronic	1	4806	12.753003236644647
15a93657-0521-430a-a816-bf0842374b75	LRP1B	False	intronic	4	4806	14.225918025584841
15a93657-0521-430a-a816-bf0842374b75	PBRM1	True	exonic	0	4806	0.0
