Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
0040b1b6-b07a-4b6e-90ef-133523eaf412	APC	False	intronic	1	15823	2.825634138763853
0040b1b6-b07a-4b6e-90ef-133523eaf412	ARID1A	False	intronic	1	15823	4.636735957697693
0040b1b6-b07a-4b6e-90ef-133523eaf412	ARID2	False	intronic	2	15823	4.269531951762687
0040b1b6-b07a-4b6e-90ef-133523eaf412	CSMD3	False	intronic	11	15823	3.3166211496125944
0040b1b6-b07a-4b6e-90ef-133523eaf412	CTNNB1	False	intronic	1	15823	9.600507873198133
0040b1b6-b07a-4b6e-90ef-133523eaf412	NFE2L2	False	ncRNA	1	15823	362342.36815024394
0040b1b6-b07a-4b6e-90ef-133523eaf412	RB1	False	intronic	1	15823	2.0899705151364922
0040b1b6-b07a-4b6e-90ef-133523eaf412	SETDB1	True	exonic	0	15823	0.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	SETDB1	True	intronic	1	15823	10.615913751032577
0040b1b6-b07a-4b6e-90ef-133523eaf412	TERT	True	upstream	0	15823	0.0
00c27940-c623-11e3-bf01-24c6515278c0	APC	False	intronic	1	17208	4.3580426667903005
00c27940-c623-11e3-bf01-24c6515278c0	ARID1A	False	intronic	1	17208	7.151348032313711
00c27940-c623-11e3-bf01-24c6515278c0	ARID2	False	intronic	1	17208	3.2925002847584297
00c27940-c623-11e3-bf01-24c6515278c0	CSMD3	False	intronic	10	17208	4.650275999127836
01dc6872-c623-11e3-bf01-24c6515278c0	CSMD3	False	intronic	6	10232	8.923473959668017
01dc6872-c623-11e3-bf01-24c6515278c0	CTNNB1	True	exonic	0	10232	0.0
01dc6872-c623-11e3-bf01-24c6515278c0	TERT	False	intronic	1	10232	46.70250609006549
030695f6-c623-11e3-bf01-24c6515278c0	CSMD3	False	exonic	2	13877	101.75870003849808
030695f6-c623-11e3-bf01-24c6515278c0	CSMD3	False	intronic	23	13877	12.930604361811671
03c88506-d72e-4a44-a34e-a7f0564f1799	APC	False	intronic	1	9597	6.054243042269098
03c88506-d72e-4a44-a34e-a7f0564f1799	CSMD3	False	-	1	9597	
