Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
0176cf1d-0760-4769-a493-277f4bb7585e	ATM	False	intronic	1	42864	1.653691618461855
0176cf1d-0760-4769-a493-277f4bb7585e	EGFR	False	intronic	1	42864	1.199626620862636
0176cf1d-0760-4769-a493-277f4bb7585e	MET	False	intronic	1	42864	1.8257757223054774
0176cf1d-0760-4769-a493-277f4bb7585e	NBEA	False	intronic	11	42864	3.366357032433758
0176cf1d-0760-4769-a493-277f4bb7585e	RBM10	True	exonic	0	42864	0.0
0176cf1d-0760-4769-a493-277f4bb7585e	TP53	True	exonic	0	42864	0.0
020fab36-c7de-4933-b2bf-dc7b019a1326	EGFR	True	exonic	0	10893	0.0
020fab36-c7de-4933-b2bf-dc7b019a1326	MET	False	exonic	1	10893	43.111446676428635
020fab36-c7de-4933-b2bf-dc7b019a1326	MET	False	intronic	1	10893	2.501074605649795
020fab36-c7de-4933-b2bf-dc7b019a1326	RBM10	False	intronic	1	10893	7.8471134400629285
020fab36-c7de-4933-b2bf-dc7b019a1326	TP53	True	exonic	0	10893	0.0
09bc8542-4ea1-4599-91b3-d606425b37e2	EGFR	False	-	1	16763	
09bc8542-4ea1-4599-91b3-d606425b37e2	KEAP1	False	intronic	1	16763	16.055526253709857
09bc8542-4ea1-4599-91b3-d606425b37e2	MET	False	intronic	1	16763	1.9530446328658124
09bc8542-4ea1-4599-91b3-d606425b37e2	NBEA	False	exonic	1	16763	21.00681566129906
09bc8542-4ea1-4599-91b3-d606425b37e2	NBEA	False	intronic	5	16763	1.6368249431989819
09bc8542-4ea1-4599-91b3-d606425b37e2	TP53	True	exonic	0	16763	0.0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	ATM	False	intronic	1	116919	0.6100430257239866
0b19bee7-5281-4915-9d98-c20eb3e84ecf	EGFR	False	-	5	116919	
0b19bee7-5281-4915-9d98-c20eb3e84ecf	EGFR	False	intronic	4	116919	1.7701579795410078
0b19bee7-5281-4915-9d98-c20eb3e84ecf	EGFR	False	ncRNA	2	116919	162419.07525480565
0b19bee7-5281-4915-9d98-c20eb3e84ecf	MET	False	intronic	1	116919	0.6735244549189943
0b19bee7-5281-4915-9d98-c20eb3e84ecf	NBEA	False	-	1	116919	
0b19bee7-5281-4915-9d98-c20eb3e84ecf	NBEA	False	downstream	1	116919	81.20953762740282
0b19bee7-5281-4915-9d98-c20eb3e84ecf	NBEA	False	intronic	3	116919	0.3386840041791262
0b19bee7-5281-4915-9d98-c20eb3e84ecf	STK11	False	-	1	116919	
0b19bee7-5281-4915-9d98-c20eb3e84ecf	TP53	True	exonic	0	116919	0.0
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	KRAS	True	exonic	0	601	0.0
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	NBEA	False	intronic	1	601	78.33814154008314
14bf9bfb-14d6-4cac-a556-828f680e8a15	ATM	False	intronic	1	25576	0.9830766498445329
14bf9bfb-14d6-4cac-a556-828f680e8a15	EGFR	False	-	1	25576	
14bf9bfb-14d6-4cac-a556-828f680e8a15	KEAP1	True	exonic	0	25576	0.0
14bf9bfb-14d6-4cac-a556-828f680e8a15	NBEA	False	intronic	3	25576	0.5457850055562985
14bf9bfb-14d6-4cac-a556-828f680e8a15	STK11	False	intronic	1	25576	6.759369180515163
15e097e3-e468-466c-8e57-b59fba90bbf2	MET	False	intronic	1	20954	92.94120442601576
15e097e3-e468-466c-8e57-b59fba90bbf2	TP53	True	exonic	0	20954	0.0
199bbb0f-996c-40c1-b06d-2066f04be778	EGFR	False	exonic	1	40792	49.13903212020128
199bbb0f-996c-40c1-b06d-2066f04be778	EGFR	False	intronic	2	40792	6.126178569032222
199bbb0f-996c-40c1-b06d-2066f04be778	KEAP1	True	exonic	0	40792	0.0
199bbb0f-996c-40c1-b06d-2066f04be778	KEAP1	True	intronic	1	40792	38.32422366012017
199bbb0f-996c-40c1-b06d-2066f04be778	KRAS	True	exonic	0	40792	0.0
199bbb0f-996c-40c1-b06d-2066f04be778	NBEA	False	intronic	4	40792	3.1256550161911556
199bbb0f-996c-40c1-b06d-2066f04be778	RBM10	True	exonic	0	40792	0.0
199bbb0f-996c-40c1-b06d-2066f04be778	STK11	False	intronic	1	40792	29.03266300413111
23d77176-dfed-4bee-ac96-9934377d8d81	EGFR	False	-	2	119126	
23d77176-dfed-4bee-ac96-9934377d8d81	EGFR	False	intronic	6	119126	0.9122887404175986
23d77176-dfed-4bee-ac96-9934377d8d81	MET	False	intronic	3	119126	0.694230440130346
23d77176-dfed-4bee-ac96-9934377d8d81	NBEA	False	intronic	12	119126	0.46546143661487194
23d77176-dfed-4bee-ac96-9934377d8d81	RBM10	False	intronic	1	119126	0.7260485826027958
23d77176-dfed-4bee-ac96-9934377d8d81	TP53	True	exonic	0	119126	0.0
23d86395-9e20-4cf9-bf7e-f76544a1f772	EGFR	False	intronic	2	14684	12.403183233848782
23d86395-9e20-4cf9-bf7e-f76544a1f772	KEAP1	True	exonic	0	14684	0.0
23d86395-9e20-4cf9-bf7e-f76544a1f772	NBEA	False	intronic	2	14684	3.1641317221464744
23d86395-9e20-4cf9-bf7e-f76544a1f772	RBM10	False	intronic	1	14684	29.613366495929252
23d86395-9e20-4cf9-bf7e-f76544a1f772	STK11	True	exonic	0	14684	0.0
2bde43e2-fd4e-413e-adc7-c50bca75d358	EGFR	False	intronic	1	56531	0.3262301258596733
2bde43e2-fd4e-413e-adc7-c50bca75d358	EGFR	False	ncRNA	2	56531	119731.67587251386
2bde43e2-fd4e-413e-adc7-c50bca75d358	MET	False	intronic	2	56531	0.9930140484060731
2bde43e2-fd4e-413e-adc7-c50bca75d358	NBEA	False	UTR3	1	56531	34.28742149842894
2bde43e2-fd4e-413e-adc7-c50bca75d358	NBEA	False	exonic	1	56531	5.340395890834695
2bde43e2-fd4e-413e-adc7-c50bca75d358	NBEA	False	intronic	8	56531	0.6657872067134625
2bde43e2-fd4e-413e-adc7-c50bca75d358	STK11	False	-	1	56531	
2bde43e2-fd4e-413e-adc7-c50bca75d358	TP53	True	splicing	0	56531	0.0
309f5324-5608-4f62-b744-5ab268b70927	KRAS	True	exonic	0	2483	0.0
37d0cf1b-1743-4852-8073-372b16b5c17d	NBEA	False	intronic	1	4508	2.736624916852682
3b20d548-2a7d-4031-85a1-425ca7201d7a	ATM	False	intronic	5	166702	0.9250369584609603
3b20d548-2a7d-4031-85a1-425ca7201d7a	EGFR	False	-	2	166702	
