Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
0bbc7ede-5022-4084-925c-d65baaf7abc2	CDH10	False	exonic	1	43005	22.596934658747223
0bbc7ede-5022-4084-925c-d65baaf7abc2	CDH10	False	intronic	17	43005	8.523672548744006
0bbc7ede-5022-4084-925c-d65baaf7abc2	CREBBP	False	intronic	1	43005	0.5358402400042277
0bbc7ede-5022-4084-925c-d65baaf7abc2	CSMD3	False	intronic	44	43005	2.8444096339919613
0bbc7ede-5022-4084-925c-d65baaf7abc2	FAM135B	False	exonic	2	43005	20.703067650039426
0bbc7ede-5022-4084-925c-d65baaf7abc2	FAM135B	False	intronic	27	43005	5.829242761000421
0bbc7ede-5022-4084-925c-d65baaf7abc2	TP53	True	exonic	0	43005	0.0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	CDH10	False	intronic	3	37999	1.6850514892257646
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	CSMD3	False	intronic	94	37999	6.807402086065822
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	FAM135B	False	UTR3	1	37999	33.86385252893464
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	FAM135B	False	exonic	1	37999	11.596282611507265
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	FAM135B	False	intronic	26	37999	6.2883370460691
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	NFE2L2	True	exonic	0	37999	0.0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	NOTCH1	True	exonic	0	37999	0.0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	TP53	True	exonic	0	37999	0.0
1c3df485-8e75-4378-87f6-c6463a520624	CDH10	False	intronic	11	45829	9.048394894473978
1c3df485-8e75-4378-87f6-c6463a520624	CREBBP	False	exonic	1	45829	11.813408833275226
1c3df485-8e75-4378-87f6-c6463a520624	CREBBP	False	intronic	2	45829	1.7581921853750264
1c3df485-8e75-4378-87f6-c6463a520624	CSMD3	False	intronic	40	45829	4.242291245793241
1c3df485-8e75-4378-87f6-c6463a520624	FAM135B	False	downstream	1	45829	127.4548679022064
1c3df485-8e75-4378-87f6-c6463a520624	FAM135B	False	intronic	20	45829	7.084013800777373
1c3df485-8e75-4378-87f6-c6463a520624	NFE2L2	False	-	1	45829	
1c3df485-8e75-4378-87f6-c6463a520624	NOTCH1	False	upstream	1	45829	127.4548679022064
