Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
00b9d0e6-69dc-4345-bffd-ce32880c8eef	CCND3	True	exonic	0	4412	0.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	CCND3	True	intronic	1	4412	60.52414721271606
00b9d0e6-69dc-4345-bffd-ce32880c8eef	MYC	True	UTR5	2	4412	11697.439320614862
00b9d0e6-69dc-4345-bffd-ce32880c8eef	MYC	True	exonic	2	4412	3003.3266073291807
00b9d0e6-69dc-4345-bffd-ce32880c8eef	MYC	True	intronic	9	4412	20333.211206663196
00b9d0e6-69dc-4345-bffd-ce32880c8eef	P2RY8	False	exonic	1	4412	794.9982195871361
00b9d0e6-69dc-4345-bffd-ce32880c8eef	TP53	True	exonic	0	4412	0.0
02917220-6a7a-46a1-8656-907e96bef88e	BCL2	False	-	7	24171	
02917220-6a7a-46a1-8656-907e96bef88e	BCL2	False	UTR3	1	24171	111.14349644874906
02917220-6a7a-46a1-8656-907e96bef88e	BCL2	False	UTR5	12	24171	14538.38093100797
02917220-6a7a-46a1-8656-907e96bef88e	BCL2	False	exonic	5	24171	451.12171443774736
02917220-6a7a-46a1-8656-907e96bef88e	BCL2	False	intronic	10	24171	31.51185482532077
02917220-6a7a-46a1-8656-907e96bef88e	BCL2	False	upstream	6	24171	3583.7108994934647
02917220-6a7a-46a1-8656-907e96bef88e	CCND3	False	intronic	1	24171	5.328335979121267
02917220-6a7a-46a1-8656-907e96bef88e	CREBBP	True	exonic	0	24171	0.0
02917220-6a7a-46a1-8656-907e96bef88e	EZH2	False	intronic	1	24171	8.012948080434363
02917220-6a7a-46a1-8656-907e96bef88e	KMT2D	True	splicing	0	24171	0.0
02917220-6a7a-46a1-8656-907e96bef88e	MYC	False	intronic	1	24171	198.8961538180411
02917220-6a7a-46a1-8656-907e96bef88e	TNFRSF14	True	exonic	0	24171	0.0
02917220-6a7a-46a1-8656-907e96bef88e	TP53	False	intronic	2	24171	72.13153190212878
03ad38a6-0902-4aaa-84a3-91ea88fa9883	ARID1A	True	exonic	0	6179	0.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	ARID1A	True	intronic	1	6179	51.276099673425335
03ad38a6-0902-4aaa-84a3-91ea88fa9883	BCL2	False	-	7	6179	
03ad38a6-0902-4aaa-84a3-91ea88fa9883	BCL2	False	UTR3	1	6179	745.6312030293071
03ad38a6-0902-4aaa-84a3-91ea88fa9883	BCL2	False	UTR5	1	6179	8127.833843974638
03ad38a6-0902-4aaa-84a3-91ea88fa9883	BCL2	False	intronic	8	6179	169.12350590966676
03ad38a6-0902-4aaa-84a3-91ea88fa9883	BCL2	False	upstream	1	6179	4007.0220850794963
03ad38a6-0902-4aaa-84a3-91ea88fa9883	CREBBP	True	exonic	0	6179	0.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	EZH2	True	exonic	0	6179	0.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	KMT2D	True	exonic	0	6179	0.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	SGK1	False	intronic	1	6179	27.493564641285378
03ad38a6-0902-4aaa-84a3-91ea88fa9883	TNFRSF14	True	exonic	0	6179	0.0
