Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
04b570c2-3224-4e9b-81cc-089b4a7ff07a	ATM	True	exonic	0	2861	0.0
04b570c2-3224-4e9b-81cc-089b4a7ff07a	SF3B1	True	exonic	0	2861	0.0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	FAT4	False	intronic	2	3218	75.82520580913405
1193a9c4-5aab-4cd7-a690-60c96bd1172d	SETD2	False	ncRNA	1	1749	24132511.202141285
140d6ef7-0217-4d16-9add-215d0d14ba06	MYD88	True	exonic	0	3004	0.0
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	ATM	False	intronic	1	1851	177.20003238702634
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	FAT4	False	intronic	2	1851	294.10207976103493
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	NFKBIE	True	exonic	0	1851	0.0
15563a10-47a8-401d-a507-2c7101f7ae60	BCOR	False	-	1	2017	
15563a10-47a8-401d-a507-2c7101f7ae60	MGA	False	exonic	1	2017	11437.12327690828
19cd4360-8392-4bc2-ae88-fdc1335d886b	BCOR	False	intronic	1	2159	1030.1855661436084
1de83d45-8492-4b83-9055-a9f43b823f91	BRAF	False	intronic	1	2423	88.44097470994478
1de83d45-8492-4b83-9055-a9f43b823f91	IRF4	True	exonic	0	2423	0.0
22cd3875-a123-4f0d-8cd1-371958208ad6	FAT4	False	intronic	1	1393	2416.9375286436552
26c301a6-a597-4c24-9f6c-2293e5ae41c7	ATM	True	exonic	0	2843	0.0
26c301a6-a597-4c24-9f6c-2293e5ae41c7	ATM	True	splicing	0	2843	0.0
26c301a6-a597-4c24-9f6c-2293e5ae41c7	FAT4	False	intronic	1	2843	44.11902147304021
278b2498-1d64-493b-ac43-3489ec86f313	FAT4	False	intronic	1	3452	46.79202513480276
278b2498-1d64-493b-ac43-3489ec86f313	MGA	True	exonic	0	3452	0.0
278b2498-1d64-493b-ac43-3489ec86f313	NFKBIE	True	exonic	0	3452	0.0
278b2498-1d64-493b-ac43-3489ec86f313	ZMYM3	False	exonic	1	3452	1150.8886721824979
2df17728-33e8-45ab-833b-ef68a5482daa	BRAF	True	exonic	0	3123	0.0
2df17728-33e8-45ab-833b-ef68a5482daa	IRF4	True	exonic	0	3123	0.0
367fdef3-d7af-4996-932f-cc5087e843dc	ATM	False	intronic	1	2519	109.95858554247783
3e8a2c90-e747-4a22-bc9e-0b062479fec2	FAT4	False	intronic	1	3503	76.60526887223615
3f72f750-5666-44e7-acaf-a912d89475be	FAT4	False	intronic	1	2146	118.88806363357625
3f72f750-5666-44e7-acaf-a912d89475be	SF3B1	True	exonic	0	2146	0.0
43d630aa-3890-401c-bf56-e3a9f325734f	FAT4	False	intronic	1	3918	784.67277413663
4808f9e1-452d-45eb-9b87-2f87c67d3452	ATM	False	intronic	1	4739	58.09223983725225
4808f9e1-452d-45eb-9b87-2f87c67d3452	BCOR	False	exonic	1	4739	1068.4300993886234
4808f9e1-452d-45eb-9b87-2f87c67d3452	FAT4	False	exonic	1	4739	450.89482009065694
4808f9e1-452d-45eb-9b87-2f87c67d3452	SETD2	True	exonic	0	4739	0.0
4808f9e1-452d-45eb-9b87-2f87c67d3452	SETD2	True	splicing	0	4739	0.0
4b8c6b0c-0d0c-4834-a2f3-691e0919b902	ATM	True	exonic	0	2057	0.0
4b91ece6-c9b2-4889-b18c-c63eb58eb061	BCOR	False	intronic	1	2164	263.5809868668629
4b91ece6-c9b2-4889-b18c-c63eb58eb061	SETD2	False	intronic	1	2164	226.82061366524158
50f4d836-79a9-4bc7-a63a-7aa29e41d418	BCOR	False	intronic	1	2670	383.36337773839176
50f4d836-79a9-4bc7-a63a-7aa29e41d418	MGA	True	exonic	0	2670	0.0
50f4d836-79a9-4bc7-a63a-7aa29e41d418	SETD2	True	exonic	1	2670	5254.232692075249
50f4d836-79a9-4bc7-a63a-7aa29e41d418	SETD2	True	splicing	0	2670	0.0
50f4d836-79a9-4bc7-a63a-7aa29e41d418	SF3B1	True	exonic	0	2670	0.0
50f4d836-79a9-4bc7-a63a-7aa29e41d418	TP53	True	exonic	0	2670	0.0
513bafce-375c-49b0-ae75-6c607abd05d8	BRAF	False	intronic	1	3953	27.415720170925486
537cccf2-fb25-448b-813e-ca5d5642b910	BRAF	False	intronic	1	788	5876.4449760672605
55c82198-5be6-4cc5-b5b3-b707af234107	ZMYM3	False	exonic	1	3325	2024.598680079353
5f53bcda-2fd3-4574-9cc2-5efe353372b2	FAT4	False	intronic	1	4482	37.8749102261931
5f53bcda-2fd3-4574-9cc2-5efe353372b2	TP53	True	exonic	0	4482	0.0
