Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	exonic	0	1445	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	exonic	1	2256	1341.97903822975
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	exonic	0	2256	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	ASXL2	False	UTR3	1	3584	13344.583397645867
9f298806-77b6-4c76-bd38-3343e1a3c6f0	NRAS	True	exonic	0	3584	0.0
a68389d4-431f-4582-b4df-e8ad200aa3be	ASXL2	False	exonic	1	1653	1985.370136728447
a68389d4-431f-4582-b4df-e8ad200aa3be	NRAS	True	exonic	0	1653	0.0
aff5793b-3197-4d1d-bf0a-9b0ded5f2937	ASXL2	False	exonic	1	1606	6550.102760878647
aff5793b-3197-4d1d-bf0a-9b0ded5f2937	KIT	True	exonic	0	1606	0.0
f8e61a02-92b1-947e-e040-11ac0d481b68	EZH2	False	exonic	2	2361	12659.714261454159
f8f0136b-09ec-d079-e040-11ac0c4842e7	EZH2	False	exonic	1	1734	32004.09032295529
f8f0136b-09ec-d079-e040-11ac0c4842e7	EZH2	False	intronic	1	1734	1263.5905261665873
fa718a69-7d09-424b-90a3-4839ba7dc9b2	NRAS	True	exonic	0	1042	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	UTR5	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	UTR3	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	ncRNA	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	exonic	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	intronic	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	splicing	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	upstream	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	EZH2	False	downstream	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	UTR5	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	UTR3	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	ncRNA	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	exonic	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	intronic	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	splicing	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	upstream	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	NRAS	False	downstream	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	UTR5	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	UTR3	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	ncRNA	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	exonic	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	intronic	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	splicing	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	upstream	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	ASXL2	False	downstream	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	UTR5	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	UTR3	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	ncRNA	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	intronic	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	splicing	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	upstream	0	1445	0.0
1c300960-e51c-4477-8fdd-026c7e545dc4	KIT	True	downstream	0	1445	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	UTR5	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	UTR3	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	ncRNA	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	intronic	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	splicing	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	upstream	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	EZH2	True	downstream	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	UTR5	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	UTR3	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	ncRNA	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	exonic	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	intronic	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	splicing	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	upstream	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	NRAS	False	downstream	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	UTR5	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	UTR3	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	ncRNA	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	intronic	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	splicing	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	upstream	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	ASXL2	False	downstream	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	UTR5	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	UTR3	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	ncRNA	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	exonic	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	intronic	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	splicing	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	upstream	0	2256	0.0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	KIT	False	downstream	0	2256	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	UTR5	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	UTR3	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	ncRNA	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	exonic	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	intronic	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	splicing	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	upstream	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	EZH2	False	downstream	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	NRAS	True	UTR5	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	NRAS	True	UTR3	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	NRAS	True	ncRNA	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	NRAS	True	intronic	0	3584	0.0
9f298806-77b6-4c76-bd38-3343e1a3c6f0	NRAS	True	splicing	0	3584	0.0
