Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	exonic	0	1256	0.0
f8fae6e5-93b5-7233-e040-11ac0c4830e7	DNMT3A	True	exonic	0	1335	0.0
f9031d03-def1-24b4-e040-11ac0c486570	DNMT3A	True	exonic	0	1687	0.0
f9031d03-def1-24b4-e040-11ac0c486570	TET2	True	exonic	0	1687	0.0
f90cab09-6797-eccb-e040-11ac0d486aa3	SH2B3	False	exonic	1	1806	27652.387374339334
f90d51f8-3bc4-2e66-e040-11ac0d484d19	SH2B3	False	exonic	1	913	24046.053177077167
f90d51f8-3bc4-2e66-e040-11ac0d484d19	TET2	True	exonic	0	913	0.0
f92a78d1-90ff-70c8-e040-11ac0d485eca	DNMT3A	False	intronic	1	1843	183.15693732709005
f92a78d1-90ff-70c8-e040-11ac0d485eca	TET2	True	exonic	0	1843	0.0
f93abbbf-5e13-9b85-e040-11ac0d485718	TET2	False	ncRNA	1	1106	26369015.66911972
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	UTR5	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	UTR3	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	ncRNA	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	intronic	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	splicing	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	upstream	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	DNMT3A	True	downstream	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	TET2	False	UTR5	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	TET2	False	UTR3	0	1256	0.0
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6	TET2	False	ncRNA	0	1256	0.0
