Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
0009b464-b376-4fbc-8a56-da538269a02f	CDK12	True	exonic	0	16168	0.0
0009b464-b376-4fbc-8a56-da538269a02f	PTPRT	False	UTR3	1	16168	26.916932485092214
0009b464-b376-4fbc-8a56-da538269a02f	PTPRT	False	downstream	2	16168	437.2924851528082
0009b464-b376-4fbc-8a56-da538269a02f	PTPRT	False	intronic	9	16168	1.7815885170852341
0009b464-b376-4fbc-8a56-da538269a02f	TP53	True	exonic	0	16168	0.0
01df36af-3617-40fc-9892-f54ce433cf71	PTPRT	False	intronic	1	5969	0.539179796060858
01df36af-3617-40fc-9892-f54ce433cf71	TP53	True	exonic	0	5969	0.0
052665d1-ab75-4f40-be5a-b88154c8beed	PTPRT	False	intronic	7	8707	3.12431691076737
052665d1-ab75-4f40-be5a-b88154c8beed	TP53	True	exonic	0	8707	0.0
09508a0d-ebe0-4fa1-b7b2-1710814181cd	CDK12	True	exonic	0	10514	0.0
09508a0d-ebe0-4fa1-b7b2-1710814181cd	LATS1	True	-	1	10514	
09508a0d-ebe0-4fa1-b7b2-1710814181cd	LATS1	True	exonic	0	10514	0.0
09508a0d-ebe0-4fa1-b7b2-1710814181cd	PTPRT	False	intronic	8	10514	2.2889262789829634
09508a0d-ebe0-4fa1-b7b2-1710814181cd	TP53	True	exonic	0	10514	0.0
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	BRCA1	False	intronic	1	11905	3.625290125099546
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	NF1	False	intronic	1	11905	1.038465307609907
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	PTPRT	False	intronic	6	11905	1.525299540669381
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	TP53	True	exonic	0	11905	0.0
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	NF1	False	intronic	1	7701	1.6502487510576938
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	PTPRT	False	intronic	2	7701	0.807962687353141
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	TP53	True	exonic	0	7701	0.0
127b0f7d-d24e-48b7-ac25-d3f14a43952d	BRCA1	True	splicing	0	5788	0.0
127b0f7d-d24e-48b7-ac25-d3f14a43952d	PTPRT	False	intronic	2	5788	2.315097306778224
127b0f7d-d24e-48b7-ac25-d3f14a43952d	TP53	True	splicing	0	5788	0.0
12874085-a596-41ae-b4cd-817cb1ebb278	CDK12	False	intronic	2	9201	12.862179111275656
12874085-a596-41ae-b4cd-817cb1ebb278	PTPRT	False	UTR3	1	9201	51.302249429493486
12874085-a596-41ae-b4cd-817cb1ebb278	PTPRT	False	intronic	13	9201	4.904775010438914
12874085-a596-41ae-b4cd-817cb1ebb278	TP53	True	exonic	0	9201	0.0
1292e13b-d7c6-447b-a227-9a8113215580	PTPRT	False	intronic	15	15435	3.2699627840027268
1292e13b-d7c6-447b-a227-9a8113215580	TP53	True	exonic	0	15435	0.0
129de5b2-d9b0-4762-9ef8-72d98231fb50	PTPRT	False	intronic	2	6023	1.7704308320710838
129de5b2-d9b0-4762-9ef8-72d98231fb50	TP53	True	exonic	0	6023	0.0
14ed7388-41ed-43d4-afb2-04cd6410d5d2	PTPRT	False	intronic	3	4624	2.691402467984531
14ed7388-41ed-43d4-afb2-04cd6410d5d2	TP53	True	exonic	0	4624	0.0
1659bae5-3140-4d05-891c-81b48277b2fc	PTPRT	False	exonic	1	5290	50.107684921902255
1659bae5-3140-4d05-891c-81b48277b2fc	PTPRT	False	intronic	1	5290	0.5751911784342454
1659bae5-3140-4d05-891c-81b48277b2fc	TP53	True	exonic	0	5290	0.0
16df7888-2480-4394-8856-d57a6ef371d2	TP53	True	exonic	0	5355	0.0
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	PTPRT	False	intronic	9	5727	5.241407779745095
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	TP53	True	exonic	0	5727	0.0
