Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
005e85a3-3571-462d-8dc9-2babfc7ace21	CSMD3	False	intronic	2	1403	34.529291418201666
005e85a3-3571-462d-8dc9-2babfc7ace21	LRP1B	False	intronic	1	1403	11.01416875336589
008aef39-0c97-48ce-9dfd-f12d67116c59	CSMD3	False	intronic	6	3586	41.271874242465266
008aef39-0c97-48ce-9dfd-f12d67116c59	FAT3	False	intronic	1	3586	15.735811926112639
008aef39-0c97-48ce-9dfd-f12d67116c59	FAT4	False	intronic	1	3586	51.53195401716168
008aef39-0c97-48ce-9dfd-f12d67116c59	FOXA1	True	exonic	0	3586	0.0
008aef39-0c97-48ce-9dfd-f12d67116c59	KMT2C	False	intronic	1	3586	29.08477924315044
008aef39-0c97-48ce-9dfd-f12d67116c59	LRP1B	False	intronic	5	3586	21.941534708827138
008aef39-0c97-48ce-9dfd-f12d67116c59	MED12	True	exonic	0	3586	0.0
008bad10-d41b-4bbb-86fa-9976ecea46b1	CSMD3	False	intronic	5	2557	44.49445721017296
008bad10-d41b-4bbb-86fa-9976ecea46b1	LRP1B	False	intronic	3	2557	17.031434130522427
0192d529-7340-45d8-a5f0-249cbb11ca19	LRP1B	False	intronic	4	3145	21.289623898949266
07f16397-71bb-4594-ad4d-caa7d2baeabd	ATM	False	intronic	1	3311	50.57385531522812
07f16397-71bb-4594-ad4d-caa7d2baeabd	FAT4	False	intronic	1	3311	41.96916848540952
07f16397-71bb-4594-ad4d-caa7d2baeabd	KMT2C	False	intronic	1	3311	23.687516293486652
07f16397-71bb-4594-ad4d-caa7d2baeabd	KMT2D	True	exonic	0	3311	0.0
07f16397-71bb-4594-ad4d-caa7d2baeabd	LRP1B	False	intronic	3	3311	10.721906257036757
07f16397-71bb-4594-ad4d-caa7d2baeabd	TP53	True	exonic	0	3311	0.0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	CSMD3	False	intronic	4	3031	22.441471563576094
089be98d-c3c9-4fb4-aef2-7a8578a91d51	FAT4	False	intronic	1	3031	42.030543872238994
089be98d-c3c9-4fb4-aef2-7a8578a91d51	LRP1B	False	intronic	4	3031	14.316781186236232
