Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
04aa6b77-8074-480c-872e-a1a47afa5314	ARID2	False	exonic	1	759325	0.5515377512644267
04aa6b77-8074-480c-872e-a1a47afa5314	ARID2	False	intronic	6	759325	0.17143311700194788
04aa6b77-8074-480c-872e-a1a47afa5314	BRAF	False	intronic	10	759325	0.2467561551701768
04aa6b77-8074-480c-872e-a1a47afa5314	COL1A1	False	intronic	1	759325	0.4174633250295346
04aa6b77-8074-480c-872e-a1a47afa5314	CYP2C8	False	-	3	759325	
04aa6b77-8074-480c-872e-a1a47afa5314	CYP2C8	False	UTR3	1	759325	13.622672603562089
04aa6b77-8074-480c-872e-a1a47afa5314	CYP2C8	False	intronic	14	759325	2.19264977413704
04aa6b77-8074-480c-872e-a1a47afa5314	CYP2C8	False	upstream	1	759325	4.849671446868104
04aa6b77-8074-480c-872e-a1a47afa5314	MECOM	False	-	1	759325	
04aa6b77-8074-480c-872e-a1a47afa5314	MECOM	False	UTR3	3	759325	10.318449886953411
04aa6b77-8074-480c-872e-a1a47afa5314	MECOM	False	UTR5	2	759325	5.629334238964717
04aa6b77-8074-480c-872e-a1a47afa5314	MECOM	False	exonic	1	759325	0.7311429891252983
04aa6b77-8074-480c-872e-a1a47afa5314	MECOM	False	intronic	385	759325	3.241078089789838
04aa6b77-8074-480c-872e-a1a47afa5314	MECOM	False	ncRNA	24	759325	116392.1147248345
04aa6b77-8074-480c-872e-a1a47afa5314	NACA	False	exonic	1	759325	0.6980957890986187
04aa6b77-8074-480c-872e-a1a47afa5314	RGS7	False	-	10	759325	
04aa6b77-8074-480c-872e-a1a47afa5314	RGS7	False	UTR3	2	759325	6.5624782772234145
04aa6b77-8074-480c-872e-a1a47afa5314	RGS7	False	exonic	2	759325	2.635691003732665
04aa6b77-8074-480c-872e-a1a47afa5314	RGS7	False	intronic	445	759325	3.721535919986181
04aa6b77-8074-480c-872e-a1a47afa5314	ROBO2	False	-	594	759325	
04aa6b77-8074-480c-872e-a1a47afa5314	ROBO2	False	UTR3	4	759325	4.96383976137984
04aa6b77-8074-480c-872e-a1a47afa5314	ROBO2	False	downstream	1	759325	4.849671446868104
04aa6b77-8074-480c-872e-a1a47afa5314	ROBO2	False	exonic	6	759325	3.208869506088291
04aa6b77-8074-480c-872e-a1a47afa5314	ROBO2	False	intronic	180	759325	0.655974628245535
04aa6b77-8074-480c-872e-a1a47afa5314	ROBO2	False	upstream	1	759325	4.849671446868104
04aa6b77-8074-480c-872e-a1a47afa5314	TERT	True	exonic	1	759325	1.1950890701991383
04aa6b77-8074-480c-872e-a1a47afa5314	TERT	True	intronic	15	759325	1.9008380377063379
04aa6b77-8074-480c-872e-a1a47afa5314	TERT	True	upstream	0	759325	0.0
04aa6b77-8074-480c-872e-a1a47afa5314	TP53	True	exonic	0	759325	0.0
04aa6b77-8074-480c-872e-a1a47afa5314	TP53	True	intronic	1	759325	0.2928368725842705
04aa6b77-8074-480c-872e-a1a47afa5314	TRRAP	False	exonic	2	759325	0.7606134640633789
04aa6b77-8074-480c-872e-a1a47afa5314	TRRAP	False	intronic	13	759325	0.5160745293972475
04c09376-8756-41d9-bbca-f464170a8cfb	ARID2	False	intronic	1	75078	0.2778986930659789
04c09376-8756-41d9-bbca-f464170a8cfb	BRAF	True	exonic	0	75078	0.0
04c09376-8756-41d9-bbca-f464170a8cfb	BRAF	True	intronic	2	75078	0.4799997635952606
04c09376-8756-41d9-bbca-f464170a8cfb	CYP2C8	False	intronic	4	75078	6.093183499933585
04c09376-8756-41d9-bbca-f464170a8cfb	MECOM	False	exonic	1	75078	7.11124027873675
04c09376-8756-41d9-bbca-f464170a8cfb	MECOM	False	intronic	24	75078	1.9650926908762152
04c09376-8756-41d9-bbca-f464170a8cfb	MECOM	False	ncRNA	1	75078	47168.85676886087
04c09376-8756-41d9-bbca-f464170a8cfb	NACA	False	exonic	1	75078	6.789816722162208
04c09376-8756-41d9-bbca-f464170a8cfb	RGS7	False	-	1	75078	
04c09376-8756-41d9-bbca-f464170a8cfb	RGS7	False	intronic	39	75078	3.172267810065208
04c09376-8756-41d9-bbca-f464170a8cfb	ROBO2	False	-	19	75078	
04c09376-8756-41d9-bbca-f464170a8cfb	ROBO2	False	intronic	16	75078	0.5671233814076635
04c09376-8756-41d9-bbca-f464170a8cfb	TERT	True	upstream	0	75078	0.0
04c09376-8756-41d9-bbca-f464170a8cfb	TRRAP	False	intronic	1	75078	0.38611093913805106
04c09376-8756-41d9-bbca-f464170a8cfb	TRRAP	False	ncRNA	1	75078	47168.85676886087
08b5d0e4-4661-460e-a9f7-f2e687414711	ARID2	False	intronic	1	72427	0.26623893003557747
08b5d0e4-4661-460e-a9f7-f2e687414711	BRAF	True	exonic	0	72427	0.0
08b5d0e4-4661-460e-a9f7-f2e687414711	BRAF	True	intronic	1	72427	0.2299302347683068
08b5d0e4-4661-460e-a9f7-f2e687414711	CYP2C8	False	exonic	1	72427	22.32697556850727
08b5d0e4-4661-460e-a9f7-f2e687414711	CYP2C8	False	intronic	3	72427	4.37814938323837
08b5d0e4-4661-460e-a9f7-f2e687414711	MECOM	False	intronic	29	72427	2.2748609274895415
08b5d0e4-4661-460e-a9f7-f2e687414711	NACA	False	exonic	1	72427	6.504937174414669
08b5d0e4-4661-460e-a9f7-f2e687414711	NRAS	False	UTR3	1	72427	12.466151324319643
08b5d0e4-4661-460e-a9f7-f2e687414711	NRAS	False	intronic	1	72427	5.665011727549042
08b5d0e4-4661-460e-a9f7-f2e687414711	RGS7	False	-	1	72427	
08b5d0e4-4661-460e-a9f7-f2e687414711	RGS7	False	intronic	40	72427	3.1170967587745877
08b5d0e4-4661-460e-a9f7-f2e687414711	ROBO2	False	-	57	72427	
08b5d0e4-4661-460e-a9f7-f2e687414711	ROBO2	False	intronic	17	72427	0.577286692627787
08b5d0e4-4661-460e-a9f7-f2e687414711	TERT	True	exonic	1	72427	11.135977957284057
08b5d0e4-4661-460e-a9f7-f2e687414711	TERT	True	intronic	1	72427	1.1808152221233006
08b5d0e4-4661-460e-a9f7-f2e687414711	TERT	True	upstream	0	72427	0.0
08b5d0e4-4661-460e-a9f7-f2e687414711	TRRAP	False	intronic	1	72427	0.36991092752904875
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	ARID2	False	intronic	2	218574	0.6241898572553044
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	BRAF	True	exonic	0	218574	0.0
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	BRAF	True	intronic	2	218574	0.5390651186869233
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	COL1A1	False	intronic	1	218574	4.559965620701207
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	CYP2C8	False	intronic	7	218574	11.975192776031049
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	MECOM	False	intronic	58	218574	5.333348948689131
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	MECOM	False	ncRNA	2	218574	105946.24123137184
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	NACA	False	exonic	1	218574	7.625323249702881
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	NRAS	False	-	1	218574	
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	RGS7	False	exonic	2	218574	28.789739465046694
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	RGS7	False	intronic	117	218574	10.687873536005167
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	ROBO2	False	-	151	218574	
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	ROBO2	False	UTR3	1	218574	13.55504621691042
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	ROBO2	False	intronic	23	218574	0.9155574765589853
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	TERT	True	intronic	3	218574	4.152583272721655
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	TERT	True	upstream	0	218574	0.0
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	TP53	False	-	1	218574	
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	TRRAP	False	intronic	2	218574	0.8672460072637752
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	ARID2	False	intronic	3	168706	0.3377423689608905
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	BRAF	False	intronic	2	168706	0.1944548634717052
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	COL1A1	False	exonic	1	168706	3.224023578719295
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	COL1A1	False	intronic	2	168706	3.2897973230729556
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	CYP2C8	False	-	2	168706	
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	CYP2C8	False	exonic	1	168706	9.441100667524339
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	CYP2C8	False	intronic	4	168706	2.4684369773704846
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	MECOM	False	intronic	68	168706	2.255581362816531
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	MECOM	False	ncRNA	6	168706	114652.72650641558
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	NACA	False	exonic	2	168706	5.501306391555855
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	NRAS	True	UTR3	2	168706	10.542779448865799
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	NRAS	True	exonic	0	168706	0.0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	RGS7	False	-	3	168706	
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	RGS7	False	intronic	109	168706	3.5917782927741344
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	ROBO2	False	-	74	168706	
