Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	CSMD3	False	UTR3	1	3114	7510.693991092992
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	CSMD3	False	intronic	4	3114	46.048315443974154
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	LRP1B	False	intronic	3	3114	22.032768250239883
0cd60b96-eb2d-4687-9709-d1455ec45de7	ARID1B	False	intronic	1	7261	1.0782531960643031
0cd60b96-eb2d-4687-9709-d1455ec45de7	CSMD3	False	intronic	3	7261	1.1392631863085545
0cd60b96-eb2d-4687-9709-d1455ec45de7	LRP1B	False	exonic	1	7261	28.793169936114342
0cd60b96-eb2d-4687-9709-d1455ec45de7	LRP1B	False	intronic	6	7261	1.4536107140484449
0cd60b96-eb2d-4687-9709-d1455ec45de7	TP53	True	exonic	0	7261	0.0
0e54cea2-d568-4a33-b9db-b698844e6ad9	CSMD3	False	intronic	2	3946	3.2383555389661076
0e54cea2-d568-4a33-b9db-b698844e6ad9	ERBB2	True	exonic	0	3946	0.0
0e54cea2-d568-4a33-b9db-b698844e6ad9	ERBB2	True	intronic	14	3946	703.4724267298
0e54cea2-d568-4a33-b9db-b698844e6ad9	LRP1B	False	intronic	6	3946	6.197832551658105
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	ARID1A	True	exonic	0	5819	0.0
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	CSMD3	False	exonic	1	5819	118.96918507696591
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	CSMD3	False	intronic	4	5819	5.258282457362875
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	IL7R	False	intronic	1	5819	85.89559638087377
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	LRP1B	False	intronic	9	5819	7.547801759545497
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	SMAD4	True	exonic	0	5819	0.0
1021b60d-f7b2-43b0-b2cc-f282d619d533	ARID1B	False	intronic	2	68165	0.33556680480631124
1021b60d-f7b2-43b0-b2cc-f282d619d533	CDH1	False	intronic	1	68165	0.7573748224322556
1021b60d-f7b2-43b0-b2cc-f282d619d533	CSMD3	False	exonic	3	68165	16.043638719151595
1021b60d-f7b2-43b0-b2cc-f282d619d533	CSMD3	False	intronic	91	68165	5.377401258491921
1021b60d-f7b2-43b0-b2cc-f282d619d533	CTNNB1	True	-	1	68165	
1021b60d-f7b2-43b0-b2cc-f282d619d533	CTNNB1	True	exonic	0	68165	0.0
1021b60d-f7b2-43b0-b2cc-f282d619d533	CTNNB1	True	intronic	2	68165	3.7631547268580365
1021b60d-f7b2-43b0-b2cc-f282d619d533	LRP1B	False	-	1	68165	
1021b60d-f7b2-43b0-b2cc-f282d619d533	LRP1B	False	intronic	112	68165	4.222242087704198
1021b60d-f7b2-43b0-b2cc-f282d619d533	TP53	True	exonic	0	68165	0.0
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	ARID1B	False	-	1	63430	
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	ARID1B	False	intronic	1	63430	0.1219143409732458
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	CDH1	False	UTR3	1	63430	25.33154969625295
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	CSMD3	False	intronic	52	63430	2.2327504940906406
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	LRP1B	False	exonic	1	63430	3.2555436423512463
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	LRP1B	False	intronic	118	63430	3.232309312884095
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	SMAD4	False	intronic	1	63430	0.8071511634980566
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	TP53	True	exonic	0	63430	0.0
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	TP53	True	intronic	1	63430	3.1157760238673546
172c9864-c26d-4e9b-947a-e8ce761e996d	ARID1A	True	exonic	0	10895	0.0
172c9864-c26d-4e9b-947a-e8ce761e996d	ARID1A	True	intronic	1	10895	3.8941229412431424
172c9864-c26d-4e9b-947a-e8ce761e996d	CSMD3	False	exonic	1	10895	22.91664518159399
172c9864-c26d-4e9b-947a-e8ce761e996d	CSMD3	False	intronic	9	10895	2.278992958046756
172c9864-c26d-4e9b-947a-e8ce761e996d	IL7R	False	exonic	1	10895	66.38528171168991
172c9864-c26d-4e9b-947a-e8ce761e996d	LRP1B	False	intronic	10	10895	1.6154537525607864
172c9864-c26d-4e9b-947a-e8ce761e996d	PIK3CA	True	exonic	0	10895	0.0
1a391468-fbf3-451a-b88e-a257a26d047f	ARID1B	False	intronic	1	15090	0.5223438921152368
1a391468-fbf3-451a-b88e-a257a26d047f	CSMD3	False	intronic	31	15090	5.702959268013571
1a391468-fbf3-451a-b88e-a257a26d047f	CTNNB1	False	intronic	1	15090	5.8577334185169345
1a391468-fbf3-451a-b88e-a257a26d047f	CTNNB1	False	upstream	1	15090	221.0825746816661
1a391468-fbf3-451a-b88e-a257a26d047f	LRP1B	False	intronic	21	15090	2.464631111401012
1a391468-fbf3-451a-b88e-a257a26d047f	RELA	False	exonic	1	15090	85.75739902314434
1a391468-fbf3-451a-b88e-a257a26d047f	SMAD4	False	intronic	1	15090	3.4582517274111297
1a391468-fbf3-451a-b88e-a257a26d047f	TP53	True	splicing	0	15090	0.0
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	CSMD3	False	intronic	12	8179	36.93646861591999
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	LRP1B	False	intronic	12	8179	23.564022415744883
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	TP53	True	exonic	0	8179	0.0
1d2d355a-8409-4c8a-9f07-ac62885e228d	ARID1B	False	intronic	1	19668	0.3939267016760166
1d2d355a-8409-4c8a-9f07-ac62885e228d	CSMD3	False	intronic	22	19668	3.0522503746967273
1d2d355a-8409-4c8a-9f07-ac62885e228d	LRP1B	False	intronic	39	19668	3.45188356062817
1d2d355a-8409-4c8a-9f07-ac62885e228d	PIK3CA	False	intronic	1	19668	2.0215071947801317
1d2d355a-8409-4c8a-9f07-ac62885e228d	TP53	True	exonic	0	19668	0.0
1f2a8889-4374-4037-bb56-0f20733380e3	ARID1B	False	intronic	1	21405	0.36184183580721896
1f2a8889-4374-4037-bb56-0f20733380e3	CSMD3	False	intronic	18	21405	2.293893962788041
1f2a8889-4374-4037-bb56-0f20733380e3	LRP1B	False	intronic	50	21405	4.065040654336291
1f2a8889-4374-4037-bb56-0f20733380e3	TP53	True	exonic	0	21405	0.0
25f07374-313a-4100-9a60-3d21d2988fca	CSMD3	False	-	1	46407	
25f07374-313a-4100-9a60-3d21d2988fca	CSMD3	False	exonic	1	46407	9.011475142134843
25f07374-313a-4100-9a60-3d21d2988fca	CSMD3	False	intronic	68	46407	6.771022156798835
25f07374-313a-4100-9a60-3d21d2988fca	LRP1B	False	exonic	2	46407	15.099479925855972
25f07374-313a-4100-9a60-3d21d2988fca	LRP1B	False	intronic	94	46407	5.971277185629473
25f07374-313a-4100-9a60-3d21d2988fca	RELA	False	intronic	1	46407	16.394489438609206
25f07374-313a-4100-9a60-3d21d2988fca	TP53	True	exonic	0	46407	0.0
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	ARID1A	False	intronic	2	10456	18.95989862836866
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	ARID1B	False	exonic	1	10456	66.72251815781758
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	CSMD3	False	intronic	10	10456	6.164485432606884
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	ERBB2	False	intronic	1	10456	19.130280674144572
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	IL7R	False	exonic	1	10456	161.60997362701758
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	LRP1B	False	intronic	19	10456	7.472131172292373
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	PIK3CA	False	intronic	1	10456	8.982033016152776
2e66eb75-097c-4ad8-b2b3-9f5849dfd02f	CDH1	True	exonic	0	4159	0.0
2e66eb75-097c-4ad8-b2b3-9f5849dfd02f	CSMD3	False	intronic	5	4159	8.606882262118962
2e66eb75-097c-4ad8-b2b3-9f5849dfd02f	LRP1B	False	intronic	3	4159	3.2945125642059985
2e66eb75-097c-4ad8-b2b3-9f5849dfd02f	SMAD4	True	exonic	0	4159	0.0
30b9ab02-60f2-4974-85a9-874f247ae932	CDH1	False	UTR3	1	9412	504.14056312359975
30b9ab02-60f2-4974-85a9-874f247ae932	CSMD3	False	intronic	13	9412	11.108875146827803
30b9ab02-60f2-4974-85a9-874f247ae932	LRP1B	False	exonic	1	9412	64.7908092796702
30b9ab02-60f2-4974-85a9-874f247ae932	LRP1B	False	intronic	18	9412	9.812807837736926
34a445c2-1eb4-4a9f-8838-cddc2f82aae4	ARID1B	False	intronic	1	16441	0.49815567015319245
34a445c2-1eb4-4a9f-8838-cddc2f82aae4	CSMD3	False	UTR3	1	16441	114.46519302280612
34a445c2-1eb4-4a9f-8838-cddc2f82aae4	CSMD3	False	intronic	32	16441	5.614319339246588
34a445c2-1eb4-4a9f-8838-cddc2f82aae4	LRP1B	False	intronic	11	16441	1.231214932086365
34a445c2-1eb4-4a9f-8838-cddc2f82aae4	TP53	True	exonic	0	16441	0.0
37e5d47b-851b-47de-ba6a-fd2835644011	ARID1B	False	intronic	1	5412	11.183791069166519
37e5d47b-851b-47de-ba6a-fd2835644011	CDH1	True	exonic	0	5412	0.0
37e5d47b-851b-47de-ba6a-fd2835644011	CSMD3	False	intronic	6	5412	23.633190228369997
37e5d47b-851b-47de-ba6a-fd2835644011	LRP1B	False	exonic	1	5412	298.6467352565172
37e5d47b-851b-47de-ba6a-fd2835644011	LRP1B	False	intronic	7	5412	17.589892934873625
388a8875-c3f5-494e-8456-28be8d3626e1	ARID1A	False	intronic	5	117896	26.34302114413883
388a8875-c3f5-494e-8456-28be8d3626e1	ARID1B	False	-	1	117896	
388a8875-c3f5-494e-8456-28be8d3626e1	ARID1B	False	exonic	1	117896	37.08190093361925
388a8875-c3f5-494e-8456-28be8d3626e1	ARID1B	False	intronic	19	117896	18.482381790600652
388a8875-c3f5-494e-8456-28be8d3626e1	CDH1	False	intronic	6	117896	26.34616778716616
388a8875-c3f5-494e-8456-28be8d3626e1	CSMD3	False	exonic	1	117896	31.005372849309026
388a8875-c3f5-494e-8456-28be8d3626e1	CSMD3	False	intronic	81	117896	27.750538197339676
388a8875-c3f5-494e-8456-28be8d3626e1	KMT2D	False	exonic	1	117896	21.201933470620247
388a8875-c3f5-494e-8456-28be8d3626e1	LRP1B	False	UTR3	1	117896	233.5339455847842
388a8875-c3f5-494e-8456-28be8d3626e1	LRP1B	False	intronic	146	117896	31.91047749887049
388a8875-c3f5-494e-8456-28be8d3626e1	PIK3CA	False	intronic	2	117896	9.983761635005083
388a8875-c3f5-494e-8456-28be8d3626e1	SMAD4	False	intronic	2	117896	12.880550174911999
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c	ARID1A	False	intronic	1	30458	1.9162014513397225
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c	CSMD3	False	intronic	53	30458	6.604011938097932
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c	LRP1B	False	intronic	52	30458	4.133608859830468
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c	TP53	True	exonic	0	30458	0.0
429aad6f-816d-4739-baa3-b0ebf2fcd501	CSMD3	False	intronic	18	17169	6.706269782150958
429aad6f-816d-4739-baa3-b0ebf2fcd501	IL7R	False	intronic	1	17169	24.344199295734935
429aad6f-816d-4739-baa3-b0ebf2fcd501	KMT2D	False	exonic	1	17169	23.05672348973464
429aad6f-816d-4739-baa3-b0ebf2fcd501	LRP1B	False	intronic	11	17169	2.6145397930497594
4dc9b032-7f7b-486d-a12b-8461af89501d	CSMD3	False	intronic	11	7504	8.677338271969147
4dc9b032-7f7b-486d-a12b-8461af89501d	LRP1B	False	intronic	8	7504	4.026038147252699
4dc9b032-7f7b-486d-a12b-8461af89501d	RELA	True	exonic	0	7504	0.0
4dc9b032-7f7b-486d-a12b-8461af89501d	TP53	True	exonic	0	7504	0.0
576a1741-8c65-40da-9f0f-b2ca805d70f3	ARID1B	False	intronic	1	11870	1.6381709461218992
576a1741-8c65-40da-9f0f-b2ca805d70f3	CDH1	False	intronic	2	11870	14.789417924086855
576a1741-8c65-40da-9f0f-b2ca805d70f3	CSMD3	False	intronic	21	11870	12.116036391325885
576a1741-8c65-40da-9f0f-b2ca805d70f3	LRP1B	False	intronic	26	11870	9.569928169137121
576a1741-8c65-40da-9f0f-b2ca805d70f3	TP53	True	exonic	0	11870	0.0
5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7	CDH1	True	exonic	0	12733	0.0
5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7	CSMD3	False	intronic	10	12733	10.770198788806908
5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7	IL7R	False	intronic	1	12733	70.37375079079298
5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7	LRP1B	False	intronic	20	12733	13.741931223608564
5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7	PIK3CA	True	exonic	0	12733	0.0
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	ARID1A	False	intronic	1	18596	10.201523586482821
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	CDH1	False	upstream	1	18596	797.2082621892866
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	CSMD3	False	intronic	34	18596	22.554581353467007
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	CTNNB1	True	exonic	0	18596	0.0
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	LRP1B	False	intronic	45	18596	19.04418636423946
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	PIK3CA	False	intronic	1	18596	9.66570797290534
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	SMAD4	False	intronic	1	18596	12.470213239520195
61cad26a-cbc6-4977-83b9-dc61e49f2861	ARID1B	False	intronic	1	10411	1.3833092929585926
61cad26a-cbc6-4977-83b9-dc61e49f2861	CSMD3	False	-	1	10411	
61cad26a-cbc6-4977-83b9-dc61e49f2861	CSMD3	False	intronic	14	10411	6.820706867669568
61cad26a-cbc6-4977-83b9-dc61e49f2861	LRP1B	False	intronic	9	10411	2.7972927181114606
61cad26a-cbc6-4977-83b9-dc61e49f2861	PIK3CA	False	intronic	1	10411	7.098705613060661
61cad26a-cbc6-4977-83b9-dc61e49f2861	TP53	True	exonic	0	10411	0.0
622eaa04-b8f9-471b-98b0-7befd119f14c	ARID1A	False	ncRNA	1	13006	247004.515445156
622eaa04-b8f9-471b-98b0-7befd119f14c	ARID1B	False	intronic	2	13006	1.167177468902169
622eaa04-b8f9-471b-98b0-7befd119f14c	CSMD3	False	intronic	20	13006	4.1107299814880065
622eaa04-b8f9-471b-98b0-7befd119f14c	LRP1B	False	intronic	19	13006	2.4913607122082215
622eaa04-b8f9-471b-98b0-7befd119f14c	PIK3CA	False	upstream	1	13006	247.004515445156
622eaa04-b8f9-471b-98b0-7befd119f14c	TP53	False	intronic	1	13006	14.91483095496383
65be412d-46c3-4cbf-9b46-b35351e53065	CSMD3	False	intronic	14	12996	3.380191369538451
65be412d-46c3-4cbf-9b46-b35351e53065	CTNNB1	True	exonic	0	12996	0.0
65be412d-46c3-4cbf-9b46-b35351e53065	CTNNB1	True	intronic	1	12996	7.687839010915618
65be412d-46c3-4cbf-9b46-b35351e53065	IL7R	False	intronic	1	12996	15.776121136906113
65be412d-46c3-4cbf-9b46-b35351e53065	LRP1B	False	UTR3	1	12996	164.57993190582943
65be412d-46c3-4cbf-9b46-b35351e53065	LRP1B	False	exonic	1	12996	18.306272552049037
65be412d-46c3-4cbf-9b46-b35351e53065	LRP1B	False	intronic	29	12996	4.466890500274634
65be412d-46c3-4cbf-9b46-b35351e53065	RELA	True	exonic	0	12996	0.0
65be412d-46c3-4cbf-9b46-b35351e53065	TP53	True	exonic	0	12996	0.0
68509ede-3dcf-4a6e-9af0-4a9bb4dfa567	ARID1B	False	exonic	1	14448	37.84173036722229
68509ede-3dcf-4a6e-9af0-4a9bb4dfa567	CSMD3	False	intronic	8	14448	2.7969543360652978
68509ede-3dcf-4a6e-9af0-4a9bb4dfa567	LRP1B	False	intronic	24	14448	5.353042438045964
6a7cdaf6-211e-4eb8-a70e-1153d69c45e4	ARID1B	False	intronic	1	6804	1.2213677895992052
6a7cdaf6-211e-4eb8-a70e-1153d69c45e4	CSMD3	False	intronic	9	6804	3.8714265759999984
6a7cdaf6-211e-4eb8-a70e-1153d69c45e4	LRP1B	False	exonic	1	6804	32.61483522496234
6a7cdaf6-211e-4eb8-a70e-1153d69c45e4	LRP1B	False	intronic	9	6804	2.4698187465180395
6a7cdaf6-211e-4eb8-a70e-1153d69c45e4	TP53	True	exonic	0	6804	0.0
6dac8ca0-f776-4ea2-85c4-aefba4966be7	CSMD3	False	-	1	30583	
6dac8ca0-f776-4ea2-85c4-aefba4966be7	CSMD3	False	intronic	32	30583	3.017061065435355
6dac8ca0-f776-4ea2-85c4-aefba4966be7	LRP1B	False	exonic	1	30583	7.1485966496298605
6dac8ca0-f776-4ea2-85c4-aefba4966be7	LRP1B	False	intronic	48	30583	2.8871504466840494
6dbac113-d4cf-4db5-97c9-50fa400bb47e	ARID1A	False	exonic	1	11874	41.93762631809898
6dbac113-d4cf-4db5-97c9-50fa400bb47e	ARID1B	False	intronic	1	11874	0.851631533544069
6dbac113-d4cf-4db5-97c9-50fa400bb47e	CSMD3	False	exonic	1	11874	27.144656841935443
6dbac113-d4cf-4db5-97c9-50fa400bb47e	CSMD3	False	intronic	10	11874	2.999395868576047
6dbac113-d4cf-4db5-97c9-50fa400bb47e	LRP1B	False	intronic	21	11874	4.018344245441671
6dbac113-d4cf-4db5-97c9-50fa400bb47e	TP53	True	exonic	0	11874	0.0
7116cc90-f465-4e7e-aa27-48a83ed258e9	ARID1B	False	intronic	1	28950	0.39209672223349123
7116cc90-f465-4e7e-aa27-48a83ed258e9	CSMD3	False	intronic	56	28950	7.733272145982046
7116cc90-f465-4e7e-aa27-48a83ed258e9	CTNNB1	True	exonic	0	28950	0.0
7116cc90-f465-4e7e-aa27-48a83ed258e9	ERBB2	True	exonic	0	28950	0.0
7116cc90-f465-4e7e-aa27-48a83ed258e9	LRP1B	False	intronic	49	28950	4.316834537665586
7116cc90-f465-4e7e-aa27-48a83ed258e9	PIK3CA	True	exonic	0	28950	0.0
7116cc90-f465-4e7e-aa27-48a83ed258e9	SMAD4	False	-	1	28950	
7b482f46-adcc-48ae-a4d6-17f4edd998dc	ARID1B	False	intronic	1	10343	5.095762997929469
7b482f46-adcc-48ae-a4d6-17f4edd998dc	CSMD3	False	intronic	22	10343	39.483346657185706
7b482f46-adcc-48ae-a4d6-17f4edd998dc	LRP1B	False	intronic	18	10343	20.60904354490824
7e036d40-b669-4929-a1e2-c4736e01a473	ARID1B	False	intronic	3	25243	1.9668470757209682
7e036d40-b669-4929-a1e2-c4736e01a473	CSMD3	False	intronic	36	25243	8.31254282258173
7e036d40-b669-4929-a1e2-c4736e01a473	ERBB2	False	intronic	1	25243	7.165655189550037
7e036d40-b669-4929-a1e2-c4736e01a473	IL7R	False	UTR3	1	25243	89.02470234691216
7e036d40-b669-4929-a1e2-c4736e01a473	IL7R	False	intronic	1	25243	15.087537908619245
7e036d40-b669-4929-a1e2-c4736e01a473	LRP1B	False	exonic	1	25243	17.507255344815466
7e036d40-b669-4929-a1e2-c4736e01a473	LRP1B	False	intronic	35	25243	5.15576952204566
7e036d40-b669-4929-a1e2-c4736e01a473	PIK3CA	True	exonic	0	25243	0.0
7e036d40-b669-4929-a1e2-c4736e01a473	TP53	True	exonic	0	25243	0.0
7e305f31-fbb0-4bce-894b-1dd85e303421	ARID1A	True	UTR3	1	208392	94.51311693522764
7e305f31-fbb0-4bce-894b-1dd85e303421	ARID1A	True	exonic	0	208392	0.0
7e305f31-fbb0-4bce-894b-1dd85e303421	ARID1A	True	intronic	1	208392	1.6303288924409038
7e305f31-fbb0-4bce-894b-1dd85e303421	ARID1B	False	intronic	33	208392	9.9334000244457
7e305f31-fbb0-4bce-894b-1dd85e303421	CDH1	False	intronic	1	208392	1.3587696944316248
7e305f31-fbb0-4bce-894b-1dd85e303421	CSMD3	False	-	2	208392	
7e305f31-fbb0-4bce-894b-1dd85e303421	CSMD3	False	intronic	156	208392	16.538291360614394
7e305f31-fbb0-4bce-894b-1dd85e303421	CTNNB1	False	-	1	208392	
7e305f31-fbb0-4bce-894b-1dd85e303421	CTNNB1	False	intronic	7	208392	23.629531328514865
7e305f31-fbb0-4bce-894b-1dd85e303421	ERBB2	False	intronic	2	208392	6.5799189995448355
7e305f31-fbb0-4bce-894b-1dd85e303421	IL7R	False	intronic	1	208392	6.927124925439695
7e305f31-fbb0-4bce-894b-1dd85e303421	KMT2D	True	exonic	1	208392	6.560774583072603
7e305f31-fbb0-4bce-894b-1dd85e303421	LRP1B	False	exonic	1	208392	8.038087169002326
7e305f31-fbb0-4bce-894b-1dd85e303421	LRP1B	False	intronic	208	208392	14.067710781702221
7e305f31-fbb0-4bce-894b-1dd85e303421	LRP1B	False	upstream	1	208392	127.40368162868688
7e305f31-fbb0-4bce-894b-1dd85e303421	PIK3CA	True	exonic	0	208392	0.0
7e305f31-fbb0-4bce-894b-1dd85e303421	PIK3CA	True	intronic	4	208392	6.178795879079845
7e305f31-fbb0-4bce-894b-1dd85e303421	SMAD4	False	UTR3	1	208392	19.3799333174151
7e305f31-fbb0-4bce-894b-1dd85e303421	SMAD4	False	intronic	5	208392	9.96446695777244
7e305f31-fbb0-4bce-894b-1dd85e303421	SMAD4	False	upstream	1	208392	127.40368162868688
7e305f31-fbb0-4bce-894b-1dd85e303421	TP53	False	intronic	1	208392	7.6929944827417955
