Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
13642cf8-9840-4a7d-a26a-95f65b2c70c3	BRAF	True	exonic	0	2612	0.0
13642cf8-9840-4a7d-a26a-95f65b2c70c3	TERT	True	upstream	0	2612	0.0
13642cf8-9840-4a7d-a26a-95f65b2c70c3	USP9X	False	intronic	1	2612	118.7076568432032
178d0486-cb0d-4979-8bdf-bb3fe99149bd	BRAF	False	intronic	1	1246	2666.8054455189426
1924d200-6929-4eef-8a7f-317f8fbab915	BRAF	True	exonic	0	3170	0.0
1924d200-6929-4eef-8a7f-317f8fbab915	TERT	True	UTR5	0	3170	0.0
1924d200-6929-4eef-8a7f-317f8fbab915	TERT	True	upstream	0	3170	0.0
248fd0ed-f14c-40b8-9f14-e9c7adf16e22	BRAF	False	intronic	1	1076	2692.813057848071
2dd5eea1-42a1-4e8b-99ac-20399cc7e15c	TERT	True	upstream	0	1970	0.0
473fe833-fcc6-485e-93d2-95e662c3ef53	BRAF	True	exonic	0	612	0.0
546b97b0-ab82-42a1-bbd2-241523278ec3	BRAF	True	exonic	0	861	0.0
546b97b0-ab82-42a1-bbd2-241523278ec3	BRAF	True	intronic	1	861	3772.3483183185554
5c02d399-07af-4573-a568-bc1b256bc8f8	NRAS	True	exonic	0	1778	0.0
5c02d399-07af-4573-a568-bc1b256bc8f8	TERT	True	upstream	0	1778	0.0
5deeaa45-4c1b-4ab2-a487-93c548838f68	USP9X	False	intronic	1	1433	4582.4829906025325
62fceb56-8c6e-4d20-9d2f-5b7042854d23	USP9X	False	intronic	1	2251	2225.532597443575
63ea274b-d42b-4787-9c54-8ee95ea376ec	BRAF	True	exonic	0	2932	0.0
63ea274b-d42b-4787-9c54-8ee95ea376ec	BRAF	True	intronic	1	2932	1579.3446934314466
63ea274b-d42b-4787-9c54-8ee95ea376ec	TERT	True	upstream	0	2932	0.0
64c2e6a0-2341-49c4-a6dd-656e7bb505dd	TERT	True	upstream	0	2238	0.0
66eb4833-1b87-4fd9-a53d-26dc7ad6de29	NRAS	True	exonic	0	2688	0.0
66eb4833-1b87-4fd9-a53d-26dc7ad6de29	TERT	True	intronic	1	2688	173.84224699678848
66eb4833-1b87-4fd9-a53d-26dc7ad6de29	TERT	True	upstream	0	2688	0.0
