Tumor_Sample_Barcode	gene	has_driver	genic_region	passenger_density	total_mutations	adj_passenger_density
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	CSMD3	False	intronic	6	7829	8.44180867829781
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	FBXW7	True	exonic	0	7829	0.0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	PPP2R1A	True	exonic	0	7829	0.0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	TP53	True	exonic	0	7829	0.0
0385961e-ea99-40b2-ad79-6872bc30d8a1	ARID1A	True	exonic	0	3583	0.0
0385961e-ea99-40b2-ad79-6872bc30d8a1	CSMD3	False	intronic	3	3583	30.30549173359621
0385961e-ea99-40b2-ad79-6872bc30d8a1	CTNNB1	True	exonic	0	3583	0.0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	AKAP9	False	exonic	1	38172	7.088951670167734
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	AKAP9	False	intronic	5	38172	2.810172885009299
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	ARHGAP35	True	exonic	0	38172	0.0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	ARID1A	False	intronic	4	38172	4.527001307143688
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	CSMD3	False	intronic	17	38172	1.2510952212632485
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	CTNNB1	False	intronic	1	38172	2.34332470555383
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	FBXW7	False	intronic	3	38172	1.2636944328016668
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	PIK3R1	False	intronic	1	38172	1.1182278772175425
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	TP53	True	exonic	0	38172	0.0
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	AKAP9	False	exonic	1	6272	159.55020089725062
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	CSMD3	False	intronic	8	6272	13.250942539163798
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	PIK3CA	True	exonic	0	6272	0.0
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	TP53	True	exonic	0	6272	0.0
15d597de-d26c-4ce1-b0cb-077e39b55f30	CHD4	False	exonic	1	7323	68.84868387540227
15d597de-d26c-4ce1-b0cb-077e39b55f30	CSMD3	False	intronic	7	7323	2.606700297756867
15d597de-d26c-4ce1-b0cb-077e39b55f30	FBXW7	False	intronic	1	7323	2.131436679320417
15d597de-d26c-4ce1-b0cb-077e39b55f30	PPP2R1A	True	exonic	0	7323	0.0
15d597de-d26c-4ce1-b0cb-077e39b55f30	TP53	True	exonic	0	7323	0.0
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	CSMD3	False	intronic	7	4566	25.010359629486853
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	PIK3CA	True	exonic	0	4566	0.0
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	PIK3R1	True	exonic	0	4566	0.0
19def402-fb8d-4b27-90dd-ce9135a3c0a2	ARHGAP35	False	intronic	1	4537	119.01656915897682
19def402-fb8d-4b27-90dd-ce9135a3c0a2	ARID1A	True	exonic	0	4537	0.0
19def402-fb8d-4b27-90dd-ce9135a3c0a2	CSMD3	False	intronic	6	4537	46.05929490729692
19def402-fb8d-4b27-90dd-ce9135a3c0a2	CTNNB1	True	exonic	0	4537	0.0
19def402-fb8d-4b27-90dd-ce9135a3c0a2	PIK3CA	True	exonic	0	4537	0.0
