driver_status	type	adj_splicing_density
Drivers	TSG	1.9141930702124057
Passengers in absence of driver	TSG	2.1258695480197036
Drivers	TSG	7.683300500029197
Passengers in absence of driver	TSG	1.4576498073647908
Passengers in absence of driver	TSG	2.3496287941886536
Passengers in absence of driver	TSG	2.267538789673564
Passengers in absence of driver	OG	3.098946515069044
Passengers in absence of driver	OG	1.224915656126211
Passengers in absence of driver	TSG	1.1346599428477175
Drivers	OG	4.824016639396174
Drivers	TSG	84.5095812605708
Drivers	TSG	32.86001561466867
Drivers	OG	38.59246339360126
Drivers	TSG	4.891980671631492
Drivers	TSG	176.79435915497822
Drivers	TSG	12.648128857555784
Passengers in absence of driver	TSG	9.328679779729464
Passengers in absence of driver	TSG	3.935667190536767
Passengers in absence of driver	TSG	0.8632757602223332
Drivers	OG	3.5058734489506413
Passengers in presence of driver	OG	3.5058734489506413
Drivers	TSG	3.890141282053828
Passengers in presence of driver	TSG	3.890141282053828
Passengers in absence of driver	TSG	3.706285114126966
Drivers	TSG	48.76675282735917
Passengers in absence of driver	TSG	1.2002589091995948
Passengers in absence of driver	TSG	2.9638508393680225
Passengers in absence of driver	TSG	2.34796883659653
Passengers in absence of driver	TSG	1.975709717958973
Drivers	TSG	0.193983068839377
Passengers in presence of driver	TSG	0.775932275357508
Drivers	TSG	0.09178073420536507
Passengers in presence of driver	TSG	0.7342458736429206
Passengers in absence of driver	TSG	0.6889873310542562
Drivers	OG	0.2916009246003385
Passengers in presence of driver	OG	1.166403698401354
Drivers	OG	0.29260272816821964
Passengers in presence of driver	OG	0.5852054563364393
Passengers in absence of driver	TSG	0.3450284464503467
Passengers in absence of driver	TSG	0.5223912837133704
Drivers	OG	6.283687684227414
Passengers in presence of driver	OG	6.283687684227414
Drivers	OG	120.98326120966627
Passengers in presence of driver	OG	1572.7823957256614
Passengers in absence of driver	TSG	9.730796540623983
Drivers	TSG	28.155848251240265
Passengers in absence of driver	TSG	1.4205865105508955
Passengers in absence of driver	OG	4.285039665520838
Drivers	TSG	3.8409156036070526
Drivers	TSG	48.14966045987951
Passengers in absence of driver	TSG	1.340329666546553
Passengers in absence of driver	TSG	2.1605169927038044
Passengers in absence of driver	TSG	1.0425170347804742
Passengers in absence of driver	TSG	0.9785810800086298
Passengers in absence of driver	TSG	1.0853275708727759
Passengers in absence of driver	OG	2.3384062330855357
Passengers in absence of driver	OG	3.777989397524934
Passengers in absence of driver	TSG	1.9969782237244271
Drivers	TSG	26.275944898785184
Drivers	TSG	1.9024815586576718
Drivers	TSG	10.929959032737427
Drivers	TSG	15.867109782152516
Passengers in absence of driver	TSG	1.945061111887231
Drivers	OG	1.5213473752174718
Passengers in absence of driver	TSG	2.571882070475529
Passengers in absence of driver	TSG	0.608809532101256
Drivers	TSG	5.432202312597169
Drivers	TSG	11.330130239422223
Passengers in absence of driver	TSG	1.2833094795911286
Passengers in absence of driver	TSG	1.8299528189402658
Passengers in absence of driver	OG	2.477224272308519
Drivers	TSG	2.7487450836246077
Drivers	TSG	2.618833673976214
Drivers	TSG	34.45822718494396
Passengers in absence of driver	TSG	0.5091749494346631
Passengers in absence of driver	OG	0.31420337504697343
Passengers in absence of driver	OG	0.5925119003719206
Drivers	TSG	1.7798241008740228
Drivers	TSG	2.8980870307127673
Passengers in absence of driver	TSG	2.1417656592776235
Passengers in absence of driver	TSG	1.0599320450007716
Drivers	TSG	3.311450852170832
