pos	score	driver_status	count	gene	splice_gene
0	-0.7400000095367432	Passengers in absence of driver	1	EGFR	ELDR
2	-0.8899999856948853	Passengers in absence of driver	1	KEAP1	KEAP1
-1	-0.8299999833106995	Passengers in absence of driver	1	MET	MET
-41	-0.36000001430511475	Passengers in absence of driver	1	NBEA	NBEA
9	0.15000000596046448	Passengers in absence of driver	1	NBEA	NBEA
-5	-0.8199999928474426	Passengers in absence of driver	1	RBM10	RBM10
31	0.25	Passengers in absence of driver	1	RBM10	RBM10
32	-0.1599999964237213	Drivers	1	RBM10	RBM10
-1	-0.8799999952316284	Drivers	1	STK11	STK11
15	0.6000000238418579	Drivers	1	STK11	STK11
1	-0.8299999833106995	Drivers	1	STK11	STK11
1	-0.8700000047683716	Drivers	1	STK11	STK11
2	-0.8899999856948853	Drivers	1	STK11	STK11
36	0.6600000262260437	Drivers	1	STK11	STK11
-23	0.7599999904632568	Drivers	1	TP53	TP53
-2	-0.8899999856948853	Drivers	1	TP53	TP53
-5	0.5799999833106995	Drivers	1	TP53	TP53
0	-0.7900000214576721	Drivers	1	TP53	TP53
14	-0.47999998927116394	Drivers	1	TP53	TP53
1	0.18000000715255737	Drivers	1	TP53	TP53
