pos	score	driver_status	count	gene	splice_gene
0	-0.20999999344348907	Drivers	1	CIC	CIC
-9	-0.5699999928474426	Drivers	1	FUBP1	FUBP1
0	-0.7400000095367432	Drivers	1	FUBP1	FUBP1
0	0.7900000214576721	Passengers in absence of driver	1	FUBP1	FUBP1
1	0.8199999928474426	Drivers	1	FUBP1	FUBP1
4	-0.5	Passengers in absence of driver	1	FUBP1	FUBP1
-20	-0.4099999964237213	Drivers	1	IDH1	IDH1
34	0.4300000071525574	Drivers	1	IDH1	IDH1
-35	-0.6000000238418579	Drivers	1	TP53	TP53
1	-0.7799999713897705	Drivers	1	TP53	TP53
