pos	score	driver_status	count	gene	splice_gene
3	0.3199999928474426	Passengers in absence of driver	1	APC	APC
-1	-0.8100000023841858	Drivers	1	ARID1A	ARID1A
-1	-0.8899999856948853	Drivers	1	ARID1A	ARID1A
-8	0.15000000596046448	Drivers	1	ARID1A	ARID1A
-17	0.2800000011920929	Passengers in absence of driver	1	LRP1B	LRP1B
-1	0.1899999976158142	Passengers in absence of driver	1	LRP1B	LRP1B
-1	0.23999999463558197	Passengers in absence of driver	1	LRP1B	LRP1B
-1	0.7599999904632568	Passengers in absence of driver	2	LRP1B	LRP1B
-23	0.18000000715255737	Passengers in absence of driver	1	LRP1B	LRP1B
-24	0.1599999964237213	Passengers in absence of driver	1	LRP1B	LRP1B
-25	0.20999999344348907	Passengers in absence of driver	1	LRP1B	LRP1B
-30	0.15000000596046448	Passengers in absence of driver	1	LRP1B	LRP1B
-42	0.18000000715255737	Passengers in absence of driver	1	LRP1B	LRP1B
-45	0.14000000059604645	Passengers in absence of driver	1	LRP1B	LRP1B
-45	0.15000000596046448	Passengers in absence of driver	1	LRP1B	LRP1B
-5	-0.3400000035762787	Passengers in absence of driver	1	LRP1B	LRP1B
-8	-0.4399999976158142	Passengers in absence of driver	1	LRP1B	LRP1B
-8	0.18000000715255737	Passengers in absence of driver	1	LRP1B	LRP1B
0	0.5400000214576721	Passengers in absence of driver	1	LRP1B	LRP1B
0	0.7300000190734863	Passengers in absence of driver	1	LRP1B	LRP1B
14	0.23000000417232513	Passengers in absence of driver	1	LRP1B	LRP1B
1	-0.8600000143051147	Passengers in absence of driver	1	LRP1B	LRP1B
1	0.17000000178813934	Passengers in absence of driver	1	LRP1B	LRP1B
1	0.3799999952316284	Passengers in absence of driver	1	LRP1B	LRP1B
22	0.1899999976158142	Passengers in absence of driver	1	LRP1B	LRP1B
25	0.1899999976158142	Passengers in absence of driver	1	LRP1B	LRP1B
29	0.18000000715255737	Passengers in absence of driver	1	LRP1B	LRP1B
2	0.14000000059604645	Passengers in absence of driver	1	LRP1B	LRP1B
34	0.14000000059604645	Passengers in absence of driver	1	LRP1B	LRP1B
35	0.14000000059604645	Passengers in absence of driver	1	LRP1B	LRP1B
39	0.23999999463558197	Passengers in absence of driver	1	LRP1B	LRP1B
3	0.14000000059604645	Passengers in absence of driver	1	LRP1B	LRP1B
3	0.6800000071525574	Passengers in absence of driver	1	LRP1B	LRP1B
4	-0.3700000047683716	Passengers in absence of driver	1	LRP1B	LRP1B
5	0.7599999904632568	Passengers in absence of driver	1	LRP1B	LRP1B
6	0.20000000298023224	Passengers in absence of driver	1	LRP1B	LRP1B
