HGNC ID	Approved symbol	Approved name	Previous symbols	Alias symbols	Accession numbers	RefSeq IDs
HGNC:5	A1BG	alpha-1-B glycoprotein				NM_130786
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	BC040926	NR_015380
HGNC:24086	A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF	AF271790	NM_014576
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)				
HGNC:7	A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5	BX647329, X68728, M11313	NM_000014
HGNC:27057	A2M-AS1	A2M antisense RNA 1				NR_026971
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179, p170	AK057908	NM_144670
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1				
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2				
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		M24415	NG_001067
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)				
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)				
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S, IGB3S		NM_001080438
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	P1	A14GALT, Gb3S, P(k)		NM_017436
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT	AF141315	NM_016161
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C				
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A				
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B				
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17				
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	AA			
HGNC:13666	AAAS	aladin WD repeat nucleoporin			AJ289841	
HGNC:12	AABT	amino acid transport, beta				
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)				
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)				
HGNC:21298	AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	AK022451	NM_023928
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL			NR_024035
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)				
HGNC:17	AADAC	arylacetamide deacetylase		DAC, CES5A1	L32179	NM_001086
HGNC:24427	AADACL2	arylacetamide deacetylase like 2		MGC72001	BC065724	NM_207365
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1				
HGNC:32037	AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887		NM_001103170
HGNC:32038	AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889		NM_001013630
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1				
HGNC:17929	AADAT	aminoadipate aminotransferase		KATII, KAT2, KYAT2	AF097994	NM_016228
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein		FLJ11506, p34	AL136715	NM_024666
HGNC:19679	AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132	AB028971	NM_014911
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067	BC016854	NM_024684
HGNC:18	AAMP	angio associated migratory cell protein			AB209790	NM_001087
HGNC:19	AANAT	aralkylamine N-acetyltransferase		SNAT	U40347	NM_001088
HGNC:15886	AAR2	AAR2 splicing factor	C20orf4	bA234K24.2		NM_015511
HGNC:33842	AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	AB181519, BC140924	NM_001025357
HGNC:20	AARS1	alanyl-tRNA synthetase 1	AARS	CMT2N, AlaRS	D32050	NM_001605
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	AARSP1			
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	AB033096	NM_020745
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744, AlaXp	BC004172	NM_001261434
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1				
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	AF516672	NM_181806
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT, ACPS	AF302110	NM_015423
HGNC:58262	AASDHPPT-AS1	AASDHPPT antisense RNA 1				
HGNC:17366	AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH, LKR/SDH	AF229180	NM_005763
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer				NR_026961
HGNC:19235	AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2	AF083208	NM_012138
HGNC:21	AATK	apoptosis associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	AB014541	NM_004920
HGNC:22	AAVS1	adeno-associated virus integration site 1		AAV	S51329	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	KC505631	NR_131907
HGNC:23	ABAT	4-aminobutyrate aminotransferase		GABAT, GABA-T	L32961	NM_020686
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)				
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)				
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)				
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)				
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)				
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	TGD	AJ012376	NM_005502
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	ABC2		U18235	NM_001606
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C, EST111653, LBM180	U78735	NM_001089
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1				NG_022511
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	U88667	NM_000350
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5		EST90625	U66672	NM_018672
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6		EST155051	U66680	NM_080284
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7		ABCX	AF328787	NM_019112
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	AB020629	NM_007168
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9		EST640918	AF423307	NM_172386
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1				
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10		EST698739	AY247065	NM_080282
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	EST1133530, FLJ14297	AK024359	NR_002451.2
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232, LI2	AF418105	NM_173076
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13		FLJ33876, FLJ33951	AY204751	NM_152701
HGNC:34405	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	NCRNA00169, CRYM-AS1	FLJ41766		NR_026675
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene			DQ266102	NR_003574
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	M14758	NM_000927
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)				
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)				
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1	M23234	NM_000443
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5		EST422562, ABCB5beta, ABCB5alpha	U66692	NM_178559
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)		EST45597, umat, MTABC3	AF070598	NM_005689
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535, Atm1p, ASAT	AF038950	NM_004299
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8		EST328128, M-ABC1, MABC1, MITOSUR	AF047690	NM_007188
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9		EST122234	U66676	NM_019624
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10		EST20237, M-ABC2, MTABC2	U18237	NM_012089
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2	AF218417	NG_005041
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)				
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3				NG_022122
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4				NG_022102
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	AF091582	NM_003742
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	MRP, MRP1	GS-X	L05628	NM_004996
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS, MRP2, cMRP	U63970	NM_000392
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	Y17151	NM_020038
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)		MRP4, EST170205, MOAT-B, MOATB	U66682	NM_005845
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5		MRP5, SMRP, EST277145, MOAT-C	AF104942	NM_005688
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1				
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7	AF076622	
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			BC075833	NR_003569
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2				NR_023387
HGNC:58	ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)				
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	L78207	NM_000352
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O	AF061323	NM_005691
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7	U66684	NM_033450
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11		MRP8	AF367202	NM_032583
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12		MRP9	AY040220	NM_033226
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6, C21orf73, ABCC13P	AF418600	
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy	Z21876	NM_000033
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			U90290	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6	U90288	
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			U90289	
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			U90291	
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5				
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP	U28150	NM_005164
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2	M81182	NM_002858
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188	AF009746	NM_005050
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	X74987	NM_002940
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	AF027302	
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript				
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18	AJ005016	NM_005692
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ABCF2-H2BE1			
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1				
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2				
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3		EST201864	U66685	NM_018358
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1		ABC8	U34919	NM_207174
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)		EST157481, MXR, BCRP, ABCP, CD338	AF103796	NM_004827
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4		WHITE2	AJ300465	NM_022169
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5		STSL	T93792	NM_022436
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8		GBD4	AF320294	NM_022437
HGNC:75	ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)				
HGNC:17553	ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128	AK093447	NM_032604
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase		LABH2	X12433	
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase		LABH3	AK024880	
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B		FLJ12816	AK022878	
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase		CGI-58, NCIE2	AF007132	NM_016006
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase			AF225418	NM_020676
HGNC:23759	ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512	AK021805	NM_024527
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase		FLJ11342	AL713726	NM_018394
HGNC:16407	ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	AF217971	
HGNC:40012	ABHD11-AS2	ABHD11 antisense RNA 2				
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	AL117442	NM_015600
