pos	score	driver_status	count	gene	splice_gene
-4	0.20999999344348907	Passengers in absence of driver	1	ARID1A	ARID1A
-19	-0.36000001430511475	Drivers	1	ARID2	ARID2
0	-0.4099999964237213	Drivers	1	ARID2	ARID2
0	-0.7300000190734863	Drivers	1	ARID2	ARID2
11	-0.1899999976158142	Drivers	1	ARID2	ARID2
14	0.27000001072883606	Passengers in absence of driver	1	ARID2	ARID2
1	-0.8799999952316284	Drivers	1	ARID2	ARID2
2	-0.8600000143051147	Drivers	1	ARID2	ARID2
2	0.5099999904632568	Passengers in absence of driver	1	ARID2	ARID2
-1	-0.8600000143051147	Drivers	1	AXIN1	AXIN1
-1	-0.8600000143051147	Drivers	1	AXIN1	AXIN1
-22	0.49000000953674316	Drivers	1	AXIN1	AXIN1
-2	0.7699999809265137	Drivers	1	AXIN1	AXIN1
-3	0.15000000596046448	Drivers	1	AXIN1	AXIN1
-5	0.3400000035762787	Drivers	1	AXIN1	AXIN1
1	-0.8199999928474426	Drivers	1	AXIN1	AXIN1
1	-0.8899999856948853	Drivers	1	AXIN1	AXIN1
2	-0.7900000214576721	Drivers	1	AXIN1	AXIN1
5	0.7799999713897705	Passengers in absence of driver	2	AXIN1	AXIN1
-12	0.25	Passengers in absence of driver	1	CSMD3	CSMD3
-12	0.27000001072883606	Passengers in absence of driver	1	CSMD3	CSMD3
-16	0.23000000417232513	Passengers in absence of driver	1	CSMD3	CSMD3
-17	0.20000000298023224	Passengers in absence of driver	1	CSMD3	CSMD3
-1	0.17000000178813934	Passengers in absence of driver	1	CSMD3	CSMD3
-1	0.6100000143051147	Passengers in absence of driver	1	CSMD3	CSMD3
-1	0.7799999713897705	Passengers in absence of driver	1	CSMD3	CSMD3
-21	0.14000000059604645	Passengers in absence of driver	1	CSMD3	CSMD3
-23	-0.20999999344348907	Passengers in absence of driver	1	CSMD3	CSMD3
-2	0.2199999988079071	Passengers in absence of driver	1	CSMD3	CSMD3
-3	0.3799999952316284	Passengers in absence of driver	1	CSMD3	CSMD3
-5	0.7099999785423279	Passengers in absence of driver	1	CSMD3	CSMD3
-6	0.3400000035762787	Passengers in absence of driver	1	CSMD3	CSMD3
-7	-0.7799999713897705	Passengers in absence of driver	1	CSMD3	CSMD3
-9	0.3199999928474426	Passengers in absence of driver	1	CSMD3	CSMD3
0	-0.1599999964237213	Passengers in absence of driver	1	CSMD3	CSMD3
0	0.47999998927116394	Passengers in absence of driver	1	CSMD3	CSMD3
12	0.33000001311302185	Passengers in absence of driver	1	CSMD3	CSMD3
15	0.15000000596046448	Passengers in absence of driver	1	CSMD3	CSMD3
2	0.14000000059604645	Passengers in absence of driver	1	CSMD3	CSMD3
2	0.15000000596046448	Passengers in absence of driver	1	CSMD3	CSMD3
2	0.1899999976158142	Passengers in absence of driver	1	CSMD3	CSMD3
2	0.20000000298023224	Passengers in absence of driver	1	CSMD3	CSMD3
4	0.17000000178813934	Passengers in absence of driver	1	CSMD3	CSMD3
5	-0.1899999976158142	Passengers in absence of driver	1	CSMD3	CSMD3
9	0.20999999344348907	Passengers in absence of driver	1	CSMD3	CSMD3
-5	0.6100000143051147	Passengers in presence of driver	1	CTNNB1	CTNNB1
-13	0.14000000059604645	Passengers in absence of driver	1	RB1	LPAR6
50	0.25999999046325684	Passengers in absence of driver	1	NFE2L2	NFE2L2
-2	0.33000001311302185	Passengers in absence of driver	1	RANBP2	RANBP2
2	0.20000000298023224	Passengers in absence of driver	1	RANBP2	RANBP2
-30	-0.33000001311302185	Drivers	1	RB1	RB1
-9	-0.17000000178813934	Drivers	1	RB1	RB1
19	-0.28999999165534973	Drivers	1	RB1	RB1
19	-0.3100000023841858	Drivers	1	RB1	RB1
1	-0.8700000047683716	Drivers	1	RB1	RB1
2	-0.8500000238418579	Drivers	1	RB1	RB1
5	0.6800000071525574	Drivers	1	RB1	RB1
-1	0.38999998569488525	Passengers in absence of driver	1	TERT	TERT
-19	0.699999988079071	Drivers	1	TP53	TP53
-1	-0.8899999856948853	Drivers	2	TP53	TP53
-1	-0.8999999761581421	Drivers	1	TP53	TP53
-20	0.3400000035762787	Drivers	1	TP53	TP53
-21	0.800000011920929	Drivers	1	TP53	TP53
-22	0.7599999904632568	Drivers	2	TP53	TP53
-2	-0.8100000023841858	Drivers	1	TP53	TP53
-2	-0.8799999952316284	Drivers	1	TP53	TP53
-2	-0.8999999761581421	Drivers	1	TP53	TP53
-34	-0.1899999976158142	Drivers	1	TP53	TP53
-34	-0.23000000417232513	Drivers	1	TP53	TP53
-35	-0.6000000238418579	Drivers	3	TP53	TP53
-48	-0.2199999988079071	Drivers	1	TP53	TP53
14	-0.47999998927116394	Drivers	1	TP53	TP53
1	-0.8899999856948853	Drivers	1	TP53	TP53
1	-0.8999999761581421	Drivers	1	TP53	TP53
1	0.18000000715255737	Drivers	3	TP53	TP53
2	-0.8799999952316284	Drivers	1	TP53	TP53
2	0.4000000059604645	Drivers	1	TP53	TP53
42	-0.44999998807907104	Drivers	1	TP53	TP53
47	0.2199999988079071	Drivers	1	TP53	TP53
47	0.7200000286102295	Drivers	1	TP53	TP53
50	0.25999999046325684	Passengers in absence of driver	1	NFE2L2	nan
