pos	score	driver_status	count	gene	splice_gene
-1	-0.8600000143051147	Drivers	1	BRCA1	BRCA1
-2	0.8799999952316284	Drivers	1	BRCA1	BRCA1
39	-0.1899999976158142	Passengers in absence of driver	1	BRCA1	BRCA1
41	-0.4000000059604645	Drivers	1	BRCA1	BRCA1
-5	0.5899999737739563	Passengers in presence of driver	1	CDK12	CDK12
-16	-0.17000000178813934	Drivers	1	NF1	NF1
-23	-0.20000000298023224	Drivers	1	NF1	NF1
9	0.1899999976158142	Passengers in absence of driver	1	NF1	NF1
-10	0.5099999904632568	Passengers in absence of driver	1	PTPRT	PTPRT
-12	0.18000000715255737	Passengers in absence of driver	1	PTPRT	PTPRT
-14	0.33000001311302185	Passengers in absence of driver	1	PTPRT	PTPRT
-17	0.2199999988079071	Passengers in absence of driver	1	PTPRT	PTPRT
-18	0.25999999046325684	Passengers in absence of driver	1	PTPRT	PTPRT
-2	-0.7799999713897705	Passengers in absence of driver	1	PTPRT	PTPRT
-7	0.33000001311302185	Passengers in absence of driver	1	PTPRT	PTPRT
30	0.4699999988079071	Passengers in absence of driver	1	PTPRT	PTPRT
5	-0.7599999904632568	Passengers in absence of driver	1	PTPRT	PTPRT
-1	-0.8600000143051147	Drivers	1	TP53	TP53
-1	-0.8899999856948853	Drivers	2	TP53	TP53
-21	0.800000011920929	Drivers	1	TP53	TP53
-22	0.7799999713897705	Drivers	2	TP53	TP53
-23	0.7099999785423279	Drivers	2	TP53	TP53
-23	0.7599999904632568	Drivers	1	TP53	TP53
-28	0.3400000035762787	Drivers	1	TP53	TP53
-2	-0.8700000047683716	Drivers	1	TP53	TP53
-2	-0.8799999952316284	Drivers	1	TP53	TP53
-2	-0.8899999856948853	Drivers	2	TP53	TP53
-2	-0.8899999856948853	Drivers	1	TP53	TP53
-4	0.550000011920929	Drivers	1	TP53	TP53
0	0.38999998569488525	Passengers in presence of driver	1	TP53	TP53
14	-0.47999998927116394	Drivers	2	TP53	TP53
1	-0.8100000023841858	Drivers	1	TP53	TP53
1	-0.8799999952316284	Drivers	1	TP53	TP53
1	-0.8899999856948853	Drivers	1	TP53	TP53
1	-0.8899999856948853	Drivers	1	TP53	TP53
1	0.18000000715255737	Drivers	4	TP53	TP53
2	0.2800000011920929	Drivers	1	TP53	TP53
42	0.7599999904632568	Drivers	1	TP53	TP53
