pos	score	driver_status	count	gene	splice_gene
-1	-0.8500000238418579	Passengers in absence of driver	1	CBFB	CBFB
-1	-0.8600000143051147	Passengers in absence of driver	2	CBFB	CBFB
-2	-0.8399999737739563	Passengers in absence of driver	1	CBFB	CBFB
-35	-0.41999998688697815	Drivers	1	CBFB	CBFB
-6	0.5799999833106995	Passengers in absence of driver	1	CBFB	CBFB
15	0.7400000095367432	Drivers	1	CBFB	CBFB
3	0.5099999904632568	Passengers in absence of driver	1	CBFB	CBFB
0	0.1899999976158142	Passengers in absence of driver	1	KMT2C	KMT2C
1	-0.8100000023841858	Drivers	1	KMT2C	KMT2C
46	-0.1899999976158142	Drivers	1	MAP3K1	MAP3K1
1	-0.8700000047683716	Drivers	1	PTEN	PTEN
1	0.4099999964237213	Drivers	1	PTEN	PTEN
9	0.550000011920929	Drivers	1	PTEN	PTEN
-15	0.6899999976158142	Passengers in absence of driver	1	PTPRD	PTPRD
-29	0.17000000178813934	Passengers in absence of driver	1	PTPRD	PTPRD
17	0.2199999988079071	Passengers in absence of driver	1	PTPRD	PTPRD
4	0.23999999463558197	Passengers in absence of driver	1	PTPRD	PTPRD
9	0.1599999964237213	Passengers in absence of driver	1	PTPRD	PTPRD
-11	-0.46000000834465027	Drivers	1	TP53	TP53
-1	-0.8700000047683716	Drivers	1	TP53	TP53
-2	-0.3700000047683716	Drivers	2	TP53	TP53
-2	-0.8999999761581421	Drivers	2	TP53	TP53
-35	-0.6000000238418579	Drivers	3	TP53	TP53
-4	0.550000011920929	Drivers	1	TP53	TP53
0	-0.7599999904632568	Drivers	1	TP53	TP53
1	-0.7799999713897705	Drivers	1	TP53	TP53
1	-0.8100000023841858	Drivers	1	TP53	TP53
1	-0.8799999952316284	Drivers	1	TP53	TP53
1	-0.8899999856948853	Drivers	1	TP53	TP53
1	-0.8899999856948853	Drivers	1	TP53	TP53
1	0.18000000715255737	Drivers	1	TP53	TP53
26	-0.5400000214576721	Drivers	4	TP53	TP53
43	0.7599999904632568	Drivers	1	TP53	TP53
47	0.2800000011920929	Drivers	1	TP53	TP53
47	0.7200000286102295	Drivers	2	TP53	TP53
50	-0.6399999856948853	Drivers	1	TP53	TP53
