pos	score	driver_status	count	gene	splice_gene
-42	-0.15000000596046448	Drivers	1	ARID1A	ARID1A
11	-0.800000011920929	Passengers in absence of driver	1	ARID1A	ARID1A
1	-0.8700000047683716	Drivers	1	ARID1A	ARID1A
1	0.7699999809265137	Passengers in absence of driver	1	ARID1A	ARID1A
9	0.8500000238418579	Drivers	1	ARID1A	ARID1A
-3	-0.47999998927116394	Passengers in presence of driver	1	CDKN2A	CDKN2A
5	0.46000000834465027	Passengers in presence of driver	1	CDKN2A	CDKN2A
-6	0.15000000596046448	Passengers in absence of driver	1	CSMD3	CSMD3
12	0.38999998569488525	Passengers in absence of driver	1	CSMD3	CSMD3
42	0.15000000596046448	Passengers in absence of driver	1	CSMD3	CSMD3
7	0.20999999344348907	Passengers in absence of driver	1	CSMD3	CSMD3
-17	-0.23999999463558197	Drivers	1	KMT2C	KMT2C
-29	-0.20999999344348907	Drivers	1	KMT2C	KMT2C
-2	-0.4300000071525574	Drivers	1	KMT2C	KMT2C
-10	-0.38999998569488525	Passengers in absence of driver	1	LRP1B	LRP1B
-16	0.20999999344348907	Passengers in absence of driver	1	LRP1B	LRP1B
-1	-0.8100000023841858	Passengers in absence of driver	1	LRP1B	LRP1B
-1	-0.8399999737739563	Passengers in absence of driver	1	LRP1B	LRP1B
-1	0.7400000095367432	Passengers in absence of driver	1	LRP1B	LRP1B
-1	0.7599999904632568	Passengers in absence of driver	1	LRP1B	LRP1B
-28	0.3100000023841858	Passengers in absence of driver	1	LRP1B	LRP1B
-2	-0.8600000143051147	Passengers in absence of driver	1	LRP1B	LRP1B
-3	0.36000001430511475	Passengers in absence of driver	1	LRP1B	LRP1B
-45	-0.28999999165534973	Passengers in absence of driver	1	LRP1B	LRP1B
-9	0.6700000166893005	Passengers in absence of driver	1	LRP1B	LRP1B
1	0.20000000298023224	Passengers in absence of driver	1	LRP1B	LRP1B
1	0.7699999809265137	Passengers in absence of driver	1	LRP1B	LRP1B
27	0.1599999964237213	Passengers in absence of driver	1	LRP1B	LRP1B
5	0.550000011920929	Passengers in absence of driver	1	LRP1B	LRP1B
-27	-0.2199999988079071	Drivers	1	MAP2K4	MAP2K4
-2	0.49000000953674316	Drivers	1	MAP2K4	MAP2K4
-5	-0.6499999761581421	Passengers in absence of driver	1	MAP2K4	MAP2K4
-10	-0.1899999976158142	Drivers	1	SMAD4	SMAD4
-1	-0.8700000047683716	Drivers	1	SMAD4	SMAD4
-1	0.5099999904632568	Passengers in absence of driver	1	SMAD4	SMAD4
-2	-0.8700000047683716	Drivers	1	SMAD4	SMAD4
-3	-0.7799999713897705	Passengers in absence of driver	1	SMAD4	SMAD4
-43	0.41999998688697815	Passengers in absence of driver	1	SMAD4	SMAD4
-5	0.7599999904632568	Passengers in presence of driver	1	SMAD4	SMAD4
13	0.8500000238418579	Drivers	1	SMAD4	SMAD4
2	-0.8700000047683716	Drivers	1	SMAD4	SMAD4
-11	-0.5299999713897705	Drivers	1	TP53	TP53
-1	-0.8899999856948853	Drivers	2	TP53	TP53
-1	-0.8899999856948853	Drivers	2	TP53	TP53
-1	-0.8999999761581421	Drivers	1	TP53	TP53
-21	0.25	Drivers	1	TP53	TP53
-22	-0.1899999976158142	Drivers	1	TP53	TP53
-22	0.7599999904632568	Drivers	2	TP53	TP53
-22	0.7799999713897705	Drivers	2	TP53	TP53
-23	0.7099999785423279	Drivers	1	TP53	TP53
-2	-0.3700000047683716	Drivers	1	TP53	TP53
-2	-0.8700000047683716	Drivers	1	TP53	TP53
-2	-0.8899999856948853	Drivers	1	TP53	TP53
-2	-0.8999999761581421	Drivers	1	TP53	TP53
-2	-0.8999999761581421	Drivers	1	TP53	TP53
-35	-0.6000000238418579	Drivers	4	TP53	TP53
-4	0.550000011920929	Drivers	1	TP53	TP53
14	-0.47999998927116394	Drivers	1	TP53	TP53
17	-0.14000000059604645	Drivers	1	TP53	TP53
1	-0.8100000023841858	Drivers	1	TP53	TP53
1	-0.8799999952316284	Drivers	1	TP53	TP53
1	-0.8899999856948853	Drivers	1	TP53	TP53
1	-0.8899999856948853	Drivers	1	TP53	TP53
1	0.18000000715255737	Drivers	5	TP53	TP53
1	0.8700000047683716	Drivers	1	TP53	TP53
26	-0.5400000214576721	Drivers	2	TP53	TP53
2	-0.8999999761581421	Drivers	1	TP53	TP53
3	0.23000000417232513	Drivers	1	TP53	TP53
42	0.75	Drivers	1	TP53	TP53
47	0.2800000011920929	Drivers	1	TP53	TP53
47	0.7200000286102295	Drivers	1	TP53	TP53
48	0.7699999809265137	Drivers	1	TP53	TP53
-1	-0.8700000047683716	Drivers	1	SMAD4	nan
-1	0.5099999904632568	Passengers in absence of driver	1	SMAD4	nan
-43	0.41999998688697815	Passengers in absence of driver	1	SMAD4	nan
1	0.5799999833106995	Drivers	4	CDKN2A	nan
2	0.3799999952316284	Passengers in presence of driver	1	GNAS	nan
5	-0.27000001072883606	Passengers in absence of driver	1	GNAS	nan
