pos	score	driver_status	count	gene	splice_gene
39	0.14000000059604645	Passengers in absence of driver	1	AMER1	AMER1
-1	-0.8399999737739563	Drivers	1	APC	APC
-1	-0.9100000262260437	Drivers	1	APC	APC
-25	0.14000000059604645	Drivers	1	APC	APC
-5	0.7599999904632568	Passengers in presence of driver	1	APC	APC
1	-0.8799999952316284	Drivers	1	APC	APC
33	0.3400000035762787	Passengers in presence of driver	1	APC	APC
37	0.8199999928474426	Drivers	1	APC	APC
5	0.1599999964237213	Passengers in presence of driver	1	APC	APC
6	0.800000011920929	Drivers	1	APC	APC
-10	-0.5199999809265137	Drivers	1	ATM	ATM
-4	-0.27000001072883606	Passengers in presence of driver	1	ATM	ATM
-4	0.15000000596046448	Passengers in absence of driver	1	ATM	ATM
10	-0.20000000298023224	Passengers in presence of driver	1	ATM	ATM
16	0.25	Passengers in absence of driver	1	ATM	ATM
19	-0.23000000417232513	Passengers in presence of driver	1	ATM	ATM
12	0.23999999463558197	Drivers	1	FBXW7	FBXW7
2	-0.7900000214576721	Drivers	1	FBXW7	FBXW7
28	-0.2199999988079071	Passengers in presence of driver	1	PIK3CA	PIK3CA
9	0.28999999165534973	Passengers in presence of driver	1	PIK3CA	PIK3CA
-1	0.1599999964237213	Passengers in absence of driver	1	ROBO2	ROBO2
-1	0.18000000715255737	Passengers in absence of driver	1	ROBO2	ROBO2
-1	0.2199999988079071	Passengers in absence of driver	1	ROBO2	ROBO2
-1	0.28999999165534973	Passengers in absence of driver	1	ROBO2	ROBO2
-29	0.1899999976158142	Passengers in absence of driver	1	ROBO2	ROBO2
-30	0.23999999463558197	Passengers in absence of driver	1	ROBO2	ROBO2
-34	0.15000000596046448	Passengers in absence of driver	1	ROBO2	ROBO2
-3	0.1599999964237213	Passengers in absence of driver	1	ROBO2	ROBO2
-3	0.41999998688697815	Passengers in absence of driver	1	ROBO2	ROBO2
-45	0.1599999964237213	Passengers in absence of driver	1	ROBO2	ROBO2
-46	0.3400000035762787	Passengers in absence of driver	1	ROBO2	ROBO2
-5	0.15000000596046448	Passengers in absence of driver	1	ROBO2	ROBO2
-5	0.6399999856948853	Passengers in absence of driver	1	ROBO2	ROBO2
-7	0.15000000596046448	Passengers in absence of driver	1	ROBO2	ROBO2
-9	0.1599999964237213	Passengers in absence of driver	1	ROBO2	ROBO2
11	0.38999998569488525	Passengers in absence of driver	1	ROBO2	ROBO2
15	0.15000000596046448	Passengers in absence of driver	1	ROBO2	ROBO2
15	0.18000000715255737	Passengers in absence of driver	1	ROBO2	ROBO2
17	0.3199999928474426	Passengers in absence of driver	1	ROBO2	ROBO2
19	0.14000000059604645	Passengers in absence of driver	1	ROBO2	ROBO2
20	0.25	Passengers in absence of driver	1	ROBO2	ROBO2
20	0.30000001192092896	Passengers in absence of driver	1	ROBO2	ROBO2
23	0.18000000715255737	Passengers in absence of driver	1	ROBO2	ROBO2
26	0.1599999964237213	Passengers in absence of driver	1	ROBO2	ROBO2
29	0.15000000596046448	Passengers in absence of driver	1	ROBO2	ROBO2
31	0.15000000596046448	Passengers in absence of driver	1	ROBO2	ROBO2
34	0.15000000596046448	Passengers in absence of driver	1	ROBO2	ROBO2
35	0.23999999463558197	Passengers in absence of driver	1	ROBO2	ROBO2
36	0.23000000417232513	Passengers in absence of driver	1	ROBO2	ROBO2
40	0.1599999964237213	Passengers in absence of driver	1	ROBO2	ROBO2
8	0.28999999165534973	Passengers in absence of driver	1	ROBO2	ROBO2
9	0.18000000715255737	Passengers in absence of driver	1	ROBO2	ROBO2
-2	-0.5299999713897705	Drivers	1	SMAD4	SMAD4
19	0.36000001430511475	Passengers in absence of driver	1	SMAD4	SMAD4
2	0.7699999809265137	Passengers in presence of driver	1	SOX9	SOX9-AS1
-1	-0.8700000047683716	Drivers	1	TP53	TP53
-2	-0.3700000047683716	Drivers	1	TP53	TP53
-35	-0.6000000238418579	Drivers	4	TP53	TP53
26	-0.5400000214576721	Drivers	1	TP53	TP53
43	0.7699999809265137	Drivers	1	TP53	TP53
-1	-0.9100000262260437	Drivers	1	APC	nan
2	0.7699999809265137	Passengers in presence of driver	1	SOX9	nan
37	0.8199999928474426	Drivers	1	APC	nan
5	-0.20000000298023224	Passengers in absence of driver	1	ROBO2	nan
5	0.1599999964237213	Passengers in presence of driver	1	APC	nan
