pos	score	driver_status	count	gene	splice_gene
24	-0.15000000596046448	Drivers	1	ATM	ATM
-1	-0.8799999952316284	Drivers	1	ATRX	ATRX
-2	0.8399999737739563	Drivers	1	ATRX	ATRX
-5	0.23999999463558197	Passengers in absence of driver	1	ATM	C11orf65
-19	0.7400000095367432	Drivers	1	DAXX	DAXX
-1	-0.8399999737739563	Drivers	1	DAXX	DAXX
5	-0.5099999904632568	Passengers in absence of driver	1	DAXX	DAXX
-1	-0.8799999952316284	Drivers	1	MEN1	MEN1
-26	-0.3799999952316284	Drivers	1	MEN1	MEN1
1	-0.8299999833106995	Drivers	1	MEN1	MEN1
1	-0.8399999737739563	Drivers	1	MEN1	MEN1
28	0.4099999964237213	Drivers	1	MEN1	MEN1
1	-0.8600000143051147	Drivers	1	PTEN	PTEN
2	0.800000011920929	Drivers	1	PTEN	PTEN
2	0.23000000417232513	Passengers in absence of driver	1	SMARCB1	SMARCB1
-29	0.18000000715255737	Drivers	1	TSC2	TSC2
1	-0.6499999761581421	Drivers	1	TSC2	TSC2
-19	0.7400000095367432	Drivers	1	DAXX	nan
-1	-0.8399999737739563	Drivers	1	DAXX	nan
