pos	score	driver_status	count	gene	splice_gene
-17	0.1899999976158142	Passengers in absence of driver	1	BRAF	BRAF
-48	-0.2800000011920929	Drivers	1	BRAF	BRAF
-18	0.3499999940395355	Drivers	1	CDKN2A	CDKN2A
-1	-0.8399999737739563	Drivers	3	CDKN2A	CDKN2A
-1	-0.8500000238418579	Drivers	1	CDKN2A	CDKN2A
-2	0.6200000047683716	Passengers in presence of driver	1	CDKN2A	CDKN2A
-2	0.7200000286102295	Drivers	3	CDKN2A	CDKN2A
0	-0.41999998688697815	Passengers in absence of driver	1	CYP2C8	CYP2C8
0	-0.5199999809265137	Passengers in absence of driver	1	CYP2C8	CYP2C8
11	-0.25	Passengers in absence of driver	1	CYP2C8	CYP2C8
5	-0.47999998927116394	Passengers in absence of driver	1	CYP2C8	CYP2C8
-15	0.14000000059604645	Passengers in absence of driver	1	MECOM	MECOM
-15	0.1599999964237213	Passengers in absence of driver	2	MECOM	MECOM
-16	0.1599999964237213	Passengers in absence of driver	1	MECOM	MECOM
-16	0.2199999988079071	Passengers in absence of driver	1	MECOM	MECOM
-1	0.5600000023841858	Passengers in absence of driver	1	MECOM	MECOM
-23	0.20000000298023224	Passengers in absence of driver	1	MECOM	MECOM
-25	0.36000001430511475	Passengers in absence of driver	3	MECOM	MECOM
-26	0.14000000059604645	Passengers in absence of driver	1	MECOM	MECOM
-26	0.15000000596046448	Passengers in absence of driver	1	MECOM	MECOM
-29	0.1599999964237213	Passengers in absence of driver	1	MECOM	MECOM
-2	0.14000000059604645	Passengers in absence of driver	1	MECOM	MECOM
-2	0.17000000178813934	Passengers in absence of driver	1	MECOM	MECOM
-30	0.18000000715255737	Passengers in absence of driver	1	MECOM	MECOM
-37	0.14000000059604645	Passengers in absence of driver	1	MECOM	MECOM
-47	0.23000000417232513	Passengers in absence of driver	1	MECOM	MECOM
-5	0.44999998807907104	Passengers in absence of driver	2	MECOM	MECOM
-6	0.25	Passengers in absence of driver	1	MECOM	MECOM
-7	0.1599999964237213	Passengers in absence of driver	1	MECOM	MECOM
-8	0.1899999976158142	Passengers in absence of driver	1	MECOM	MECOM
-8	0.23999999463558197	Passengers in absence of driver	1	MECOM	MECOM
11	-0.15000000596046448	Passengers in absence of driver	1	MECOM	MECOM
20	0.23000000417232513	Passengers in absence of driver	1	MECOM	MECOM
25	0.17000000178813934	Passengers in absence of driver	1	MECOM	MECOM
27	0.30000001192092896	Passengers in absence of driver	1	MECOM	MECOM
30	0.25	Passengers in absence of driver	1	MECOM	MECOM
33	0.2199999988079071	Passengers in absence of driver	1	MECOM	MECOM
36	0.30000001192092896	Passengers in absence of driver	1	MECOM	MECOM
3	0.1899999976158142	Passengers in absence of driver	1	MECOM	MECOM
40	0.1599999964237213	Passengers in absence of driver	1	MECOM	MECOM
8	0.23000000417232513	Passengers in absence of driver	1	MECOM	MECOM
-1	-0.5400000214576721	Passengers in absence of driver	1	NACA	NACA
-10	0.1899999976158142	Passengers in absence of driver	1	RGS7	RGS7
-10	0.3100000023841858	Passengers in absence of driver	1	RGS7	RGS7
-10	0.46000000834465027	Passengers in absence of driver	1	RGS7	RGS7
-11	0.14000000059604645	Passengers in absence of driver	2	RGS7	RGS7
-11	0.18000000715255737	Passengers in absence of driver	1	RGS7	RGS7
-13	0.47999998927116394	Passengers in absence of driver	2	RGS7	RGS7
-15	0.15000000596046448	Passengers in absence of driver	1	RGS7	RGS7
-16	0.27000001072883606	Passengers in absence of driver	1	RGS7	RGS7
-1	0.14000000059604645	Passengers in absence of driver	1	RGS7	RGS7
-1	0.3100000023841858	Passengers in absence of driver	1	RGS7	RGS7
-20	0.17000000178813934	Passengers in absence of driver	1	RGS7	RGS7
-26	0.15000000596046448	Passengers in absence of driver	1	RGS7	RGS7
-28	-0.20000000298023224	Passengers in absence of driver	1	RGS7	RGS7
-28	0.14000000059604645	Passengers in absence of driver	1	RGS7	RGS7
-28	0.17000000178813934	Passengers in absence of driver	1	RGS7	RGS7
-2	0.2800000011920929	Passengers in absence of driver	1	RGS7	RGS7
-2	0.3199999928474426	Passengers in absence of driver	1	RGS7	RGS7
-35	-0.20999999344348907	Passengers in absence of driver	2	RGS7	RGS7
-39	0.3499999940395355	Passengers in absence of driver	1	RGS7	RGS7
-3	0.1899999976158142	Passengers in absence of driver	1	RGS7	RGS7
-41	0.14000000059604645	Passengers in absence of driver	1	RGS7	RGS7
-4	0.20999999344348907	Passengers in absence of driver	1	RGS7	RGS7
