pos	score	driver_status	count	gene	splice_gene
-1	-0.8199999928474426	Drivers	1	ATM	ATM
24	0.18000000715255737	Drivers	1	ATM	ATM
2	-0.8399999737739563	Drivers	1	ATM	ATM
-9	0.15000000596046448	Passengers in absence of driver	1	FAT4	FAT4
39	0.20000000298023224	Passengers in absence of driver	1	SETD2	KIF9-AS1
-5	-0.7799999713897705	Passengers in absence of driver	1	MGA	MGA
-32	-0.6200000047683716	Drivers	1	NFKBIE	NFKBIE
-40	0.15000000596046448	Drivers	1	SETD2	SETD2
2	-0.8500000238418579	Drivers	1	SETD2	SETD2
2	-0.8899999856948853	Drivers	1	SETD2	SETD2
0	-0.6899999976158142	Drivers	1	TP53	TP53
1	0.18000000715255737	Drivers	2	TP53	TP53
